station	d_lat	d_lon	gpsweek	date
ABRA	0.020	0.056	1852	2015-07-08
ABRA	0.021	0.057	1853	2015-07-15
ABRA	0.022	0.058	1854	2015-07-22
ABRA	0.022	0.058	1855	2015-07-29
ABRA	0.021	0.058	1856	2015-08-05
ABRA	0.021	0.058	1858	2015-08-19
ABRA	0.020	0.058	1859	2015-08-26
ABRA	0.020	0.058	1860	2015-09-02
ABRA	0.020	0.059	1861	2015-09-09
ABRA	0.020	0.059	1862	2015-09-16
ABRA	0.021	0.059	1863	2015-09-23
ABRA	0.022	0.060	1864	2015-09-30
ABRA	0.021	0.060	1865	2015-10-07
ABRA	0.021	0.061	1866	2015-10-14
ABRA	0.021	0.061	1867	2015-10-21
ABRA	0.021	0.061	1868	2015-10-28
ABRA	0.022	0.062	1869	2015-11-04
ABRA	0.022	0.063	1870	2015-11-11
ABRA	0.021	0.063	1871	2015-11-18
ABRA	0.021	0.064	1872	2015-11-25
ABRA	0.021	0.063	1873	2015-12-02
ABRA	0.022	0.064	1874	2015-12-09
ABRA	0.021	0.064	1875	2015-12-16
ABRA	0.021	0.064	1876	2015-12-23
ABRA	0.021	0.064	1877	2015-12-30
ABRA	0.016	0.068	1878	2016-01-06
ABRA	0.017	0.069	1880	2016-01-20
ABRA	0.017	0.070	1882	2016-02-03
ABRA	0.017	0.069	1883	2016-02-10
ABRA	0.017	0.070	1884	2016-02-17
ABRA	0.018	0.070	1885	2016-02-24
ABRA	0.018	0.071	1886	2016-03-02
ABRA	0.018	0.071	1887	2016-03-09
ABRA	0.018	0.070	1888	2016-03-16
ABRA	0.017	0.070	1890	2016-03-30
ABRA	0.017	0.071	1891	2016-04-06
ABRA	0.018	0.071	1892	2016-04-13
ABRA	0.017	0.072	1893	2016-04-20
ABRA	0.018	0.071	1894	2016-04-27
ABRA	0.018	0.071	1895	2016-05-04
ABRA	0.019	0.072	1896	2016-05-11
ABRA	0.019	0.072	1897	2016-05-18
ABRA	0.019	0.073	1898	2016-05-25
ABRA	0.019	0.073	1899	2016-06-01
ABRA	0.019	0.073	1900	2016-06-08
ABRA	0.020	0.072	1901	2016-06-15
ABRA	0.020	0.073	1902	2016-06-22
ABRA	0.020	0.073	1903	2016-06-29
ABRA	0.020	0.074	1904	2016-07-06
ABRA	0.020	0.074	1905	2016-07-13
ABRA	0.020	0.073	1906	2016-07-20
ABRA	0.020	0.074	1907	2016-07-27
ABRA	0.020	0.073	1908	2016-08-03
ABRA	0.023	0.069	1909	2016-08-10
ABRA	0.024	0.070	1910	2016-08-17
ABRA	0.024	0.069	1911	2016-08-24
ABRA	0.024	0.069	1912	2016-08-31
ABRA	0.024	0.068	1913	2016-09-07
ABRA	0.023	0.069	1914	2016-09-14
ABRA	0.023	0.069	1915	2016-09-21
ABRA	0.023	0.070	1916	2016-09-28
ABRA	0.022	0.068	1917	2016-10-05
ABRA	0.019	0.075	1918	2016-10-12
ABRA	0.019	0.075	1919	2016-10-19
ABRA	0.019	0.077	1920	2016-10-26
ABRA	0.019	0.076	1921	2016-11-02
ABRA	0.018	0.077	1922	2016-11-09
ABRA	0.022	0.071	1923	2016-11-16
ABRA	0.023	0.071	1924	2016-11-23
ABRA	0.022	0.070	1925	2016-11-30
ABRA	0.022	0.071	1926	2016-12-07
ABRA	0.023	0.073	1927	2016-12-14
ABRA	0.023	0.072	1928	2016-12-21
ABRA	0.023	0.072	1929	2016-12-28
ABRA	0.021	0.071	1930	2017-01-04
ABRA	0.022	0.075	1931	2017-01-11
ABRA	0.022	0.073	1932	2017-01-18
ABRA	0.023	0.074	1933	2017-01-25
ABRA	0.023	0.075	1934	2017-02-01
ABRA	0.023	0.074	1935	2017-02-08
ABRA	0.023	0.075	1936	2017-02-15
ABRA	0.022	0.075	1937	2017-02-22
ABRA	0.023	0.076	1938	2017-03-01
ABRA	0.023	0.075	1939	2017-03-08
ABRA	0.024	0.075	1940	2017-03-15
ABRA	0.024	0.076	1941	2017-03-22
ABRA	0.024	0.076	1942	2017-03-29
ABRA	0.024	0.075	1943	2017-04-05
ABRA	0.025	0.076	1944	2017-04-12
ABRA	0.025	0.076	1945	2017-04-19
ABRA	0.025	0.076	1946	2017-04-26
ABRA	0.025	0.076	1947	2017-05-03
ABRA	0.025	0.075	1948	2017-05-10
ABRA	0.025	0.075	1949	2017-05-17
ABRA	0.026	0.075	1950	2017-05-24
ABRA	0.025	0.076	1951	2017-05-31
ABRA	0.026	0.076	1952	2017-06-07
ABRA	0.026	0.076	1953	2017-06-14
ABRA	0.026	0.076	1954	2017-06-21
ABRA	0.026	0.078	1955	2017-06-28
ABRA	0.026	0.077	1956	2017-07-05
ABRA	0.026	0.077	1957	2017-07-12
ABRA	0.026	0.077	1958	2017-07-19
ABRA	0.026	0.077	1959	2017-07-26
ABRA	0.026	0.077	1960	2017-08-02
ABRA	0.026	0.078	1961	2017-08-09
ABRA	0.026	0.078	1962	2017-08-16
ABRA	0.026	0.078	1963	2017-08-23
ABRA	0.026	0.077	1964	2017-08-30
ABRA	0.026	0.077	1965	2017-09-06
ABRA	0.026	0.079	1966	2017-09-13
ABRA	0.026	0.079	1967	2017-09-20
ABRA	0.025	0.080	1968	2017-09-27
ABRA	0.026	0.079	1969	2017-10-04
