station	d_lat	d_lon	gpsweek	date
MECO	0.000	0.002	1640	2011-06-15
MECO	0.002	0.001	1641	2011-06-22
MECO	0.001	0.002	1642	2011-06-29
MECO	0.000	0.001	1643	2011-07-06
MECO	0.001	0.001	1644	2011-07-13
MECO	0.001	0.001	1645	2011-07-20
MECO	0.001	0.002	1646	2011-07-27
MECO	0.002	0.001	1647	2011-08-03
MECO	0.002	0.002	1648	2011-08-10
MECO	0.001	0.001	1649	2011-08-17
MECO	0.001	0.002	1650	2011-08-24
MECO	0.001	0.003	1651	2011-08-31
MECO	0.002	0.002	1652	2011-09-07
MECO	0.004	0.001	1653	2011-09-14
MECO	0.002	0.003	1654	2011-09-21
MECO	0.002	0.002	1655	2011-09-28
MECO	0.002	0.002	1656	2011-10-05
MECO	0.003	0.003	1657	2011-10-12
MECO	0.004	0.005	1658	2011-10-19
MECO	0.002	0.004	1659	2011-10-26
MECO	0.003	0.005	1660	2011-11-02
MECO	-0.000	0.006	1661	2011-11-09
MECO	0.003	0.004	1662	2011-11-16
MECO	0.004	0.004	1663	2011-11-23
MECO	0.004	0.007	1664	2011-11-30
MECO	0.002	0.008	1665	2011-12-07
MECO	0.003	0.006	1666	2011-12-14
MECO	0.004	0.006	1667	2011-12-21
MECO	0.002	0.009	1668	2011-12-28
MECO	0.002	0.009	1669	2012-01-04
MECO	0.001	0.009	1670	2012-01-11
MECO	0.002	0.009	1671	2012-01-18
MECO	0.001	0.008	1672	2012-01-25
MECO	0.003	0.009	1673	2012-02-01
MECO	0.003	0.010	1674	2012-02-08
MECO	0.001	0.008	1675	2012-02-15
MECO	-0.000	0.008	1676	2012-02-22
MECO	-0.002	0.007	1677	2012-02-29
MECO	-0.003	0.009	1678	2012-03-07
MECO	-0.002	0.003	1694	2012-06-27
MECO	-0.003	0.001	1695	2012-07-04
MECO	-0.003	0.002	1696	2012-07-11
MECO	-0.002	0.002	1697	2012-07-18
MECO	-0.002	0.002	1698	2012-07-25
MECO	-0.001	0.002	1699	2012-08-01
MECO	-0.001	0.002	1700	2012-08-08
MECO	-0.002	0.002	1701	2012-08-15
MECO	-0.002	0.003	1702	2012-08-22
MECO	-0.002	0.002	1703	2012-08-29
MECO	-0.001	0.003	1704	2012-09-05
MECO	-0.002	0.003	1705	2012-09-12
MECO	-0.001	0.003	1706	2012-09-19
MECO	-0.001	0.002	1707	2012-09-26
MECO	-0.001	0.002	1708	2012-10-03
MECO	0.001	0.003	1712	2012-10-31
MECO	0.002	0.003	1713	2012-11-07
MECO	0.000	0.003	1714	2012-11-14
MECO	0.002	0.005	1715	2012-11-21
MECO	0.002	0.001	1880	2016-01-20
MECO	0.002	0.001	1882	2016-02-03
MECO	0.004	0.004	1883	2016-02-10
MECO	0.004	0.004	1884	2016-02-17
MECO	0.004	0.005	1885	2016-02-24
MECO	0.001	-0.000	1888	2016-03-16
MECO	0.000	0.000	1890	2016-03-30
MECO	0.000	0.001	1891	2016-04-06
MECO	0.000	0.000	1892	2016-04-13
MECO	-0.001	0.001	1893	2016-04-20
MECO	-0.001	-0.002	1894	2016-04-27
MECO	0.001	0.004	1896	2016-05-11
MECO	0.001	0.004	1897	2016-05-18
MECO	0.000	0.004	1898	2016-05-25
MECO	0.000	0.004	1899	2016-06-01
MECO	0.000	0.004	1900	2016-06-08
MECO	0.001	0.004	1901	2016-06-15
MECO	0.001	0.003	1902	2016-06-22
MECO	-0.002	-0.002	1903	2016-06-29
MECO	-0.001	-0.001	1905	2016-07-13
MECO	-0.002	-0.000	1907	2016-07-27
MECO	-0.001	0.000	1908	2016-08-03
MECO	-0.001	0.000	1909	2016-08-10
MECO	-0.001	0.001	1910	2016-08-17
MECO	-0.001	-0.000	1911	2016-08-24
MECO	-0.001	-0.001	1912	2016-08-31
MECO	-0.002	-0.002	1913	2016-09-07
