station	d_lat	d_lon	gpsweek	date
MZAC	-0.018	-0.046	1640	2011-06-15
MZAC	-0.018	-0.046	1641	2011-06-22
MZAC	-0.018	-0.045	1642	2011-06-29
MZAC	-0.018	-0.045	1643	2011-07-06
MZAC	-0.018	-0.047	1644	2011-07-13
MZAC	-0.005	-0.041	1645	2011-07-20
MZAC	-0.018	-0.047	1646	2011-07-27
MZAC	-0.018	-0.045	1647	2011-08-03
MZAC	-0.018	-0.046	1648	2011-08-10
MZAC	-0.018	-0.046	1649	2011-08-17
MZAC	-0.018	-0.045	1650	2011-08-24
MZAC	-0.019	-0.046	1651	2011-08-31
MZAC	-0.018	-0.046	1652	2011-09-07
MZAC	-0.019	-0.046	1653	2011-09-14
MZAC	-0.019	-0.046	1654	2011-09-21
MZAC	-0.019	-0.045	1655	2011-09-28
MZAC	-0.019	-0.046	1656	2011-10-05
MZAC	-0.018	-0.045	1657	2011-10-12
MZAC	-0.018	-0.045	1658	2011-10-19
MZAC	-0.018	-0.046	1659	2011-10-26
MZAC	-0.018	-0.045	1660	2011-11-02
MZAC	-0.018	-0.046	1661	2011-11-09
MZAC	-0.018	-0.045	1662	2011-11-16
MZAC	-0.019	-0.046	1663	2011-11-23
MZAC	-0.018	-0.046	1664	2011-11-30
MZAC	-0.019	-0.045	1665	2011-12-07
MZAC	-0.019	-0.044	1666	2011-12-14
MZAC	-0.019	-0.045	1667	2011-12-21
MZAC	-0.018	-0.045	1668	2011-12-28
MZAC	-0.018	-0.045	1669	2012-01-04
MZAC	-0.018	-0.044	1670	2012-01-11
MZAC	-0.018	-0.044	1671	2012-01-18
MZAC	-0.018	-0.045	1672	2012-01-25
MZAC	-0.018	-0.044	1673	2012-02-01
MZAC	-0.019	-0.045	1674	2012-02-08
MZAC	-0.019	-0.044	1675	2012-02-15
MZAC	-0.018	-0.046	1676	2012-02-22
MZAC	-0.018	-0.046	1677	2012-02-29
MZAC	-0.020	-0.044	1678	2012-03-07
MZAC	-0.019	-0.046	1679	2012-03-14
MZAC	-0.020	-0.045	1680	2012-03-21
MZAC	-0.019	-0.046	1681	2012-03-28
MZAC	-0.018	-0.046	1682	2012-04-04
MZAC	-0.018	-0.046	1683	2012-04-11
MZAC	-0.018	-0.046	1684	2012-04-18
MZAC	-0.018	-0.046	1685	2012-04-25
MZAC	-0.019	-0.046	1686	2012-05-02
MZAC	-0.019	-0.045	1687	2012-05-09
MZAC	-0.019	-0.046	1688	2012-05-16
MZAC	-0.019	-0.046	1689	2012-05-23
MZAC	-0.019	-0.047	1690	2012-05-30
MZAC	-0.019	-0.046	1691	2012-06-06
MZAC	-0.019	-0.047	1692	2012-06-13
MZAC	-0.019	-0.046	1693	2012-06-20
MZAC	-0.019	-0.046	1694	2012-06-27
MZAC	-0.020	-0.047	1695	2012-07-04
MZAC	-0.019	-0.046	1696	2012-07-11
MZAC	-0.019	-0.046	1697	2012-07-18
MZAC	-0.019	-0.046	1698	2012-07-25
MZAC	-0.020	-0.046	1699	2012-08-01
MZAC	-0.020	-0.047	1700	2012-08-08
MZAC	-0.019	-0.047	1701	2012-08-15
MZAC	-0.019	-0.046	1702	2012-08-22
MZAC	-0.019	-0.046	1703	2012-08-29
MZAC	-0.019	-0.046	1704	2012-09-05
MZAC	-0.018	-0.046	1705	2012-09-12
MZAC	-0.019	-0.047	1706	2012-09-19
MZAC	-0.018	-0.047	1707	2012-09-26
MZAC	-0.019	-0.047	1708	2012-10-03
MZAC	-0.019	-0.046	1709	2012-10-10
MZAC	-0.019	-0.047	1710	2012-10-17
MZAC	-0.019	-0.047	1711	2012-10-24
MZAC	-0.019	-0.046	1712	2012-10-31
MZAC	-0.019	-0.045	1713	2012-11-07
MZAC	-0.019	-0.047	1714	2012-11-14
MZAC	-0.018	-0.046	1715	2012-11-21
MZAC	-0.011	-0.050	1716	2012-11-28
MZAC	-0.010	-0.049	1717	2012-12-05
MZAC	-0.010	-0.051	1718	2012-12-12
MZAC	-0.020	-0.053	1719	2012-12-19
MZAC	-0.020	-0.052	1720	2012-12-26
MZAC	-0.021	-0.052	1721	2013-01-02
MZAC	-0.020	-0.050	1722	2013-01-09
MZAC	-0.021	-0.051	1723	2013-01-16
MZAC	-0.019	-0.051	1724	2013-01-23
MZAC	-0.020	-0.050	1725	2013-01-30
MZAC	-0.021	-0.050	1726	2013-02-06
MZAC	-0.019	-0.051	1727	2013-02-13
MZAC	-0.020	-0.051	1728	2013-02-20
MZAC	-0.020	-0.050	1729	2013-02-27
MZAC	-0.019	-0.052	1730	2013-03-06
MZAC	-0.020	-0.051	1731	2013-03-13
MZAC	-0.020	-0.050	1732	2013-03-20
MZAC	-0.020	-0.050	1733	2013-03-27
MZAC	-0.021	-0.051	1734	2013-04-03
MZAC	-0.020	-0.051	1735	2013-04-10
MZAC	-0.020	-0.050	1736	2013-04-17
MZAC	-0.020	-0.050	1737	2013-04-24
MZAC	-0.020	-0.052	1738	2013-05-01
MZAC	-0.021	-0.051	1739	2013-05-08
MZAC	-0.021	-0.051	1740	2013-05-15
MZAC	-0.020	-0.051	1741	2013-05-22
MZAC	-0.021	-0.052	1742	2013-05-29
MZAC	-0.021	-0.052	1743	2013-06-05
MZAC	-0.021	-0.051	1744	2013-06-12
MZAC	-0.021	-0.052	1745	2013-06-19
MZAC	-0.021	-0.052	1746	2013-06-26
MZAC	-0.021	-0.052	1747	2013-07-03
MZAC	-0.021	-0.052	1748	2013-07-10
MZAC	-0.021	-0.052	1749	2013-07-17
MZAC	-0.021	-0.051	1750	2013-07-24
MZAC	-0.021	-0.052	1751	2013-07-31
MZAC	-0.021	-0.052	1752	2013-08-07
MZAC	-0.021	-0.052	1753	2013-08-14
MZAC	-0.021	-0.052	1754	2013-08-21
MZAC	-0.021	-0.052	1755	2013-08-28
MZAC	-0.021	-0.052	1756	2013-09-04
MZAC	-0.022	-0.052	1757	2013-09-11
MZAC	-0.021	-0.053	1758	2013-09-18
MZAC	-0.021	-0.052	1759	2013-09-25
MZAC	-0.022	-0.052	1760	2013-10-02
MZAC	-0.021	-0.052	1761	2013-10-09
MZAC	-0.022	-0.052	1762	2013-10-16
