station	d_lat	d_lon	gpsweek	date
MZAE	-0.001	-0.043	1640	2011-06-15
MZAE	-0.001	-0.043	1641	2011-06-22
MZAE	-0.001	-0.043	1642	2011-06-29
MZAE	-0.001	-0.044	1643	2011-07-06
MZAE	-0.002	-0.043	1644	2011-07-13
MZAE	-0.001	-0.044	1646	2011-07-27
MZAE	-0.001	-0.044	1647	2011-08-03
MZAE	-0.002	-0.044	1648	2011-08-10
MZAE	-0.002	-0.045	1649	2011-08-17
MZAE	-0.002	-0.045	1650	2011-08-24
MZAE	-0.001	-0.045	1651	2011-08-31
MZAE	-0.002	-0.045	1652	2011-09-07
MZAE	-0.001	-0.045	1653	2011-09-14
MZAE	-0.001	-0.045	1654	2011-09-21
MZAE	-0.002	-0.046	1655	2011-09-28
MZAE	-0.002	-0.046	1656	2011-10-05
MZAE	-0.002	-0.046	1657	2011-10-12
MZAE	-0.002	-0.047	1658	2011-10-19
MZAE	-0.003	-0.047	1659	2011-10-26
MZAE	-0.002	-0.047	1660	2011-11-02
MZAE	-0.003	-0.047	1661	2011-11-09
MZAE	-0.003	-0.048	1662	2011-11-16
MZAE	-0.002	-0.048	1663	2011-11-23
MZAE	-0.002	-0.048	1664	2011-11-30
MZAE	-0.002	-0.048	1665	2011-12-07
MZAE	-0.003	-0.049	1666	2011-12-14
MZAE	-0.004	-0.048	1667	2011-12-21
MZAE	-0.004	-0.048	1668	2011-12-28
MZAE	-0.004	-0.049	1669	2012-01-04
MZAE	-0.004	-0.051	1670	2012-01-11
MZAE	-0.004	-0.050	1671	2012-01-18
MZAE	-0.005	-0.050	1672	2012-01-25
MZAE	-0.003	-0.051	1673	2012-02-01
MZAE	-0.004	-0.050	1674	2012-02-08
MZAE	-0.003	-0.051	1675	2012-02-15
MZAE	-0.004	-0.050	1676	2012-02-22
MZAE	-0.004	-0.050	1677	2012-02-29
MZAE	-0.003	-0.053	1678	2012-03-07
MZAE	-0.004	-0.052	1679	2012-03-14
MZAE	-0.003	-0.051	1680	2012-03-21
MZAE	-0.004	-0.051	1681	2012-03-28
MZAE	-0.004	-0.052	1682	2012-04-04
MZAE	-0.005	-0.051	1683	2012-04-11
MZAE	-0.005	-0.051	1684	2012-04-18
MZAE	-0.004	-0.051	1685	2012-04-25
MZAE	-0.002	-0.051	1686	2012-05-02
MZAE	-0.003	-0.052	1687	2012-05-09
MZAE	-0.003	-0.052	1688	2012-05-16
MZAE	-0.003	-0.052	1689	2012-05-23
MZAE	-0.003	-0.052	1690	2012-05-30
MZAE	-0.003	-0.053	1691	2012-06-06
MZAE	-0.003	-0.052	1692	2012-06-13
MZAE	-0.003	-0.053	1693	2012-06-20
MZAE	-0.003	-0.053	1694	2012-06-27
MZAE	-0.002	-0.053	1695	2012-07-04
MZAE	-0.028	-0.084	1696	2012-07-11
MZAE	-0.028	-0.084	1697	2012-07-18
MZAE	-0.003	-0.054	1698	2012-07-25
MZAE	-0.002	-0.053	1699	2012-08-01
MZAE	-0.003	-0.053	1700	2012-08-08
MZAE	-0.003	-0.053	1701	2012-08-15
MZAE	-0.003	-0.053	1702	2012-08-22
MZAE	-0.003	-0.053	1703	2012-08-29
MZAE	-0.004	-0.054	1704	2012-09-05
MZAE	-0.005	-0.054	1705	2012-09-12
MZAE	-0.005	-0.054	1706	2012-09-19
MZAE	-0.005	-0.054	1707	2012-09-26
MZAE	-0.005	-0.054	1708	2012-10-03
MZAE	-0.005	-0.055	1709	2012-10-10
MZAE	-0.005	-0.053	1710	2012-10-17
MZAE	-0.005	-0.054	1711	2012-10-24
MZAE	-0.005	-0.054	1712	2012-10-31
MZAE	-0.005	-0.056	1713	2012-11-07
MZAE	-0.006	-0.053	1714	2012-11-14
MZAE	-0.007	-0.055	1715	2012-11-21
MZAE	-0.003	-0.044	1719	2012-12-19
MZAE	-0.003	-0.044	1720	2012-12-26
MZAE	-0.028	-0.076	1721	2013-01-02
MZAE	-0.029	-0.077	1722	2013-01-09
MZAE	-0.029	-0.077	1723	2013-01-16
MZAE	-0.003	-0.044	1724	2013-01-23
MZAE	-0.003	-0.044	1725	2013-01-30
MZAE	-0.001	-0.046	1726	2013-02-06
MZAE	-0.003	-0.045	1727	2013-02-13
MZAE	-0.002	-0.045	1728	2013-02-20
MZAE	-0.002	-0.045	1729	2013-02-27
MZAE	-0.003	-0.044	1730	2013-03-06
MZAE	-0.029	-0.078	1731	2013-03-13
MZAE	-0.003	-0.046	1732	2013-03-20
MZAE	-0.002	-0.046	1733	2013-03-27
MZAE	-0.002	-0.046	1734	2013-04-03
MZAE	-0.001	-0.046	1735	2013-04-10
MZAE	-0.002	-0.046	1736	2013-04-17
MZAE	-0.002	-0.046	1737	2013-04-24
MZAE	-0.002	-0.045	1738	2013-05-01
MZAE	-0.001	-0.046	1739	2013-05-08
MZAE	-0.002	-0.046	1740	2013-05-15
