station	d_lat	d_lon	gpsweek	date
MZRF	-0.015	-0.229	1930	2017-01-04
MZRF	-0.048	-0.136	1931	2017-01-11
MZRF	-0.016	-0.226	1932	2017-01-18
MZRF	-0.015	-0.228	1934	2017-02-01
MZRF	-0.014	-0.226	1935	2017-02-08
MZRF	-0.015	-0.225	1936	2017-02-15
MZRF	-0.014	-0.226	1937	2017-02-22
MZRF	-0.013	-0.224	1938	2017-03-01
MZRF	-0.015	-0.223	1939	2017-03-08
MZRF	-0.014	-0.224	1940	2017-03-15
MZRF	-0.012	-0.225	1941	2017-03-22
MZRF	-0.014	-0.225	1942	2017-03-29
MZRF	-0.014	-0.223	1943	2017-04-05
MZRF	-0.014	-0.224	1944	2017-04-12
MZRF	-0.014	-0.224	1945	2017-04-19
MZRF	-0.014	-0.224	1946	2017-04-26
MZRF	-0.014	-0.225	1947	2017-05-03
MZRF	-0.015	-0.225	1948	2017-05-10
MZRF	-0.014	-0.224	1950	2017-05-24
MZRF	-0.014	-0.224	1951	2017-05-31
MZRF	-0.015	-0.224	1952	2017-06-07
MZRF	-0.016	-0.225	1953	2017-06-14
MZRF	-0.015	-0.224	1954	2017-06-21
MZRF	-0.016	-0.223	1955	2017-06-28
MZRF	-0.016	-0.224	1956	2017-07-05
MZRF	-0.016	-0.224	1957	2017-07-12
MZRF	-0.016	-0.224	1958	2017-07-19
MZRF	-0.016	-0.224	1959	2017-07-26
MZRF	-0.017	-0.224	1960	2017-08-02
MZRF	-0.016	-0.225	1961	2017-08-09
MZRF	-0.016	-0.224	1962	2017-08-16
MZRF	-0.017	-0.225	1963	2017-08-23
MZRF	-0.017	-0.224	1964	2017-08-30
MZRF	-0.016	-0.225	1965	2017-09-06
MZRF	-0.016	-0.225	1966	2017-09-13
MZRF	-0.016	-0.225	1967	2017-09-20
MZRF	-0.016	-0.224	1968	2017-09-27
MZRF	-0.016	-0.224	1969	2017-10-04
