station	d_lat	d_lon	gpsweek	date
PRNA	0.009	0.002	1677	2012-02-29
PRNA	0.009	0.002	1678	2012-03-07
PRNA	0.009	0.001	1679	2012-03-14
PRNA	0.009	0.001	1680	2012-03-21
PRNA	0.008	0.001	1681	2012-03-28
PRNA	0.009	0.000	1682	2012-04-04
PRNA	0.009	0.001	1683	2012-04-11
PRNA	0.009	0.001	1684	2012-04-18
PRNA	0.008	-0.001	1685	2012-04-25
PRNA	0.008	-0.000	1686	2012-05-02
PRNA	0.012	0.000	1688	2012-05-16
PRNA	0.010	0.001	1689	2012-05-23
PRNA	0.008	0.000	1690	2012-05-30
PRNA	0.008	-0.001	1691	2012-06-06
PRNA	0.007	-0.000	1692	2012-06-13
PRNA	0.007	-0.001	1693	2012-06-20
PRNA	0.007	0.000	1694	2012-06-27
PRNA	0.008	-0.001	1695	2012-07-04
PRNA	0.008	-0.002	1696	2012-07-11
PRNA	0.007	-0.001	1697	2012-07-18
PRNA	0.006	-0.000	1698	2012-07-25
PRNA	0.006	-0.000	1699	2012-08-01
PRNA	0.006	0.000	1700	2012-08-08
PRNA	0.006	0.001	1701	2012-08-15
PRNA	0.007	0.002	1702	2012-08-22
PRNA	0.007	0.000	1703	2012-08-29
PRNA	0.007	0.002	1704	2012-09-05
PRNA	0.006	0.002	1705	2012-09-12
PRNA	0.008	0.001	1706	2012-09-19
PRNA	0.008	-0.000	1707	2012-09-26
PRNA	0.008	0.001	1708	2012-10-03
PRNA	0.009	0.001	1709	2012-10-10
PRNA	0.008	0.001	1710	2012-10-17
PRNA	0.008	0.001	1711	2012-10-24
PRNA	0.006	0.002	1712	2012-10-31
PRNA	0.009	0.002	1713	2012-11-07
PRNA	0.007	0.001	1714	2012-11-14
PRNA	0.007	0.002	1715	2012-11-21
PRNA	0.007	0.002	1716	2012-11-28
PRNA	0.007	0.003	1717	2012-12-05
PRNA	0.009	0.001	1718	2012-12-12
PRNA	0.007	0.001	1719	2012-12-19
PRNA	0.006	0.002	1720	2012-12-26
PRNA	0.007	0.002	1721	2013-01-02
PRNA	0.008	0.001	1722	2013-01-09
PRNA	0.007	0.003	1723	2013-01-16
PRNA	0.007	0.002	1724	2013-01-23
PRNA	0.023	0.006	1727	2013-02-13
PRNA	0.021	0.008	1728	2013-02-20
PRNA	0.019	0.007	1729	2013-02-27
PRNA	0.020	0.007	1730	2013-03-06
PRNA	0.020	0.006	1731	2013-03-13
PRNA	0.018	0.005	1732	2013-03-20
PRNA	0.019	0.006	1733	2013-03-27
PRNA	0.019	0.006	1734	2013-04-03
PRNA	0.019	0.005	1735	2013-04-10
PRNA	0.016	0.003	1736	2013-04-17
PRNA	0.020	0.004	1737	2013-04-24
PRNA	0.019	0.005	1738	2013-05-01
PRNA	0.020	0.004	1739	2013-05-08
PRNA	0.019	0.003	1740	2013-05-15
PRNA	0.017	0.003	1741	2013-05-22
PRNA	0.019	0.004	1742	2013-05-29
PRNA	0.019	0.004	1743	2013-06-05
PRNA	0.018	0.004	1744	2013-06-12
