station	d_lat	d_lon	gpsweek	date
RWSN	0.001	0.025	1640	2011-06-15
RWSN	-0.014	0.037	1641	2011-06-22
RWSN	-0.014	0.038	1642	2011-06-29
RWSN	-0.014	0.037	1643	2011-07-06
RWSN	-0.015	0.037	1645	2011-07-20
RWSN	-0.015	0.037	1646	2011-07-27
RWSN	-0.014	0.038	1647	2011-08-03
RWSN	-0.014	0.038	1656	2011-10-05
RWSN	-0.014	0.038	1657	2011-10-12
RWSN	-0.013	0.038	1658	2011-10-19
RWSN	-0.015	0.039	1659	2011-10-26
RWSN	-0.015	0.038	1660	2011-11-02
RWSN	-0.015	0.037	1661	2011-11-09
RWSN	-0.017	0.037	1662	2011-11-16
RWSN	-0.016	0.038	1663	2011-11-23
RWSN	-0.015	0.038	1664	2011-11-30
RWSN	-0.016	0.037	1665	2011-12-07
RWSN	-0.016	0.039	1666	2011-12-14
RWSN	-0.016	0.038	1667	2011-12-21
RWSN	-0.015	0.039	1668	2011-12-28
RWSN	-0.015	0.038	1669	2012-01-04
RWSN	-0.018	0.038	1670	2012-01-11
RWSN	-0.017	0.039	1671	2012-01-18
RWSN	-0.009	0.036	1675	2012-02-15
RWSN	-0.015	0.040	1676	2012-02-22
RWSN	-0.016	0.036	1677	2012-02-29
RWSN	-0.018	0.038	1678	2012-03-07
RWSN	-0.017	0.038	1679	2012-03-14
RWSN	-0.000	0.016	1680	2012-03-21
RWSN	-0.001	0.016	1681	2012-03-28
RWSN	0.000	0.016	1682	2012-04-04
RWSN	0.001	0.016	1683	2012-04-11
RWSN	0.008	0.029	1684	2012-04-18
RWSN	0.003	0.030	1686	2012-05-02
RWSN	0.000	0.037	1688	2012-05-16
RWSN	0.003	0.028	1689	2012-05-23
RWSN	-0.017	0.041	1690	2012-05-30
RWSN	-0.016	0.040	1691	2012-06-06
RWSN	-0.017	0.040	1692	2012-06-13
RWSN	-0.017	0.041	1693	2012-06-20
RWSN	-0.017	0.041	1694	2012-06-27
RWSN	-0.017	0.039	1695	2012-07-04
RWSN	-0.016	0.039	1696	2012-07-11
RWSN	-0.017	0.039	1697	2012-07-18
RWSN	-0.018	0.039	1698	2012-07-25
RWSN	-0.017	0.039	1699	2012-08-01
RWSN	-0.018	0.040	1700	2012-08-08
RWSN	-0.018	0.039	1701	2012-08-15
RWSN	-0.018	0.039	1702	2012-08-22
RWSN	-0.018	0.038	1703	2012-08-29
RWSN	-0.018	0.038	1704	2012-09-05
RWSN	-0.018	0.040	1705	2012-09-12
RWSN	-0.018	0.038	1706	2012-09-19
RWSN	-0.020	0.048	1709	2012-10-10
RWSN	-0.018	0.074	1803	2014-07-30
RWSN	-0.018	0.079	1804	2014-08-06
RWSN	-0.016	0.086	1805	2014-08-13
RWSN	-0.016	0.085	1806	2014-08-20
RWSN	-0.015	0.080	1807	2014-08-27
RWSN	-0.017	0.084	1808	2014-09-03
RWSN	-0.012	0.087	1809	2014-09-10
RWSN	0.008	0.102	1814	2014-10-15
RWSN	-0.034	0.083	1820	2014-11-26
RWSN	-0.036	0.084	1821	2014-12-03
RWSN	-0.031	0.085	1822	2014-12-10
RWSN	-0.013	0.094	1825	2014-12-31
RWSN	0.001	0.098	1827	2015-01-14
RWSN	0.001	0.100	1828	2015-01-21
RWSN	-0.002	0.096	1830	2015-02-04
RWSN	-0.005	0.094	1831	2015-02-11
RWSN	0.000	0.098	1832	2015-02-18
RWSN	0.001	0.096	1833	2015-02-25
RWSN	-0.010	0.090	1834	2015-03-04
RWSN	-0.007	0.091	1835	2015-03-11
RWSN	-0.004	0.096	1836	2015-03-18
RWSN	-0.003	0.092	1837	2015-03-25
RWSN	-0.005	0.093	1838	2015-04-01
RWSN	-0.005	0.097	1839	2015-04-08
RWSN	-0.002	0.094	1840	2015-04-15
RWSN	-0.003	0.097	1841	2015-04-22
RWSN	-0.002	0.093	1842	2015-04-29
RWSN	-0.004	0.095	1843	2015-05-06
RWSN	-0.002	0.099	1844	2015-05-13
RWSN	0.000	0.101	1845	2015-05-20
RWSN	-0.004	0.096	1846	2015-05-27
RWSN	-0.001	0.100	1847	2015-06-03
RWSN	0.015	0.069	1848	2015-06-10
RWSN	0.016	0.069	1849	2015-06-17
RWSN	0.015	0.068	1850	2015-06-24
RWSN	0.017	0.069	1851	2015-07-01
RWSN	0.022	0.073	1852	2015-07-08
RWSN	0.020	0.070	1853	2015-07-15
RWSN	0.022	0.073	1854	2015-07-22
RWSN	0.021	0.072	1855	2015-07-29
RWSN	0.024	0.074	1856	2015-08-05
RWSN	0.005	0.103	1858	2015-08-19
RWSN	0.001	0.099	1859	2015-08-26
RWSN	0.001	0.098	1860	2015-09-02
RWSN	-0.002	0.098	1861	2015-09-09
RWSN	0.003	0.100	1862	2015-09-16
