station	d_lat	d_lon	gpsweek	date
SRLP	-0.006	-0.006	1640	2011-06-15
SRLP	-0.006	-0.006	1641	2011-06-22
SRLP	-0.008	-0.007	1642	2011-06-29
SRLP	-0.009	-0.006	1643	2011-07-06
SRLP	-0.007	-0.006	1644	2011-07-13
SRLP	-0.007	-0.005	1645	2011-07-20
SRLP	-0.007	-0.006	1646	2011-07-27
SRLP	-0.008	-0.006	1647	2011-08-03
SRLP	-0.007	-0.006	1648	2011-08-10
SRLP	-0.007	-0.006	1649	2011-08-17
SRLP	-0.008	-0.005	1650	2011-08-24
SRLP	-0.008	-0.006	1651	2011-08-31
SRLP	-0.007	-0.007	1652	2011-09-07
SRLP	-0.007	-0.008	1653	2011-09-14
SRLP	-0.007	-0.008	1654	2011-09-21
SRLP	-0.006	-0.008	1655	2011-09-28
SRLP	-0.006	-0.008	1656	2011-10-05
SRLP	-0.006	-0.009	1657	2011-10-12
SRLP	-0.007	-0.006	1658	2011-10-19
SRLP	-0.007	-0.004	1659	2011-10-26
SRLP	-0.006	-0.006	1660	2011-11-02
SRLP	-0.007	-0.007	1661	2011-11-09
SRLP	-0.008	-0.006	1662	2011-11-16
SRLP	-0.009	-0.003	1663	2011-11-23
SRLP	-0.009	-0.003	1664	2011-11-30
SRLP	-0.008	-0.003	1665	2011-12-07
SRLP	-0.010	-0.003	1666	2011-12-14
SRLP	-0.011	-0.003	1667	2011-12-21
SRLP	-0.011	-0.001	1668	2011-12-28
SRLP	-0.009	-0.003	1669	2012-01-04
SRLP	-0.010	-0.004	1670	2012-01-11
SRLP	-0.009	-0.006	1671	2012-01-18
SRLP	-0.021	-0.007	1672	2012-01-25
SRLP	-0.020	-0.007	1673	2012-02-01
SRLP	0.031	-0.024	1674	2012-02-08
SRLP	-0.019	-0.007	1675	2012-02-15
SRLP	-0.021	-0.007	1676	2012-02-22
SRLP	-0.005	-0.032	1677	2012-02-29
SRLP	-0.005	-0.032	1678	2012-03-07
SRLP	-0.006	-0.030	1679	2012-03-14
SRLP	-0.006	-0.032	1680	2012-03-21
SRLP	-0.006	-0.031	1681	2012-03-28
SRLP	-0.006	-0.031	1682	2012-04-04
SRLP	-0.006	-0.030	1683	2012-04-11
SRLP	0.031	-0.023	1684	2012-04-18
SRLP	-0.007	-0.004	1685	2012-04-25
SRLP	-0.008	-0.005	1686	2012-05-02
SRLP	-0.009	-0.005	1687	2012-05-09
SRLP	-0.008	-0.005	1688	2012-05-16
SRLP	-0.007	-0.004	1689	2012-05-23
