station	d_lat	d_lon	gpsweek	date
SVIC	0.002	0.001	1640	2011-06-15
SVIC	0.002	0.001	1641	2011-06-22
SVIC	0.001	0.000	1642	2011-06-29
SVIC	0.001	0.001	1643	2011-07-06
SVIC	0.003	0.001	1644	2011-07-13
SVIC	0.003	0.002	1645	2011-07-20
SVIC	0.001	0.001	1646	2011-07-27
SVIC	0.001	0.001	1647	2011-08-03
SVIC	0.002	0.002	1648	2011-08-10
SVIC	0.001	0.000	1649	2011-08-17
SVIC	0.002	0.001	1650	2011-08-24
SVIC	0.002	0.002	1651	2011-08-31
SVIC	0.001	0.002	1652	2011-09-07
SVIC	0.002	0.001	1653	2011-09-14
SVIC	0.001	-0.001	1654	2011-09-21
SVIC	0.001	0.000	1655	2011-09-28
SVIC	0.002	0.000	1656	2011-10-05
SVIC	-0.001	-0.001	1657	2011-10-12
SVIC	0.001	-0.002	1658	2011-10-19
SVIC	0.003	-0.001	1659	2011-10-26
SVIC	0.001	0.001	1660	2011-11-02
SVIC	0.003	-0.001	1661	2011-11-09
SVIC	0.001	-0.001	1662	2011-11-16
SVIC	0.000	-0.001	1663	2011-11-23
SVIC	-0.002	0.000	1664	2011-11-30
SVIC	-0.002	0.000	1665	2011-12-07
SVIC	-0.001	0.000	1666	2011-12-14
SVIC	0.001	0.001	1667	2011-12-21
SVIC	-0.003	0.001	1668	2011-12-28
SVIC	-0.006	-0.000	1669	2012-01-04
SVIC	-0.004	0.003	1670	2012-01-11
SVIC	-0.005	0.001	1671	2012-01-18
SVIC	-0.004	0.002	1672	2012-01-25
SVIC	0.001	0.004	1673	2012-02-01
SVIC	-0.003	-0.000	1674	2012-02-08
SVIC	-0.003	0.001	1675	2012-02-15
SVIC	-0.003	0.000	1676	2012-02-22
SVIC	-0.008	-0.002	1677	2012-02-29
SVIC	-0.007	-0.004	1678	2012-03-07
SVIC	-0.006	0.003	1679	2012-03-14
SVIC	-0.005	0.003	1680	2012-03-21
SVIC	-0.005	0.002	1681	2012-03-28
SVIC	-0.004	0.003	1682	2012-04-04
SVIC	-0.005	0.003	1683	2012-04-11
SVIC	-0.004	0.003	1684	2012-04-18
SVIC	-0.003	0.003	1685	2012-04-25
SVIC	-0.005	0.001	1686	2012-05-02
SVIC	-0.006	0.002	1687	2012-05-09
SVIC	-0.005	0.003	1688	2012-05-16
SVIC	-0.005	0.003	1689	2012-05-23
SVIC	-0.005	0.003	1690	2012-05-30
SVIC	-0.004	0.001	1691	2012-06-06
SVIC	-0.004	-0.002	1692	2012-06-13
SVIC	-0.004	-0.003	1693	2012-06-20
SVIC	-0.002	-0.003	1694	2012-06-27
SVIC	-0.003	-0.004	1695	2012-07-04
SVIC	-0.004	-0.003	1696	2012-07-11
SVIC	-0.003	-0.003	1697	2012-07-18
SVIC	-0.002	-0.004	1698	2012-07-25
SVIC	-0.002	-0.004	1699	2012-08-01
SVIC	-0.003	-0.005	1700	2012-08-08
SVIC	-0.003	-0.004	1701	2012-08-15
SVIC	-0.003	-0.003	1702	2012-08-22
SVIC	-0.004	-0.004	1703	2012-08-29
SVIC	-0.003	-0.003	1704	2012-09-05
SVIC	-0.002	-0.002	1705	2012-09-12
SVIC	-0.005	-0.005	1706	2012-09-19
SVIC	-0.001	-0.004	1707	2012-09-26
SVIC	-0.001	-0.005	1708	2012-10-03
SVIC	-0.003	-0.002	1709	2012-10-10
SVIC	-0.002	-0.003	1710	2012-10-17
SVIC	-0.001	-0.002	1711	2012-10-24
SVIC	-0.004	-0.005	1712	2012-10-31
SVIC	-0.002	-0.006	1713	2012-11-07
SVIC	-0.002	-0.006	1714	2012-11-14
SVIC	-0.003	-0.006	1715	2012-11-21
SVIC	-0.003	-0.002	1716	2012-11-28
SVIC	-0.004	-0.003	1717	2012-12-05
SVIC	-0.003	-0.003	1718	2012-12-12
SVIC	-0.006	-0.004	1719	2012-12-19
SVIC	-0.005	-0.003	1720	2012-12-26
SVIC	-0.004	-0.001	1721	2013-01-02
SVIC	-0.005	-0.003	1722	2013-01-09
SVIC	-0.006	-0.004	1723	2013-01-16
SVIC	-0.004	-0.003	1724	2013-01-23
SVIC	-0.004	-0.003	1725	2013-01-30
SVIC	-0.005	-0.004	1726	2013-02-06
SVIC	-0.004	-0.001	1727	2013-02-13
SVIC	-0.004	-0.003	1728	2013-02-20
SVIC	-0.005	-0.004	1729	2013-02-27
SVIC	-0.005	-0.002	1730	2013-03-06
SVIC	-0.005	-0.003	1731	2013-03-13
SVIC	-0.003	-0.002	1732	2013-03-20
SVIC	-0.004	-0.004	1733	2013-03-27
SVIC	-0.003	-0.003	1735	2013-04-10
SVIC	-0.004	-0.003	1736	2013-04-17
SVIC	-0.002	-0.003	1737	2013-04-24
SVIC	-0.003	-0.002	1738	2013-05-01
SVIC	-0.003	-0.003	1739	2013-05-08
SVIC	-0.004	-0.002	1740	2013-05-15
SVIC	-0.003	-0.003	1741	2013-05-22
SVIC	-0.004	-0.002	1742	2013-05-29
SVIC	-0.003	-0.003	1743	2013-06-05
SVIC	-0.003	-0.003	1744	2013-06-12
SVIC	-0.004	-0.003	1745	2013-06-19
SVIC	-0.004	-0.003	1746	2013-06-26
SVIC	-0.003	-0.004	1747	2013-07-03
SVIC	-0.001	-0.003	1748	2013-07-10
SVIC	-0.003	-0.003	1749	2013-07-17
SVIC	-0.004	-0.004	1750	2013-07-24
SVIC	-0.003	-0.002	1751	2013-07-31
SVIC	-0.003	-0.003	1752	2013-08-07
SVIC	-0.003	-0.004	1753	2013-08-14
SVIC	-0.002	-0.002	1754	2013-08-21
SVIC	-0.003	-0.003	1755	2013-08-28
SVIC	-0.003	-0.003	1756	2013-09-04
SVIC	-0.003	-0.002	1757	2013-09-11
SVIC	-0.004	-0.003	1758	2013-09-18
SVIC	-0.003	-0.003	1759	2013-09-25
SVIC	-0.004	-0.003	1760	2013-10-02
SVIC	-0.003	-0.002	1761	2013-10-09
SVIC	-0.004	-0.003	1762	2013-10-16
SVIC	-0.001	-0.003	1763	2013-10-23
SVIC	-0.002	-0.004	1764	2013-10-30
SVIC	-0.002	-0.005	1765	2013-11-06
SVIC	-0.003	-0.005	1766	2013-11-13
SVIC	-0.003	-0.005	1767	2013-11-20
SVIC	-0.004	-0.004	1769	2013-12-04
SVIC	-0.003	-0.006	1770	2013-12-11
SVIC	-0.003	-0.005	1771	2013-12-18
SVIC	-0.002	-0.005	1772	2013-12-25
SVIC	-0.002	-0.006	1773	2014-01-01
SVIC	-0.004	-0.006	1774	2014-01-08
SVIC	-0.003	-0.006	1775	2014-01-15
SVIC	-0.003	-0.005	1776	2014-01-22
SVIC	-0.005	-0.006	1777	2014-01-29
SVIC	-0.004	-0.004	1778	2014-02-05
SVIC	-0.005	-0.005	1779	2014-02-12
SVIC	-0.004	-0.005	1780	2014-02-19
SVIC	-0.004	-0.005	1781	2014-02-26
SVIC	-0.004	-0.005	1782	2014-03-05
SVIC	-0.005	-0.003	1783	2014-03-12
SVIC	-0.004	-0.004	1784	2014-03-19
SVIC	-0.004	-0.004	1785	2014-03-26
SVIC	-0.004	-0.003	1786	2014-04-02
SVIC	-0.003	-0.004	1787	2014-04-09
SVIC	-0.004	-0.003	1788	2014-04-16
SVIC	-0.005	-0.004	1789	2014-04-23
SVIC	-0.003	-0.003	1790	2014-04-30
SVIC	-0.004	-0.004	1791	2014-05-07
SVIC	-0.004	-0.004	1792	2014-05-14
SVIC	-0.004	-0.004	1793	2014-05-21
SVIC	-0.004	-0.004	1794	2014-05-28
SVIC	-0.003	-0.004	1795	2014-06-04
SVIC	-0.003	-0.004	1796	2014-06-11
SVIC	-0.004	-0.004	1797	2014-06-18
SVIC	-0.004	-0.003	1798	2014-06-25
SVIC	-0.004	-0.004	1799	2014-07-02
SVIC	-0.004	-0.004	1800	2014-07-09
SVIC	-0.003	-0.004	1801	2014-07-16
SVIC	-0.004	-0.004	1802	2014-07-23
SVIC	-0.004	-0.003	1803	2014-07-30
SVIC	-0.004	-0.005	1804	2014-08-06
SVIC	-0.005	-0.004	1805	2014-08-13
SVIC	-0.005	-0.004	1806	2014-08-20
SVIC	-0.005	-0.005	1807	2014-08-27
SVIC	-0.007	-0.003	1808	2014-09-03
SVIC	-0.008	-0.002	1809	2014-09-10
SVIC	-0.010	-0.002	1810	2014-09-17
SVIC	-0.009	-0.003	1811	2014-09-24
SVIC	-0.010	-0.003	1812	2014-10-01
SVIC	-0.010	-0.002	1813	2014-10-08
SVIC	-0.010	-0.003	1814	2014-10-15
SVIC	-0.011	-0.005	1815	2014-10-22
SVIC	-0.012	-0.003	1816	2014-10-29
SVIC	-0.011	-0.004	1817	2014-11-05
