station	d_lat	d_lon	gpsweek	date
UNRO	-0.003	-0.006	1640	2011-06-15
UNRO	-0.003	-0.006	1641	2011-06-22
UNRO	-0.002	-0.006	1642	2011-06-29
UNRO	-0.002	-0.006	1643	2011-07-06
UNRO	-0.002	-0.007	1644	2011-07-13
UNRO	-0.003	-0.006	1645	2011-07-20
UNRO	-0.003	-0.006	1646	2011-07-27
UNRO	-0.003	-0.006	1647	2011-08-03
UNRO	-0.004	-0.007	1648	2011-08-10
UNRO	-0.003	-0.006	1649	2011-08-17
UNRO	-0.003	-0.007	1650	2011-08-24
UNRO	-0.004	-0.006	1651	2011-08-31
UNRO	-0.004	-0.006	1652	2011-09-07
UNRO	-0.003	-0.006	1653	2011-09-14
UNRO	-0.003	-0.006	1654	2011-09-21
UNRO	-0.005	-0.004	1655	2011-09-28
UNRO	-0.004	-0.005	1656	2011-10-05
UNRO	-0.005	-0.005	1657	2011-10-12
UNRO	-0.005	-0.005	1658	2011-10-19
UNRO	-0.004	-0.006	1659	2011-10-26
UNRO	-0.006	-0.003	1660	2011-11-02
UNRO	-0.005	-0.005	1661	2011-11-09
UNRO	-0.005	-0.005	1662	2011-11-16
UNRO	-0.005	-0.003	1663	2011-11-23
UNRO	-0.006	-0.006	1664	2011-11-30
UNRO	-0.006	-0.003	1665	2011-12-07
UNRO	-0.005	-0.005	1666	2011-12-14
UNRO	-0.006	-0.002	1667	2011-12-21
UNRO	-0.007	-0.003	1668	2011-12-28
UNRO	-0.008	-0.003	1669	2012-01-04
UNRO	-0.009	-0.002	1670	2012-01-11
UNRO	-0.009	-0.003	1671	2012-01-18
UNRO	-0.008	-0.003	1672	2012-01-25
UNRO	-0.006	-0.002	1673	2012-02-01
UNRO	-0.008	-0.004	1674	2012-02-08
UNRO	-0.008	-0.003	1675	2012-02-15
UNRO	-0.009	-0.003	1676	2012-02-22
UNRO	-0.009	-0.002	1677	2012-02-29
UNRO	-0.009	-0.002	1678	2012-03-07
UNRO	-0.010	-0.002	1679	2012-03-14
UNRO	-0.009	-0.001	1680	2012-03-21
UNRO	-0.008	-0.002	1681	2012-03-28
UNRO	-0.009	-0.002	1682	2012-04-04
UNRO	-0.009	-0.002	1683	2012-04-11
UNRO	-0.009	-0.003	1684	2012-04-18
UNRO	-0.007	-0.002	1685	2012-04-25
UNRO	-0.007	-0.003	1686	2012-05-02
UNRO	-0.006	-0.005	1687	2012-05-09
UNRO	-0.009	-0.003	1688	2012-05-16
UNRO	-0.009	-0.004	1689	2012-05-23
UNRO	-0.006	-0.003	1690	2012-05-30
UNRO	-0.006	-0.003	1691	2012-06-06
UNRO	-0.006	-0.004	1692	2012-06-13
UNRO	-0.005	-0.004	1693	2012-06-20
UNRO	-0.006	-0.004	1694	2012-06-27
UNRO	-0.005	-0.003	1695	2012-07-04
UNRO	-0.005	-0.003	1696	2012-07-11
UNRO	-0.004	-0.004	1697	2012-07-18
UNRO	-0.004	-0.004	1698	2012-07-25
UNRO	-0.004	-0.004	1699	2012-08-01
UNRO	-0.005	-0.004	1700	2012-08-08
UNRO	-0.005	-0.004	1701	2012-08-15
UNRO	-0.005	-0.003	1702	2012-08-22
UNRO	-0.005	-0.003	1703	2012-08-29
