station	d_lat	d_lon	gpsweek	date
UNSJ	0.014	0.042	1640	2011-06-15
UNSJ	0.014	0.043	1641	2011-06-22
UNSJ	0.015	0.043	1642	2011-06-29
UNSJ	0.014	0.042	1643	2011-07-06
UNSJ	0.015	0.043	1644	2011-07-13
UNSJ	0.024	0.053	1645	2011-07-20
UNSJ	0.015	0.043	1646	2011-07-27
UNSJ	0.015	0.043	1647	2011-08-03
UNSJ	0.015	0.043	1648	2011-08-10
UNSJ	0.015	0.043	1649	2011-08-17
UNSJ	0.015	0.044	1650	2011-08-24
UNSJ	0.014	0.043	1651	2011-08-31
UNSJ	0.014	0.044	1652	2011-09-07
UNSJ	0.015	0.044	1653	2011-09-14
UNSJ	0.015	0.044	1654	2011-09-21
UNSJ	0.016	0.044	1655	2011-09-28
UNSJ	0.014	0.044	1656	2011-10-05
UNSJ	0.014	0.045	1657	2011-10-12
UNSJ	0.014	0.046	1658	2011-10-19
UNSJ	0.015	0.046	1659	2011-10-26
UNSJ	0.014	0.045	1660	2011-11-02
UNSJ	0.014	0.045	1661	2011-11-09
UNSJ	0.015	0.047	1662	2011-11-16
UNSJ	0.014	0.047	1663	2011-11-23
UNSJ	0.014	0.047	1664	2011-11-30
UNSJ	0.015	0.047	1665	2011-12-07
UNSJ	0.014	0.047	1666	2011-12-14
UNSJ	0.015	0.047	1667	2011-12-21
UNSJ	0.015	0.048	1668	2011-12-28
UNSJ	0.015	0.047	1669	2012-01-04
UNSJ	0.015	0.048	1670	2012-01-11
UNSJ	0.015	0.048	1671	2012-01-18
UNSJ	0.016	0.047	1672	2012-01-25
UNSJ	0.016	0.047	1673	2012-02-01
UNSJ	0.015	0.048	1674	2012-02-08
UNSJ	0.013	0.047	1675	2012-02-15
UNSJ	0.016	0.047	1676	2012-02-22
UNSJ	0.015	0.047	1677	2012-02-29
UNSJ	0.017	0.049	1678	2012-03-07
UNSJ	0.016	0.049	1679	2012-03-14
UNSJ	0.016	0.046	1680	2012-03-21
UNSJ	0.016	0.047	1681	2012-03-28
UNSJ	0.016	0.047	1682	2012-04-04
UNSJ	0.016	0.046	1683	2012-04-11
UNSJ	0.015	0.047	1684	2012-04-18
UNSJ	0.015	0.046	1685	2012-04-25
UNSJ	0.015	0.046	1686	2012-05-02
UNSJ	0.015	0.045	1687	2012-05-09
UNSJ	0.015	0.046	1688	2012-05-16
UNSJ	0.015	0.045	1689	2012-05-23
UNSJ	0.015	0.047	1690	2012-05-30
UNSJ	0.014	0.046	1691	2012-06-06
UNSJ	0.014	0.046	1692	2012-06-13
UNSJ	0.015	0.045	1693	2012-06-20
UNSJ	0.015	0.046	1694	2012-06-27
UNSJ	0.016	0.047	1695	2012-07-04
UNSJ	0.014	0.046	1696	2012-07-11
UNSJ	0.015	0.046	1697	2012-07-18
UNSJ	0.015	0.046	1698	2012-07-25
UNSJ	0.014	0.046	1699	2012-08-01
UNSJ	0.015	0.046	1700	2012-08-08
UNSJ	0.015	0.047	1701	2012-08-15
UNSJ	0.014	0.047	1702	2012-08-22
UNSJ	0.014	0.046	1703	2012-08-29
UNSJ	0.015	0.047	1704	2012-09-05
UNSJ	0.015	0.047	1705	2012-09-12
UNSJ	0.015	0.046	1706	2012-09-19
UNSJ	0.015	0.047	1707	2012-09-26
UNSJ	0.015	0.047	1708	2012-10-03
UNSJ	0.015	0.048	1709	2012-10-10
UNSJ	0.016	0.047	1710	2012-10-17
UNSJ	0.016	0.047	1711	2012-10-24
UNSJ	0.016	0.047	1712	2012-10-31
UNSJ	0.017	0.048	1713	2012-11-07
UNSJ	0.016	0.047	1714	2012-11-14
UNSJ	0.016	0.048	1715	2012-11-21
UNSJ	0.024	0.057	1716	2012-11-28
UNSJ	0.024	0.055	1717	2012-12-05
UNSJ	0.024	0.055	1718	2012-12-12
UNSJ	0.016	0.046	1719	2012-12-19
UNSJ	0.015	0.047	1720	2012-12-26
UNSJ	0.015	0.046	1721	2013-01-02
UNSJ	0.016	0.046	1722	2013-01-09
UNSJ	0.016	0.047	1723	2013-01-16
UNSJ	0.014	0.046	1724	2013-01-23
UNSJ	0.014	0.047	1725	2013-01-30
UNSJ	0.014	0.049	1726	2013-02-06
UNSJ	0.014	0.048	1727	2013-02-13
UNSJ	0.014	0.048	1728	2013-02-20
UNSJ	0.013	0.047	1729	2013-02-27
UNSJ	0.014	0.048	1730	2013-03-06
UNSJ	0.014	0.047	1731	2013-03-13
UNSJ	0.014	0.047	1732	2013-03-20
UNSJ	0.014	0.048	1733	2013-03-27
UNSJ	0.013	0.048	1734	2013-04-03
UNSJ	0.013	0.046	1735	2013-04-10
UNSJ	0.013	0.046	1736	2013-04-17
UNSJ	0.013	0.046	1737	2013-04-24
UNSJ	0.013	0.047	1738	2013-05-01
UNSJ	0.013	0.047	1739	2013-05-08
UNSJ	0.014	0.047	1740	2013-05-15
UNSJ	0.013	0.047	1741	2013-05-22
UNSJ	0.013	0.047	1742	2013-05-29
UNSJ	0.013	0.047	1743	2013-06-05
UNSJ	0.013	0.046	1744	2013-06-12
UNSJ	0.013	0.047	1745	2013-06-19
UNSJ	0.013	0.047	1746	2013-06-26
UNSJ	0.013	0.047	1747	2013-07-03
UNSJ	0.014	0.047	1748	2013-07-10
UNSJ	0.014	0.047	1749	2013-07-17
UNSJ	0.013	0.046	1750	2013-07-24
UNSJ	0.014	0.047	1751	2013-07-31
UNSJ	0.014	0.046	1752	2013-08-07
UNSJ	0.014	0.047	1753	2013-08-14
UNSJ	0.014	0.047	1754	2013-08-21
UNSJ	0.013	0.047	1755	2013-08-28
UNSJ	0.014	0.046	1756	2013-09-04
UNSJ	0.014	0.047	1757	2013-09-11
UNSJ	0.014	0.046	1758	2013-09-18
UNSJ	0.014	0.047	1759	2013-09-25
UNSJ	0.014	0.047	1760	2013-10-02
UNSJ	0.014	0.047	1761	2013-10-09
UNSJ	0.015	0.051	1762	2013-10-16
UNSJ	0.014	0.047	1763	2013-10-23
UNSJ	0.014	0.048	1764	2013-10-30
UNSJ	0.014	0.048	1765	2013-11-06
UNSJ	0.014	0.048	1766	2013-11-13
UNSJ	0.015	0.049	1767	2013-11-20
UNSJ	0.057	0.129	1769	2013-12-04
UNSJ	0.015	0.049	1770	2013-12-11
UNSJ	0.015	0.050	1771	2013-12-18
UNSJ	0.016	0.051	1772	2013-12-25
UNSJ	0.011	0.049	1773	2014-01-01
UNSJ	0.011	0.048	1774	2014-01-08
UNSJ	0.012	0.048	1775	2014-01-15
UNSJ	0.012	0.048	1776	2014-01-22
UNSJ	0.012	0.048	1777	2014-01-29
UNSJ	0.012	0.049	1778	2014-02-05
UNSJ	0.012	0.048	1779	2014-02-12
UNSJ	0.012	0.045	1780	2014-02-19
UNSJ	0.012	0.045	1781	2014-02-26
UNSJ	0.012	0.045	1782	2014-03-05
UNSJ	0.012	0.045	1783	2014-03-12
UNSJ	0.012	0.045	1784	2014-03-19
UNSJ	0.012	0.045	1785	2014-03-26
UNSJ	0.011	0.046	1786	2014-04-02
UNSJ	0.012	0.046	1787	2014-04-09
UNSJ	0.012	0.046	1788	2014-04-16
UNSJ	0.011	0.045	1789	2014-04-23
UNSJ	0.012	0.045	1790	2014-04-30
UNSJ	0.011	0.045	1791	2014-05-07
UNSJ	0.011	0.045	1792	2014-05-14
UNSJ	0.012	0.044	1793	2014-05-21
UNSJ	0.012	0.045	1794	2014-05-28
UNSJ	0.011	0.045	1795	2014-06-04
UNSJ	0.016	0.039	1796	2014-06-11
UNSJ	0.016	0.039	1797	2014-06-18
UNSJ	0.017	0.040	1798	2014-06-25
UNSJ	0.016	0.039	1799	2014-07-02
UNSJ	0.011	0.045	1800	2014-07-09
UNSJ	0.016	0.040	1801	2014-07-16
UNSJ	0.011	0.046	1802	2014-07-23
UNSJ	0.011	0.045	1803	2014-07-30
UNSJ	0.011	0.045	1804	2014-08-06
UNSJ	0.011	0.046	1805	2014-08-13
UNSJ	0.012	0.045	1806	2014-08-20
UNSJ	0.011	0.046	1807	2014-08-27
UNSJ	0.011	0.047	1808	2014-09-03
UNSJ	0.011	0.045	1809	2014-09-10
UNSJ	0.011	0.046	1810	2014-09-17
UNSJ	0.011	0.047	1811	2014-09-24
UNSJ	0.011	0.046	1812	2014-10-01
UNSJ	0.011	0.046	1813	2014-10-08
UNSJ	0.011	0.045	1814	2014-10-15
UNSJ	0.010	0.045	1815	2014-10-22
UNSJ	0.010	0.045	1816	2014-10-29
UNSJ	0.011	0.045	1817	2014-11-05
UNSJ	0.010	0.046	1818	2014-11-12
UNSJ	0.010	0.045	1819	2014-11-19
UNSJ	0.010	0.046	1820	2014-11-26
UNSJ	0.011	0.046	1821	2014-12-03
UNSJ	0.010	0.046	1822	2014-12-10
UNSJ	0.011	0.047	1823	2014-12-17
UNSJ	0.011	0.046	1824	2014-12-24
UNSJ	0.010	0.046	1825	2014-12-31
UNSJ	0.011	0.047	1826	2015-01-07
UNSJ	0.011	0.047	1827	2015-01-14
UNSJ	0.011	0.046	1828	2015-01-21
UNSJ	0.060	0.155	1830	2015-02-04
UNSJ	0.011	0.046	1831	2015-02-11
UNSJ	0.011	0.048	1832	2015-02-18
UNSJ	0.011	0.047	1833	2015-02-25
UNSJ	0.009	0.045	1834	2015-03-04
UNSJ	0.010	0.045	1835	2015-03-11
UNSJ	0.010	0.045	1836	2015-03-18
UNSJ	0.011	0.048	1837	2015-03-25
UNSJ	0.010	0.046	1838	2015-04-01
UNSJ	0.010	0.047	1839	2015-04-08
UNSJ	0.010	0.046	1840	2015-04-15
UNSJ	0.011	0.046	1841	2015-04-22
UNSJ	0.011	0.047	1842	2015-04-29
UNSJ	0.011	0.044	1843	2015-05-06
UNSJ	0.010	0.045	1844	2015-05-13
UNSJ	0.010	0.046	1845	2015-05-20
UNSJ	0.010	0.046	1846	2015-05-27
