station	lat	lon	avg_err e [cm]	avg_err n [cm]	modulo_err [cm]	3σ e [cm]	3σ n [cm]
ABRA	-22.722035408913435	-65.69730946312445	2.2	7.1	7.4	0.8	1.9
AGGO	-34.873708096375246	-58.13985640589829	-0.2	0.1	0.2	0.2	0.2
ALUM	-27.32342674159197	-66.5966282660134	-0.5	-0.9	1.0	1.4	1.8
AUTF	-54.83952495941909	-68.30356658110837	-0.4	3.7	3.7	0.9	3.1
AZUL	-36.76702223009906	-59.8812801842934	0.4	-0.9	1.0	0.8	0.4
BCAR	-37.76123356567683	-58.30109509354228	-0.5	0.3	0.6	0.6	0.5
BCH1	-41.146773039395406	-71.29891259703122	-2.0	4.7	5.1	1.2	1.1
CATA	-28.470985029061833	-65.77412091331433	-0.6	0.1	0.6	1.1	1.8
CHAC	-27.42043994273047	-58.959693116768456	0.8	0.9	1.2	0.6	1.1
CORD	-31.52843459008249	-64.47004826897802	0.2	0.6	0.6	2.1	4.6
COYQ	-45.51434093340902	-71.89208081758498	-3.8	2.6	4.6	1.7	4.5
CSLO	-31.78488726582588	-69.30221395819393	4.2	6.6	7.8	4.0	7.4
EBYP	-27.36894412524986	-55.89217452451775	0.3	0.1	0.3	1.5	0.5
ESQU	-42.91711362530842	-71.32340060433296	-2.1	4.9	5.3	5.6	25.6
GUAY	-31.869130428540167	-59.02622282602728	-0.8	-0.4	0.9	0.8	0.8
IGM1	-34.57224370224664	-58.4393193260698	-0.2	-0.3	0.4	0.6	0.8
JBAL	-27.584408297893866	-65.62274965425992	0.6	1.4	1.5	1.2	1.3
LHCL	-38.00265952311207	-65.59524722917732	-0.9	-1.5	1.7	2.7	8.8
LPGS	-34.906745112175344	-57.93229954069133	0.3	0.0	0.3	0.6	0.8
MA01	-38.951048919885025	-68.05735158169708	5.6	3.4	6.6	2.3	24.6
MECO	-29.184887143117987	-58.075845330311196	0.1	0.3	0.3	0.6	0.8
MGUE	-35.7773519757052	-69.39791955304007	14.0	-52.0	53.9	7.1	21.0
MPL2	-38.00576733725101	-57.57129728813324	0.7	0.3	0.8	0.3	0.9
MZAC	-32.89515276182431	-68.87557364319174	-1.0	-1.1	1.5	3.8	15.7
MZAE	-33.2548431926997	-68.15006143589231	-0.0	1.1	1.1	3.6	24.2
MZAL	-32.72071487374723	-68.59522290745585	1.0	4.5	4.6	1.0	3.9
MZAU	-33.73595663937883	-69.11841199430093	-1.3	-18.7	18.7	3.8	17.3
MZGA	-34.97843322273402	-67.69616573922097	-6.2	15.5	16.7	3.9	15.7
MZRF	-34.61237727124794	-68.33148224536684	-1.6	-22.2	22.3	1.6	4.3
NESA	-40.105393075307816	-64.45400475037691	-0.9	3.6	3.7	2.4	5.3
PEJO	-35.80632460569043	-61.894638641610676	-1.6	2.2	2.7	0.7	1.1
PRCV	-24.962753927614642	-53.46632948558449	1.2	0.4	1.3	1.7	0.4
PRNA	-31.781435877828756	-60.46943928335337	1.6	0.1	1.6	1.6	0.8
RECO	-29.14635862122474	-59.66442943950647	-0.1	0.8	0.8	0.7	0.9
RIO2	-53.78547188615282	-67.75111788925638	-0.8	-1.9	2.1	1.3	3.3
RSAL	-29.789444676676577	-55.768839926369246	0.2	0.1	0.2	0.7	1.1
RSCL	-28.141879535665133	-54.754759511457145	-0.1	0.2	0.2	0.5	0.5
RWSN	-43.298880660070104	-65.10724833970625	-0.8	8.3	8.3	2.9	9.0
SANT	-33.15028802568159	-70.66855372004432	-8.0	-7.2	10.8	3.5	23.2
SL01	-33.15635627824368	-66.31400958032137	-5.7	1.9	6.0	2.7	14.9
SRLP	-36.621499459860786	-64.28040465777126	-0.2	-0.2	0.3	4.2	4.2
SVIC	-26.993713676290895	-54.48752051750666	-0.7	-0.2	0.7	1.5	0.6
TERO	-27.789145165540354	-64.25678073035498	0.7	-1.1	1.3	1.0	1.5
TUCU	-26.843255097854012	-65.23035158308355	-0.4	-0.3	0.5	0.6	0.9
UCOR	-31.434959985505085	-64.19350560160618	1.9	0.8	2.1	2.7	1.8
UNPA	-51.64799258327335	-69.20865409567784	3.3	-0.8	3.4	1.2	2.0
UNRO	-32.959352931138326	-60.62842521633276	-1.2	-0.3	1.2	1.5	0.5
UNSA	-24.727456333435057	-65.40764329775263	0.8	-2.5	2.6	2.4	3.7
UNSJ	-31.54125781896486	-68.57706068957148	1.0	5.3	5.4	3.2	5.9
UYCO	-34.462987084415765	-57.83538153781182	-0.3	-0.4	0.5	0.4	0.3
UYPA	-32.291249580770206	-58.067188502863395	0.4	0.0	0.4	0.7	0.6
UYSA	-31.375171818146526	-57.95978005460757	-0.2	-0.2	0.3	0.2	0.3
UYSO	-33.2612616143228	-58.01361780371121	-0.1	0.8	0.8	0.4	0.4
UYTD	-30.946270341751447	-57.52450132296068	0.1	0.4	0.4	0.3	0.3
VBCA	-38.700768190358396	-62.26922711152452	-0.0	0.6	0.6	1.0	3.5
YCBA	-22.0171034483961	-63.67998476251615	0.6	-0.6	0.8	1.6	4.1
YEMA	-24.280730908188566	-61.236506049181756	-0.3	-1.1	1.1	0.6	2.3
