station	d_lat	d_lon	gpsweek	date
BCAR	-0.003	0.005	1640	2011-06-15
BCAR	-0.003	0.005	1641	2011-06-22
BCAR	-0.006	0.005	1642	2011-06-29
BCAR	-0.004	0.006	1643	2011-07-06
BCAR	-0.006	0.004	1644	2011-07-13
BCAR	-0.006	0.003	1645	2011-07-20
BCAR	-0.006	0.004	1646	2011-07-27
BCAR	-0.006	0.004	1647	2011-08-03
BCAR	-0.006	0.004	1648	2011-08-10
BCAR	-0.006	0.003	1649	2011-08-17
BCAR	-0.006	0.004	1650	2011-08-24
BCAR	-0.006	0.004	1651	2011-08-31
BCAR	-0.007	0.003	1652	2011-09-07
BCAR	-0.006	0.004	1653	2011-09-14
BCAR	-0.006	0.004	1654	2011-09-21
BCAR	-0.005	0.003	1655	2011-09-28
BCAR	-0.006	0.004	1656	2011-10-05
BCAR	-0.006	0.004	1657	2011-10-12
BCAR	-0.006	0.003	1658	2011-10-19
BCAR	-0.004	0.003	1659	2011-10-26
BCAR	-0.005	0.003	1660	2011-11-02
BCAR	-0.005	0.003	1661	2011-11-09
BCAR	-0.005	0.002	1662	2011-11-16
BCAR	-0.002	0.003	1663	2011-11-23
BCAR	-0.005	0.003	1664	2011-11-30
BCAR	-0.005	0.003	1665	2011-12-07
BCAR	-0.005	0.003	1666	2011-12-14
BCAR	-0.005	0.002	1667	2011-12-21
BCAR	-0.005	0.003	1668	2011-12-28
BCAR	-0.004	0.002	1669	2012-01-04
BCAR	-0.005	0.003	1670	2012-01-11
BCAR	-0.003	0.002	1671	2012-01-18
BCAR	-0.005	0.003	1672	2012-01-25
BCAR	-0.005	0.002	1673	2012-02-01
BCAR	-0.005	0.002	1674	2012-02-08
BCAR	-0.006	0.002	1675	2012-02-15
BCAR	-0.004	0.003	1676	2012-02-22
BCAR	-0.004	0.003	1677	2012-02-29
BCAR	-0.005	0.003	1678	2012-03-07
BCAR	-0.004	0.003	1679	2012-03-14
BCAR	-0.006	0.003	1680	2012-03-21
BCAR	-0.005	0.003	1681	2012-03-28
BCAR	-0.006	0.002	1682	2012-04-04
BCAR	-0.005	0.003	1683	2012-04-11
BCAR	-0.006	0.003	1684	2012-04-18
BCAR	-0.006	0.003	1685	2012-04-25
BCAR	-0.006	0.003	1686	2012-05-02
BCAR	-0.006	0.003	1687	2012-05-09
BCAR	-0.006	0.003	1688	2012-05-16
BCAR	-0.006	0.003	1689	2012-05-23
BCAR	-0.006	0.003	1690	2012-05-30
BCAR	-0.007	0.003	1691	2012-06-06
BCAR	-0.006	0.004	1692	2012-06-13
BCAR	-0.006	0.003	1693	2012-06-20
BCAR	-0.006	0.003	1694	2012-06-27
BCAR	-0.007	0.003	1695	2012-07-04
BCAR	-0.006	0.004	1696	2012-07-11
BCAR	-0.006	0.003	1697	2012-07-18
BCAR	-0.006	0.003	1698	2012-07-25
BCAR	-0.005	0.004	1699	2012-08-01
BCAR	-0.005	0.004	1700	2012-08-08
BCAR	-0.005	0.003	1701	2012-08-15
BCAR	-0.005	0.003	1702	2012-08-22
BCAR	-0.005	0.003	1703	2012-08-29
BCAR	-0.006	0.003	1704	2012-09-05
BCAR	-0.005	0.003	1705	2012-09-12
BCAR	-0.006	0.003	1706	2012-09-19
BCAR	-0.006	0.003	1707	2012-09-26
BCAR	-0.005	0.003	1708	2012-10-03
BCAR	-0.006	0.004	1709	2012-10-10
BCAR	-0.005	0.003	1710	2012-10-17
BCAR	-0.005	0.003	1711	2012-10-24
BCAR	-0.005	0.003	1712	2012-10-31
BCAR	-0.005	0.003	1713	2012-11-07
BCAR	-0.005	0.002	1714	2012-11-14
BCAR	-0.005	0.003	1715	2012-11-21
BCAR	-0.005	0.003	1716	2012-11-28
BCAR	-0.006	0.003	1717	2012-12-05
BCAR	-0.005	0.003	1718	2012-12-12
BCAR	-0.006	0.003	1719	2012-12-19
BCAR	-0.005	0.002	1720	2012-12-26
BCAR	-0.005	0.002	1721	2013-01-02
BCAR	-0.004	0.003	1722	2013-01-09
BCAR	-0.005	0.003	1723	2013-01-16
BCAR	-0.005	0.002	1724	2013-01-23
BCAR	-0.005	0.003	1725	2013-01-30
BCAR	-0.006	0.002	1726	2013-02-06
BCAR	-0.006	0.002	1727	2013-02-13
BCAR	-0.005	0.003	1728	2013-02-20
BCAR	-0.006	0.002	1729	2013-02-27
BCAR	-0.005	0.001	1730	2013-03-06
BCAR	-0.005	0.001	1731	2013-03-13
BCAR	-0.004	0.001	1732	2013-03-20
BCAR	-0.004	0.003	1733	2013-03-27
BCAR	-0.004	0.003	1734	2013-04-03
BCAR	-0.005	0.003	1735	2013-04-10
BCAR	-0.005	0.003	1736	2013-04-17
BCAR	-0.005	0.003	1737	2013-04-24
BCAR	-0.005	0.004	1738	2013-05-01
BCAR	-0.006	0.003	1739	2013-05-08
BCAR	-0.007	0.003	1740	2013-05-15
BCAR	-0.007	0.004	1741	2013-05-22
BCAR	-0.007	0.003	1742	2013-05-29
BCAR	-0.007	0.004	1743	2013-06-05
BCAR	-0.007	0.003	1744	2013-06-12
BCAR	-0.008	0.003	1745	2013-06-19
BCAR	-0.007	0.003	1746	2013-06-26
BCAR	-0.007	0.004	1747	2013-07-03
BCAR	-0.007	0.003	1748	2013-07-10
BCAR	-0.007	0.003	1749	2013-07-17
BCAR	-0.007	0.004	1750	2013-07-24
BCAR	-0.007	0.003	1751	2013-07-31
BCAR	-0.006	0.004	1752	2013-08-07
BCAR	-0.007	0.004	1753	2013-08-14
BCAR	-0.007	0.003	1754	2013-08-21
BCAR	-0.006	0.004	1755	2013-08-28
BCAR	-0.006	0.003	1756	2013-09-04
BCAR	-0.007	0.003	1757	2013-09-11
BCAR	-0.006	0.002	1758	2013-09-18
BCAR	-0.006	0.004	1763	2013-10-23
BCAR	-0.005	0.003	1764	2013-10-30
BCAR	-0.005	0.003	1765	2013-11-06
BCAR	-0.006	0.004	1766	2013-11-13
BCAR	-0.005	0.004	1767	2013-11-20
BCAR	-0.006	0.003	1769	2013-12-04
BCAR	-0.004	0.002	1770	2013-12-11
BCAR	-0.003	0.003	1771	2013-12-18
BCAR	-0.005	0.003	1772	2013-12-25
BCAR	-0.005	0.003	1773	2014-01-01
BCAR	-0.005	0.004	1774	2014-01-08
BCAR	-0.001	0.004	1775	2014-01-15
BCAR	-0.000	0.003	1776	2014-01-22
BCAR	-0.000	0.004	1777	2014-01-29
BCAR	-0.000	0.004	1778	2014-02-05
BCAR	-0.000	0.004	1779	2014-02-12
BCAR	-0.006	0.004	1780	2014-02-19
BCAR	-0.000	0.004	1781	2014-02-26
BCAR	-0.000	0.005	1782	2014-03-05
BCAR	-0.001	0.004	1783	2014-03-12
BCAR	-0.001	0.005	1784	2014-03-19
BCAR	-0.001	0.005	1785	2014-03-26
BCAR	-0.000	0.005	1786	2014-04-02
BCAR	-0.001	0.006	1787	2014-04-09
BCAR	-0.001	0.005	1788	2014-04-16
BCAR	-0.001	0.005	1789	2014-04-23
BCAR	-0.001	0.005	1790	2014-04-30
BCAR	-0.002	0.005	1791	2014-05-07
BCAR	-0.001	0.005	1792	2014-05-14
BCAR	-0.002	0.005	1793	2014-05-21
BCAR	-0.001	0.005	1794	2014-05-28
BCAR	-0.001	0.005	1795	2014-06-04
BCAR	-0.001	0.005	1796	2014-06-11
BCAR	-0.002	0.005	1797	2014-06-18
BCAR	-0.002	0.005	1798	2014-06-25
BCAR	-0.002	0.006	1799	2014-07-02
BCAR	-0.001	0.006	1800	2014-07-09
BCAR	-0.001	0.006	1801	2014-07-16
BCAR	-0.002	0.006	1802	2014-07-23
BCAR	-0.002	0.006	1803	2014-07-30
BCAR	-0.002	0.005	1804	2014-08-06
BCAR	-0.003	0.005	1805	2014-08-13
BCAR	-0.002	0.006	1806	2014-08-20
BCAR	-0.002	0.005	1807	2014-08-27
BCAR	-0.000	0.005	1808	2014-09-03
BCAR	-0.003	0.013	1809	2014-09-10
BCAR	-0.003	0.012	1810	2014-09-17
BCAR	-0.000	0.005	1811	2014-09-24
BCAR	0.000	0.005	1812	2014-10-01
BCAR	-0.005	0.001	1813	2014-10-08
BCAR	-0.005	0.001	1814	2014-10-15
BCAR	-0.005	0.001	1815	2014-10-22
BCAR	-0.006	0.001	1816	2014-10-29
BCAR	-0.005	0.000	1817	2014-11-05
BCAR	-0.005	0.000	1818	2014-11-12
BCAR	-0.005	-0.000	1819	2014-11-19
BCAR	-0.005	-0.001	1820	2014-11-26
