station	d_lat	d_lon	gpsweek	date
MZAL	0.011	0.053	1852	2015-07-08
MZAL	0.012	0.055	1853	2015-07-15
MZAL	0.011	0.054	1854	2015-07-22
MZAL	-0.002	-0.008	1855	2015-07-29
MZAL	-0.002	-0.009	1856	2015-08-05
MZAL	0.011	0.054	1858	2015-08-19
MZAL	0.012	0.054	1859	2015-08-26
MZAL	0.011	0.054	1860	2015-09-02
MZAL	0.011	0.054	1861	2015-09-09
MZAL	0.011	0.055	1862	2015-09-16
MZAL	0.013	0.049	1863	2015-09-23
MZAL	0.012	0.048	1864	2015-09-30
MZAL	0.011	0.047	1865	2015-10-07
MZAL	0.013	0.048	1866	2015-10-14
MZAL	0.011	0.047	1867	2015-10-21
MZAL	0.011	0.047	1868	2015-10-28
MZAL	0.012	0.048	1869	2015-11-04
MZAL	0.010	0.047	1870	2015-11-11
MZAL	0.010	0.046	1871	2015-11-18
MZAL	0.011	0.047	1872	2015-11-25
MZAL	0.011	0.047	1873	2015-12-02
MZAL	0.011	0.047	1874	2015-12-09
MZAL	0.011	0.047	1875	2015-12-16
MZAL	0.011	0.048	1876	2015-12-23
MZAL	0.012	0.050	1877	2015-12-30
MZAL	0.010	0.049	1878	2016-01-06
MZAL	0.011	0.049	1882	2016-02-03
MZAL	0.010	0.048	1883	2016-02-10
MZAL	0.011	0.048	1884	2016-02-17
MZAL	0.012	0.045	1885	2016-02-24
MZAL	0.011	0.047	1886	2016-03-02
MZAL	0.011	0.047	1887	2016-03-09
MZAL	0.012	0.047	1888	2016-03-16
MZAL	0.011	0.046	1890	2016-03-30
MZAL	0.011	0.048	1891	2016-04-06
MZAL	0.010	0.047	1892	2016-04-13
MZAL	-0.005	0.001	1893	2016-04-20
MZAL	0.011	0.047	1894	2016-04-27
MZAL	0.011	0.047	1895	2016-05-04
MZAL	0.010	0.047	1896	2016-05-11
MZAL	0.011	0.047	1897	2016-05-18
MZAL	0.011	0.047	1898	2016-05-25
MZAL	0.011	0.047	1899	2016-06-01
MZAL	0.011	0.046	1901	2016-06-15
MZAL	0.011	0.046	1902	2016-06-22
MZAL	0.012	0.047	1903	2016-06-29
MZAL	0.011	0.047	1904	2016-07-06
MZAL	0.011	0.047	1905	2016-07-13
MZAL	0.011	0.047	1906	2016-07-20
MZAL	0.011	0.047	1907	2016-07-27
MZAL	0.011	0.047	1908	2016-08-03
MZAL	0.011	0.047	1911	2016-08-24
