station	d_lat	d_lon	gpsweek	date
PRCV	0.003	0.004	1763	2013-10-23
PRCV	0.004	0.006	1764	2013-10-30
PRCV	0.003	0.006	1765	2013-11-06
PRCV	0.004	0.006	1766	2013-11-13
PRCV	0.006	0.006	1767	2013-11-20
PRCV	0.006	0.005	1769	2013-12-04
PRCV	0.005	0.006	1770	2013-12-11
PRCV	0.004	0.005	1771	2013-12-18
PRCV	0.002	0.007	1772	2013-12-25
PRCV	0.003	0.007	1773	2014-01-01
PRCV	0.004	0.006	1774	2014-01-08
PRCV	0.004	0.006	1775	2014-01-15
PRCV	0.004	0.004	1776	2014-01-22
PRCV	0.004	0.003	1778	2014-02-05
PRCV	0.005	0.003	1779	2014-02-12
PRCV	0.005	0.004	1780	2014-02-19
PRCV	0.002	0.004	1781	2014-02-26
PRCV	0.003	0.003	1782	2014-03-05
PRCV	0.002	0.004	1783	2014-03-12
PRCV	0.003	0.003	1784	2014-03-19
PRCV	0.002	0.003	1785	2014-03-26
PRCV	0.003	0.003	1786	2014-04-02
PRCV	0.003	0.003	1787	2014-04-09
PRCV	0.004	0.002	1788	2014-04-16
PRCV	0.005	0.002	1789	2014-04-23
PRCV	0.003	0.003	1790	2014-04-30
PRCV	0.003	0.003	1791	2014-05-07
PRCV	0.004	0.003	1792	2014-05-14
PRCV	0.004	0.004	1793	2014-05-21
PRCV	0.004	0.003	1794	2014-05-28
PRCV	0.003	0.003	1795	2014-06-04
PRCV	0.004	0.003	1796	2014-06-11
PRCV	0.003	0.003	1797	2014-06-18
PRCV	0.003	0.003	1798	2014-06-25
PRCV	0.002	0.003	1799	2014-07-02
PRCV	0.004	0.003	1800	2014-07-09
PRCV	0.001	0.004	1801	2014-07-16
PRCV	0.003	0.004	1802	2014-07-23
PRCV	0.003	0.003	1803	2014-07-30
PRCV	0.004	0.004	1804	2014-08-06
PRCV	0.005	0.003	1805	2014-08-13
PRCV	0.004	0.004	1806	2014-08-20
PRCV	0.005	0.004	1807	2014-08-27
PRCV	0.007	0.004	1808	2014-09-03
PRCV	0.007	0.003	1809	2014-09-10
PRCV	0.007	0.004	1810	2014-09-17
PRCV	0.007	0.003	1811	2014-09-24
PRCV	0.008	0.002	1812	2014-10-01
PRCV	0.008	0.001	1813	2014-10-08
PRCV	0.008	0.002	1814	2014-10-15
PRCV	0.008	0.002	1815	2014-10-22
PRCV	0.009	0.002	1816	2014-10-29
PRCV	0.009	0.003	1817	2014-11-05
PRCV	0.009	0.003	1818	2014-11-12
PRCV	0.008	0.003	1819	2014-11-19
PRCV	0.010	0.003	1820	2014-11-26
PRCV	0.010	0.004	1821	2014-12-03
PRCV	0.009	0.004	1822	2014-12-10
PRCV	0.009	0.003	1823	2014-12-17
PRCV	0.011	0.003	1824	2014-12-24
PRCV	0.006	0.003	1825	2014-12-31
PRCV	0.007	0.002	1826	2015-01-07
PRCV	0.011	0.002	1827	2015-01-14
PRCV	0.012	0.002	1828	2015-01-21
PRCV	0.010	0.003	1830	2015-02-04
PRCV	0.011	0.002	1831	2015-02-11
PRCV	0.010	0.001	1832	2015-02-18
PRCV	0.012	0.000	1833	2015-02-25
PRCV	0.013	0.002	1834	2015-03-04
PRCV	0.012	0.002	1835	2015-03-11
PRCV	0.012	0.003	1836	2015-03-18
PRCV	0.013	0.003	1837	2015-03-25
PRCV	0.014	0.003	1838	2015-04-01
PRCV	0.012	0.003	1839	2015-04-08
PRCV	0.013	0.003	1840	2015-04-15
PRCV	0.014	0.003	1841	2015-04-22
PRCV	0.011	0.004	1842	2015-04-29
PRCV	0.011	0.003	1843	2015-05-06
PRCV	0.012	0.003	1844	2015-05-13
PRCV	0.012	0.003	1845	2015-05-20
PRCV	0.011	0.002	1846	2015-05-27
PRCV	0.010	0.003	1847	2015-06-03
PRCV	0.011	0.003	1848	2015-06-10
PRCV	0.009	0.003	1849	2015-06-17
