station	d_lat	d_lon	gpsweek	date
RECO	-0.006	0.009	1852	2015-07-08
RECO	-0.007	0.008	1853	2015-07-15
RECO	-0.007	0.010	1854	2015-07-22
RECO	-0.007	0.009	1855	2015-07-29
RECO	-0.008	0.009	1856	2015-08-05
RECO	-0.006	0.009	1858	2015-08-19
RECO	-0.006	0.008	1859	2015-08-26
RECO	-0.006	0.009	1860	2015-09-02
RECO	-0.005	0.008	1861	2015-09-09
RECO	-0.006	0.008	1862	2015-09-16
RECO	-0.007	0.009	1863	2015-09-23
RECO	-0.006	0.008	1864	2015-09-30
RECO	-0.007	0.008	1865	2015-10-07
RECO	-0.007	0.009	1866	2015-10-14
RECO	-0.006	0.008	1867	2015-10-21
RECO	-0.005	0.010	1868	2015-10-28
RECO	-0.004	0.009	1869	2015-11-04
RECO	-0.001	0.008	1870	2015-11-11
RECO	-0.000	0.008	1871	2015-11-18
RECO	-0.000	0.009	1872	2015-11-25
RECO	-0.001	0.009	1873	2015-12-02
RECO	-0.003	0.020	1874	2015-12-09
RECO	-0.002	0.019	1875	2015-12-16
RECO	-0.003	0.020	1876	2015-12-23
RECO	-0.001	0.011	1877	2015-12-30
RECO	-0.000	0.010	1878	2016-01-06
RECO	-0.003	0.004	1880	2016-01-20
RECO	-0.003	0.004	1882	2016-02-03
RECO	-0.001	0.011	1883	2016-02-10
RECO	-0.000	0.011	1884	2016-02-17
RECO	0.001	0.011	1885	2016-02-24
RECO	-0.002	0.019	1886	2016-03-02
RECO	-0.002	0.019	1887	2016-03-09
RECO	-0.003	0.005	1888	2016-03-16
RECO	-0.003	0.004	1890	2016-03-30
RECO	-0.003	0.005	1891	2016-04-06
RECO	-0.003	0.004	1892	2016-04-13
RECO	-0.001	0.004	1893	2016-04-20
RECO	-0.000	0.004	1894	2016-04-27
RECO	0.000	0.008	1895	2016-05-04
RECO	0.002	0.011	1896	2016-05-11
RECO	0.003	0.011	1897	2016-05-18
RECO	0.003	0.011	1898	2016-05-25
RECO	0.003	0.011	1899	2016-06-01
RECO	0.003	0.011	1900	2016-06-08
RECO	0.003	0.011	1901	2016-06-15
RECO	0.003	0.012	1902	2016-06-22
RECO	-0.000	0.004	1903	2016-06-29
RECO	0.000	0.009	1904	2016-07-06
RECO	-0.001	0.004	1905	2016-07-13
RECO	0.001	0.008	1906	2016-07-20
RECO	0.000	0.004	1907	2016-07-27
RECO	0.000	0.003	1908	2016-08-03
RECO	-0.000	0.003	1909	2016-08-10
RECO	-0.000	0.003	1910	2016-08-17
RECO	0.000	0.003	1911	2016-08-24
RECO	-0.000	0.004	1912	2016-08-31
RECO	0.000	0.004	1913	2016-09-07
RECO	-0.000	0.008	1914	2016-09-14
RECO	-0.000	0.009	1915	2016-09-21
RECO	-0.000	0.009	1916	2016-09-28
RECO	-0.001	0.008	1917	2016-10-05
RECO	-0.001	0.008	1918	2016-10-12
RECO	-0.000	0.010	1919	2016-10-19
RECO	-0.000	0.008	1920	2016-10-26
RECO	-0.000	0.007	1921	2016-11-02
RECO	-0.001	0.009	1922	2016-11-09
RECO	-0.001	0.008	1923	2016-11-16
RECO	-0.001	0.009	1924	2016-11-23
RECO	-0.000	0.007	1925	2016-11-30
RECO	-0.001	0.008	1926	2016-12-07
RECO	-0.001	0.008	1927	2016-12-14
RECO	-0.001	0.008	1928	2016-12-21
RECO	-0.002	0.007	1929	2016-12-28
RECO	-0.002	0.008	1930	2017-01-04
RECO	-0.002	0.008	1931	2017-01-11
RECO	-0.000	0.008	1932	2017-01-18
RECO	-0.001	0.009	1933	2017-01-25
RECO	-0.003	0.007	1934	2017-02-01
RECO	-0.002	0.006	1935	2017-02-08
RECO	-0.002	0.006	1936	2017-02-15
RECO	-0.001	0.007	1937	2017-02-22
RECO	-0.002	0.006	1938	2017-03-01
RECO	-0.001	0.007	1939	2017-03-08
RECO	0.000	0.007	1940	2017-03-15
RECO	-0.000	0.008	1941	2017-03-22
RECO	-0.001	0.007	1942	2017-03-29
RECO	-0.000	0.006	1943	2017-04-05
RECO	0.000	0.006	1944	2017-04-12
RECO	0.001	0.007	1945	2017-04-19
RECO	0.000	0.007	1946	2017-04-26
RECO	-0.000	0.008	1947	2017-05-03
RECO	0.000	0.007	1948	2017-05-10
RECO	-0.000	0.008	1949	2017-05-17
RECO	0.000	0.008	1950	2017-05-24
RECO	0.000	0.008	1951	2017-05-31
RECO	0.000	0.008	1952	2017-06-07
RECO	-0.000	0.008	1953	2017-06-14
RECO	-0.000	0.008	1954	2017-06-21
RECO	-0.001	0.008	1955	2017-06-28
RECO	-0.001	0.007	1956	2017-07-05
RECO	-0.001	0.007	1957	2017-07-12
RECO	0.000	0.007	1958	2017-07-19
RECO	-0.001	0.008	1959	2017-07-26
RECO	-0.000	0.007	1960	2017-08-02
RECO	-0.001	0.007	1961	2017-08-09
RECO	-0.001	0.007	1962	2017-08-16
RECO	-0.001	0.006	1963	2017-08-23
RECO	-0.001	0.006	1964	2017-08-30
RECO	-0.001	0.007	1965	2017-09-06
RECO	-0.000	0.007	1966	2017-09-13
RECO	-0.001	0.007	1967	2017-09-20
RECO	-0.000	0.007	1968	2017-09-27
RECO	-0.001	0.008	1969	2017-10-04
