station	d_lat	d_lon	gpsweek	date
UCOR	0.029	0.012	1640	2011-06-15
UCOR	0.030	0.012	1641	2011-06-22
UCOR	0.030	0.012	1642	2011-06-29
UCOR	0.029	0.012	1643	2011-07-06
UCOR	0.029	0.013	1644	2011-07-13
UCOR	0.030	0.013	1645	2011-07-20
UCOR	0.030	0.013	1646	2011-07-27
UCOR	0.030	0.012	1647	2011-08-03
UCOR	0.030	0.014	1648	2011-08-10
UCOR	0.030	0.013	1649	2011-08-17
UCOR	0.030	0.013	1650	2011-08-24
UCOR	0.030	0.013	1651	2011-08-31
UCOR	0.030	0.012	1652	2011-09-07
UCOR	0.030	0.013	1653	2011-09-14
UCOR	0.030	0.013	1654	2011-09-21
UCOR	0.030	0.013	1655	2011-09-28
UCOR	0.030	0.014	1656	2011-10-05
UCOR	0.030	0.014	1657	2011-10-12
UCOR	0.031	0.014	1658	2011-10-19
UCOR	0.031	0.013	1659	2011-10-26
UCOR	0.030	0.014	1660	2011-11-02
UCOR	0.030	0.014	1661	2011-11-09
UCOR	0.030	0.014	1662	2011-11-16
UCOR	0.030	0.015	1663	2011-11-23
UCOR	0.031	0.015	1664	2011-11-30
UCOR	0.032	0.015	1665	2011-12-07
UCOR	0.031	0.015	1666	2011-12-14
UCOR	0.031	0.015	1667	2011-12-21
UCOR	0.030	0.016	1668	2011-12-28
UCOR	0.033	0.014	1669	2012-01-04
UCOR	0.033	0.016	1670	2012-01-11
UCOR	0.032	0.016	1671	2012-01-18
UCOR	0.032	0.015	1672	2012-01-25
UCOR	0.032	0.015	1673	2012-02-01
UCOR	0.032	0.015	1674	2012-02-08
UCOR	0.031	0.015	1675	2012-02-15
UCOR	0.032	0.014	1676	2012-02-22
UCOR	0.027	0.013	1677	2012-02-29
UCOR	0.026	0.013	1678	2012-03-07
UCOR	0.027	0.015	1679	2012-03-14
UCOR	0.025	0.015	1680	2012-03-21
UCOR	0.027	0.013	1681	2012-03-28
UCOR	0.027	0.013	1682	2012-04-04
UCOR	0.028	0.013	1683	2012-04-11
UCOR	0.027	0.012	1684	2012-04-18
UCOR	0.028	0.013	1685	2012-04-25
UCOR	0.027	0.013	1686	2012-05-02
UCOR	0.033	0.014	1687	2012-05-09
UCOR	0.028	0.013	1688	2012-05-16
UCOR	0.026	0.012	1689	2012-05-23
UCOR	0.028	0.012	1690	2012-05-30
UCOR	0.028	0.012	1691	2012-06-06
UCOR	0.028	0.013	1692	2012-06-13
UCOR	0.028	0.012	1693	2012-06-20
UCOR	0.028	0.013	1694	2012-06-27
UCOR	0.027	0.012	1695	2012-07-04
UCOR	-0.014	-0.015	1696	2012-07-11
UCOR	-0.013	-0.014	1697	2012-07-18
