station	d_lat	d_lon	gpsweek	date
UNPA	0.031	-0.009	1677	2012-02-29
UNPA	0.035	-0.009	1678	2012-03-07
UNPA	0.032	-0.009	1679	2012-03-14
UNPA	0.032	-0.004	1680	2012-03-21
UNPA	0.032	-0.004	1681	2012-03-28
UNPA	0.025	-0.001	1682	2012-04-04
UNPA	0.025	-0.002	1683	2012-04-11
UNPA	0.027	-0.003	1684	2012-04-18
UNPA	0.028	-0.004	1685	2012-04-25
UNPA	0.027	-0.000	1686	2012-05-02
UNPA	0.030	-0.001	1687	2012-05-09
UNPA	0.027	0.000	1688	2012-05-16
UNPA	0.026	0.002	1689	2012-05-23
UNPA	0.026	-0.002	1690	2012-05-30
UNPA	0.024	-0.002	1691	2012-06-06
UNPA	0.025	-0.002	1692	2012-06-13
UNPA	0.026	-0.001	1693	2012-06-20
UNPA	0.025	-0.001	1694	2012-06-27
UNPA	0.024	-0.001	1695	2012-07-04
UNPA	0.026	0.000	1696	2012-07-11
UNPA	0.025	-0.000	1697	2012-07-18
UNPA	0.024	0.000	1698	2012-07-25
UNPA	0.029	-0.000	1699	2012-08-01
UNPA	0.025	0.001	1700	2012-08-08
UNPA	0.026	0.001	1701	2012-08-15
UNPA	0.027	0.001	1702	2012-08-22
UNPA	0.029	0.001	1703	2012-08-29
UNPA	0.028	0.002	1704	2012-09-05
UNPA	0.029	0.001	1705	2012-09-12
UNPA	0.029	-0.001	1706	2012-09-19
UNPA	0.030	-0.004	1707	2012-09-26
UNPA	0.029	-0.004	1708	2012-10-03
UNPA	0.033	-0.007	1709	2012-10-10
UNPA	0.029	0.001	1710	2012-10-17
UNPA	0.029	0.004	1711	2012-10-24
UNPA	0.029	0.004	1712	2012-10-31
UNPA	0.030	0.002	1713	2012-11-07
UNPA	0.030	0.001	1714	2012-11-14
UNPA	0.029	0.001	1715	2012-11-21
UNPA	0.029	0.003	1716	2012-11-28
UNPA	0.032	-0.002	1717	2012-12-05
UNPA	0.030	-0.004	1718	2012-12-12
UNPA	0.027	-0.003	1719	2012-12-19
UNPA	0.027	-0.002	1720	2012-12-26
UNPA	0.028	-0.002	1721	2013-01-02
UNPA	0.029	-0.003	1722	2013-01-09
UNPA	0.031	-0.003	1723	2013-01-16
UNPA	0.031	-0.006	1724	2013-01-23
UNPA	0.031	-0.006	1725	2013-01-30
UNPA	0.027	-0.005	1726	2013-02-06
UNPA	0.029	-0.007	1727	2013-02-13
UNPA	0.031	-0.007	1728	2013-02-20
UNPA	0.033	-0.008	1729	2013-02-27
UNPA	0.034	-0.009	1730	2013-03-06
UNPA	0.031	-0.009	1731	2013-03-13
UNPA	0.032	-0.008	1732	2013-03-20
UNPA	0.032	-0.007	1733	2013-03-27
UNPA	0.034	-0.008	1734	2013-04-03
UNPA	0.032	-0.008	1735	2013-04-10
UNPA	0.030	-0.008	1736	2013-04-17
UNPA	0.031	-0.008	1737	2013-04-24
UNPA	0.032	-0.008	1738	2013-05-01
UNPA	0.033	-0.007	1739	2013-05-08
UNPA	0.032	-0.007	1740	2013-05-15
UNPA	0.033	-0.006	1741	2013-05-22
UNPA	0.032	-0.008	1742	2013-05-29
UNPA	0.030	-0.006	1743	2013-06-05
UNPA	0.030	-0.005	1744	2013-06-12
UNPA	0.029	-0.005	1745	2013-06-19
UNPA	0.030	-0.005	1746	2013-06-26
UNPA	0.029	-0.005	1747	2013-07-03
UNPA	0.031	-0.004	1748	2013-07-10
UNPA	0.030	-0.004	1749	2013-07-17
UNPA	0.030	-0.004	1750	2013-07-24
UNPA	0.033	-0.004	1751	2013-07-31
UNPA	0.030	-0.002	1752	2013-08-07
UNPA	0.029	-0.002	1753	2013-08-14
UNPA	0.030	-0.003	1754	2013-08-21
UNPA	0.030	-0.003	1755	2013-08-28
UNPA	0.032	-0.004	1756	2013-09-04
UNPA	0.031	-0.005	1757	2013-09-11
UNPA	0.030	-0.004	1758	2013-09-18
UNPA	0.032	-0.004	1759	2013-09-25
UNPA	0.033	-0.005	1760	2013-10-02
UNPA	0.035	-0.003	1761	2013-10-09
UNPA	0.033	-0.001	1762	2013-10-16
UNPA	0.035	-0.001	1763	2013-10-23
UNPA	0.034	-0.002	1764	2013-10-30
UNPA	0.036	0.000	1765	2013-11-06
UNPA	0.038	0.001	1766	2013-11-13
UNPA	0.032	-0.004	1767	2013-11-20
UNPA	0.029	-0.003	1769	2013-12-04
UNPA	0.028	-0.007	1770	2013-12-11
UNPA	0.027	-0.007	1771	2013-12-18
UNPA	0.027	0.001	1777	2014-01-29
UNPA	0.027	-0.005	1778	2014-02-05
UNPA	0.027	-0.006	1779	2014-02-12
UNPA	0.027	-0.006	1780	2014-02-19
UNPA	0.027	-0.007	1781	2014-02-26
UNPA	0.029	-0.007	1782	2014-03-05
UNPA	0.030	-0.005	1783	2014-03-12
UNPA	0.030	-0.005	1784	2014-03-19
UNPA	0.028	-0.005	1785	2014-03-26
UNPA	0.031	-0.006	1786	2014-04-02
UNPA	0.033	-0.009	1787	2014-04-09
UNPA	0.031	-0.008	1788	2014-04-16
UNPA	0.030	-0.009	1789	2014-04-23
UNPA	0.030	-0.009	1790	2014-04-30
UNPA	0.034	-0.009	1791	2014-05-07
UNPA	0.035	-0.008	1792	2014-05-14
UNPA	0.037	-0.008	1793	2014-05-21
UNPA	0.035	-0.007	1794	2014-05-28
UNPA	0.037	-0.008	1795	2014-06-04
UNPA	0.037	-0.008	1796	2014-06-11
UNPA	0.037	-0.007	1797	2014-06-18
UNPA	0.035	-0.007	1798	2014-06-25
UNPA	0.034	-0.005	1799	2014-07-02
UNPA	0.035	-0.006	1800	2014-07-09
UNPA	0.037	-0.006	1801	2014-07-16
UNPA	0.034	-0.008	1802	2014-07-23
UNPA	0.035	-0.008	1803	2014-07-30
UNPA	0.034	-0.007	1804	2014-08-06
UNPA	0.033	-0.007	1805	2014-08-13
UNPA	0.035	-0.007	1806	2014-08-20
UNPA	0.036	-0.008	1807	2014-08-27
UNPA	0.035	-0.007	1808	2014-09-03
UNPA	0.034	-0.007	1809	2014-09-10
UNPA	0.035	-0.006	1810	2014-09-17
UNPA	0.034	-0.008	1811	2014-09-24
UNPA	0.033	-0.008	1812	2014-10-01
UNPA	0.036	-0.006	1813	2014-10-08
UNPA	0.037	-0.005	1814	2014-10-15
UNPA	0.038	-0.005	1815	2014-10-22
UNPA	0.038	-0.004	1816	2014-10-29
UNPA	0.036	-0.009	1817	2014-11-05
UNPA	0.036	-0.005	1818	2014-11-12
UNPA	0.036	-0.005	1819	2014-11-19
UNPA	0.032	-0.009	1820	2014-11-26
UNPA	0.033	-0.008	1821	2014-12-03
UNPA	0.032	-0.009	1822	2014-12-10
UNPA	0.030	-0.006	1823	2014-12-17
UNPA	0.027	-0.004	1824	2014-12-24
UNPA	0.029	-0.009	1825	2014-12-31
UNPA	0.032	-0.009	1826	2015-01-07
UNPA	0.030	-0.005	1827	2015-01-14
UNPA	0.031	-0.006	1828	2015-01-21
UNPA	0.033	-0.013	1830	2015-02-04
UNPA	0.034	-0.009	1831	2015-02-11
UNPA	0.034	-0.009	1832	2015-02-18
UNPA	0.033	-0.008	1833	2015-02-25
UNPA	0.031	-0.008	1834	2015-03-04
UNPA	0.031	-0.007	1835	2015-03-11
UNPA	0.033	-0.006	1836	2015-03-18
UNPA	0.034	-0.004	1837	2015-03-25
UNPA	0.034	-0.002	1838	2015-04-01
UNPA	0.033	-0.007	1839	2015-04-08
UNPA	0.032	-0.011	1840	2015-04-15
UNPA	0.035	-0.010	1841	2015-04-22
UNPA	0.033	-0.009	1842	2015-04-29
UNPA	0.035	-0.011	1843	2015-05-06
UNPA	0.034	-0.011	1844	2015-05-13
UNPA	0.033	-0.011	1845	2015-05-20
UNPA	0.032	-0.013	1846	2015-05-27
UNPA	0.035	-0.013	1847	2015-06-03
UNPA	0.033	-0.009	1848	2015-06-10
UNPA	0.033	-0.010	1849	2015-06-17
UNPA	0.033	-0.007	1850	2015-06-24
UNPA	0.033	-0.008	1851	2015-07-01
UNPA	0.034	-0.008	1852	2015-07-08
UNPA	0.033	-0.006	1853	2015-07-15
UNPA	0.034	-0.008	1854	2015-07-22
UNPA	0.035	-0.008	1855	2015-07-29
UNPA	0.033	-0.008	1856	2015-08-05
UNPA	0.033	-0.008	1858	2015-08-19
UNPA	0.035	-0.010	1859	2015-08-26
UNPA	0.034	-0.009	1860	2015-09-02
UNPA	0.034	-0.010	1861	2015-09-09
UNPA	0.035	-0.008	1862	2015-09-16
UNPA	0.035	-0.008	1863	2015-09-23
UNPA	0.038	-0.008	1864	2015-09-30
UNPA	0.039	-0.006	1865	2015-10-07
UNPA	0.039	-0.008	1866	2015-10-14
UNPA	0.038	-0.008	1867	2015-10-21
UNPA	0.039	-0.007	1868	2015-10-28
UNPA	0.038	-0.005	1869	2015-11-04
UNPA	0.037	-0.004	1870	2015-11-11
UNPA	0.035	-0.006	1871	2015-11-18
UNPA	0.035	-0.006	1872	2015-11-25
UNPA	0.035	-0.007	1873	2015-12-02
UNPA	0.033	-0.006	1874	2015-12-09
UNPA	0.030	-0.012	1882	2016-02-03
UNPA	0.030	-0.018	1883	2016-02-10
UNPA	0.030	-0.014	1884	2016-02-17
UNPA	0.029	-0.014	1885	2016-02-24
UNPA	0.028	-0.015	1886	2016-03-02
UNPA	0.028	-0.015	1887	2016-03-09
UNPA	0.031	-0.016	1888	2016-03-16
UNPA	0.031	-0.017	1890	2016-03-30
UNPA	0.032	-0.018	1891	2016-04-06
UNPA	0.037	-0.017	1892	2016-04-13
UNPA	0.038	-0.016	1893	2016-04-20
UNPA	0.039	-0.017	1894	2016-04-27
UNPA	0.040	-0.019	1895	2016-05-04
UNPA	0.041	-0.020	1896	2016-05-11
UNPA	0.041	-0.020	1897	2016-05-18
UNPA	0.042	-0.021	1898	2016-05-25
UNPA	0.042	-0.020	1899	2016-06-01
UNPA	0.041	-0.021	1900	2016-06-08
