station	d_lat	d_lon	gpsweek	date
UYCO	-0.002	-0.004	1870	2015-11-11
UYCO	-0.003	-0.005	1871	2015-11-18
UYCO	-0.002	-0.005	1872	2015-11-25
UYCO	-0.001	-0.002	1873	2015-12-02
UYCO	-0.003	-0.005	1874	2015-12-09
UYCO	-0.002	-0.006	1875	2015-12-16
UYCO	-0.003	-0.005	1876	2015-12-23
UYCO	-0.002	-0.006	1877	2015-12-30
UYCO	-0.003	-0.006	1878	2016-01-06
UYCO	-0.002	-0.006	1880	2016-01-20
UYCO	-0.002	-0.006	1882	2016-02-03
UYCO	-0.002	-0.006	1883	2016-02-10
UYCO	-0.002	-0.005	1884	2016-02-17
UYCO	-0.002	-0.006	1885	2016-02-24
UYCO	-0.003	-0.005	1886	2016-03-02
UYCO	-0.003	-0.005	1887	2016-03-09
UYCO	-0.003	-0.005	1888	2016-03-16
UYCO	-0.003	-0.005	1890	2016-03-30
UYCO	-0.002	-0.007	1891	2016-04-06
UYCO	-0.004	-0.004	1892	2016-04-13
UYCO	-0.006	-0.005	1893	2016-04-20
UYCO	-0.005	-0.005	1894	2016-04-27
UYCO	-0.004	-0.004	1895	2016-05-04
UYCO	-0.004	-0.004	1896	2016-05-11
UYCO	-0.004	-0.004	1897	2016-05-18
UYCO	-0.004	-0.003	1898	2016-05-25
UYCO	-0.004	-0.003	1899	2016-06-01
UYCO	-0.004	-0.003	1900	2016-06-08
UYCO	-0.004	-0.002	1901	2016-06-15
UYCO	-0.003	-0.002	1902	2016-06-22
UYCO	-0.004	-0.003	1903	2016-06-29
UYCO	-0.004	-0.004	1904	2016-07-06
UYCO	-0.004	-0.003	1905	2016-07-13
UYCO	-0.003	-0.003	1906	2016-07-20
UYCO	-0.004	-0.003	1907	2016-07-27
UYCO	-0.004	-0.004	1908	2016-08-03
UYCO	-0.003	-0.003	1909	2016-08-10
UYCO	-0.003	-0.004	1910	2016-08-17
UYCO	-0.003	-0.004	1911	2016-08-24
UYCO	-0.004	-0.003	1912	2016-08-31
UYCO	-0.005	-0.003	1913	2016-09-07
UYCO	-0.003	-0.003	1914	2016-09-14
UYCO	-0.003	-0.004	1915	2016-09-21
UYCO	-0.003	-0.004	1916	2016-09-28
UYCO	-0.003	-0.004	1917	2016-10-05
UYCO	-0.003	-0.003	1918	2016-10-12
UYCO	-0.008	-0.003	1919	2016-10-19
UYCO	-0.003	-0.004	1920	2016-10-26
UYCO	-0.003	-0.004	1921	2016-11-02
UYCO	-0.003	-0.005	1922	2016-11-09
UYCO	-0.003	-0.005	1923	2016-11-16
UYCO	-0.003	-0.004	1924	2016-11-23
UYCO	-0.004	-0.005	1925	2016-11-30
UYCO	-0.000	-0.007	1926	2016-12-07
UYCO	-0.002	-0.005	1927	2016-12-14
UYCO	-0.002	-0.006	1928	2016-12-21
UYCO	-0.001	-0.007	1929	2016-12-28
UYCO	-0.002	-0.006	1930	2017-01-04
UYCO	-0.001	-0.006	1931	2017-01-11
UYCO	-0.001	-0.006	1932	2017-01-18
UYCO	-0.001	-0.006	1933	2017-01-25
UYCO	-0.002	-0.004	1934	2017-02-01
UYCO	-0.002	-0.004	1935	2017-02-08
UYCO	-0.002	-0.004	1936	2017-02-15
UYCO	-0.001	-0.005	1937	2017-02-22
UYCO	-0.002	-0.005	1938	2017-03-01
UYCO	-0.003	-0.005	1939	2017-03-08
UYCO	-0.002	-0.004	1940	2017-03-15
UYCO	-0.002	-0.004	1941	2017-03-22
UYCO	-0.001	-0.004	1942	2017-03-29
UYCO	-0.002	-0.004	1943	2017-04-05
UYCO	-0.002	-0.004	1944	2017-04-12
UYCO	-0.002	-0.004	1945	2017-04-19
UYCO	-0.002	-0.004	1946	2017-04-26
UYCO	-0.002	-0.004	1947	2017-05-03
UYCO	-0.002	-0.004	1948	2017-05-10
UYCO	-0.002	-0.003	1949	2017-05-17
UYCO	-0.002	-0.004	1950	2017-05-24
UYCO	-0.003	-0.004	1951	2017-05-31
UYCO	-0.002	-0.003	1952	2017-06-07
UYCO	-0.002	-0.004	1953	2017-06-14
UYCO	-0.002	-0.004	1954	2017-06-21
UYCO	-0.002	-0.004	1955	2017-06-28
UYCO	-0.002	-0.003	1956	2017-07-05
UYCO	-0.002	-0.004	1957	2017-07-12
UYCO	-0.002	-0.003	1958	2017-07-19
UYCO	-0.001	-0.003	1959	2017-07-26
UYCO	-0.002	-0.004	1960	2017-08-02
UYCO	-0.001	-0.003	1961	2017-08-09
UYCO	-0.002	-0.003	1962	2017-08-16
UYCO	-0.001	-0.003	1963	2017-08-23
UYCO	-0.002	-0.004	1964	2017-08-30
UYCO	-0.002	-0.004	1965	2017-09-06
UYCO	-0.001	-0.002	1966	2017-09-13
UYCO	-0.001	-0.003	1967	2017-09-20
UYCO	-0.002	-0.004	1968	2017-09-27
UYCO	-0.002	-0.003	1969	2017-10-04
