station	d_lat	d_lon	gpsweek	date
UYTD	0.001	0.004	1870	2015-11-11
UYTD	0.001	0.004	1871	2015-11-18
UYTD	0.002	0.004	1872	2015-11-25
UYTD	0.001	0.003	1873	2015-12-02
UYTD	0.002	0.004	1874	2015-12-09
UYTD	0.002	0.004	1875	2015-12-16
UYTD	-0.000	0.003	1876	2015-12-23
UYTD	0.001	0.002	1877	2015-12-30
UYTD	0.000	0.004	1878	2016-01-06
UYTD	0.001	0.005	1880	2016-01-20
UYTD	0.001	0.003	1882	2016-02-03
UYTD	0.002	0.005	1883	2016-02-10
UYTD	0.002	0.004	1884	2016-02-17
UYTD	0.001	0.004	1885	2016-02-24
UYTD	0.001	0.005	1886	2016-03-02
UYTD	0.001	0.005	1887	2016-03-09
UYTD	0.001	0.004	1888	2016-03-16
UYTD	-0.000	0.005	1890	2016-03-30
UYTD	0.000	0.004	1891	2016-04-06
UYTD	0.001	0.005	1892	2016-04-13
UYTD	-0.000	0.004	1893	2016-04-20
UYTD	-0.000	0.005	1894	2016-04-27
UYTD	-0.001	0.005	1895	2016-05-04
UYTD	-0.000	0.004	1896	2016-05-11
UYTD	-0.000	0.002	1897	2016-05-18
UYTD	-0.000	0.004	1898	2016-05-25
UYTD	-0.000	0.004	1899	2016-06-01
UYTD	-0.001	0.003	1900	2016-06-08
UYTD	-0.001	0.003	1901	2016-06-15
UYTD	-0.001	0.004	1902	2016-06-22
UYTD	-0.000	0.005	1903	2016-06-29
UYTD	-0.000	0.005	1904	2016-07-06
UYTD	-0.000	0.004	1905	2016-07-13
UYTD	-0.002	0.004	1906	2016-07-20
UYTD	-0.001	0.004	1907	2016-07-27
UYTD	-0.001	0.004	1908	2016-08-03
UYTD	-0.001	0.005	1909	2016-08-10
UYTD	-0.001	0.005	1910	2016-08-17
UYTD	-0.001	0.005	1911	2016-08-24
UYTD	0.000	0.005	1912	2016-08-31
UYTD	0.000	0.005	1913	2016-09-07
UYTD	-0.000	0.005	1914	2016-09-14
UYTD	-0.000	0.005	1915	2016-09-21
UYTD	0.000	0.005	1916	2016-09-28
UYTD	0.001	0.005	1917	2016-10-05
UYTD	0.001	0.005	1918	2016-10-12
UYTD	0.001	0.005	1919	2016-10-19
UYTD	0.001	0.005	1920	2016-10-26
UYTD	0.001	0.006	1921	2016-11-02
UYTD	0.000	0.005	1922	2016-11-09
UYTD	0.001	0.005	1923	2016-11-16
UYTD	0.000	0.005	1924	2016-11-23
UYTD	0.000	0.004	1925	2016-11-30
UYTD	0.001	0.004	1926	2016-12-07
UYTD	0.001	0.004	1927	2016-12-14
UYTD	0.003	0.004	1928	2016-12-21
UYTD	0.002	0.005	1929	2016-12-28
UYTD	0.003	0.004	1930	2017-01-04
UYTD	0.002	0.003	1931	2017-01-11
UYTD	0.003	0.003	1932	2017-01-18
UYTD	0.002	0.002	1933	2017-01-25
UYTD	0.004	0.007	1934	2017-02-01
UYTD	0.002	0.007	1935	2017-02-08
UYTD	0.001	0.007	1936	2017-02-15
UYTD	0.000	0.006	1937	2017-02-22
UYTD	0.001	0.007	1938	2017-03-01
UYTD	-0.001	0.002	1939	2017-03-08
UYTD	0.000	0.004	1940	2017-03-15
UYTD	-0.000	0.004	1941	2017-03-22
UYTD	0.000	0.004	1942	2017-03-29
UYTD	0.001	0.004	1943	2017-04-05
UYTD	0.001	0.005	1944	2017-04-12
UYTD	0.000	0.004	1945	2017-04-19
UYTD	-0.000	0.004	1946	2017-04-26
UYTD	-0.000	0.004	1947	2017-05-03
UYTD	0.001	0.004	1948	2017-05-10
UYTD	0.001	0.004	1949	2017-05-17
UYTD	0.001	0.004	1950	2017-05-24
UYTD	0.001	0.005	1951	2017-05-31
UYTD	0.001	0.005	1952	2017-06-07
UYTD	0.000	0.004	1953	2017-06-14
UYTD	0.000	0.004	1954	2017-06-21
UYTD	0.001	0.004	1955	2017-06-28
UYTD	-0.000	0.005	1956	2017-07-05
UYTD	0.001	0.004	1957	2017-07-12
UYTD	0.000	0.005	1958	2017-07-19
UYTD	0.001	0.004	1959	2017-07-26
UYTD	0.001	0.004	1960	2017-08-02
UYTD	0.001	0.004	1961	2017-08-09
UYTD	0.000	0.005	1962	2017-08-16
UYTD	0.000	0.004	1963	2017-08-23
UYTD	0.002	0.004	1964	2017-08-30
UYTD	0.002	0.004	1965	2017-09-06
UYTD	0.001	0.004	1966	2017-09-13
UYTD	0.001	0.004	1967	2017-09-20
UYTD	0.001	0.004	1968	2017-09-27
UYTD	0.002	0.004	1969	2017-10-04
