ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.010	-0.014	1828	2015-01-21
AUTF	-54.83952495941909	-68.30356658110837	-0.004	0.038	1828	2015-01-21
AZUL	-36.76702223009906	-59.8812801842934	0.005	-0.008	1828	2015-01-21
BCAR	-37.76123356567683	-58.30109509354228	-0.006	0.000	1828	2015-01-21
CATA	-28.470985029061833	-65.77412091331433	-0.005	-0.001	1828	2015-01-21
CHAC	-27.42043994273047	-58.959693116768456	0.007	0.005	1828	2015-01-21
CORD	-31.52843459008249	-64.47004826897802	-0.008	-0.003	1828	2015-01-21
COYQ	-45.51434093340902	-71.89208081758498	-0.038	0.004	1828	2015-01-21
CSLO	-31.78488726582588	-69.30221395819393	0.040	0.091	1828	2015-01-21
EBYP	-27.36894412524986	-55.89217452451775	0.006	0.001	1828	2015-01-21
ESQU	-42.91711362530842	-71.32340060433296	-0.025	0.016	1828	2015-01-21
IGM1	-34.57224370224664	-58.4393193260698	-0.003	-0.001	1828	2015-01-21
JBAL	-27.584408297893866	-65.62274965425992	0.011	0.018	1828	2015-01-21
LHCL	-38.00265952311207	-65.59524722917732	-0.014	-0.019	1828	2015-01-21
LPGS	-34.906745112175344	-57.93229954069133	0.004	0.000	1828	2015-01-21
MA01	-38.951048919885025	-68.05735158169708	0.052	0.098	1828	2015-01-21
MGUE	-35.7773519757052	-69.39791955304007	0.163	-0.539	1828	2015-01-21
MPL2	-38.00576733725101	-57.57129728813324	0.007	0.005	1828	2015-01-21
MZAC	-32.89515276182431	-68.87557364319174	-0.019	-0.056	1828	2015-01-21
MZAE	-33.2548431926997	-68.15006143589231	-0.036	-0.087	1828	2015-01-21
MZGA	-34.97843322273402	-67.69616573922097	-0.076	0.081	1828	2015-01-21
NESA	-40.105393075307816	-64.45400475037691	-0.011	0.046	1828	2015-01-21
PEJO	-35.80632460569043	-61.894638641610676	-0.016	0.024	1828	2015-01-21
PRCV	-24.962753927614642	-53.46632948558449	0.012	0.002	1828	2015-01-21
PRNA	-31.781435877828756	-60.46943928335337	0.028	0.002	1828	2015-01-21
RIO2	-53.78547188615282	-67.75111788925638	-0.006	-0.024	1828	2015-01-21
RSAL	-29.789444676676577	-55.768839926369246	0.007	-0.001	1828	2015-01-21
RSCL	-28.141879535665133	-54.754759511457145	-0.000	0.002	1828	2015-01-21
RWSN	-43.298880660070104	-65.10724833970625	0.001	0.100	1828	2015-01-21
SANT	-33.15028802568159	-70.66855372004432	-0.086	-0.139	1828	2015-01-21
SRLP	-36.621499459860786	-64.28040465777126	-0.004	-0.008	1828	2015-01-21
SVIC	-26.993713676290895	-54.48752051750666	-0.011	-0.003	1828	2015-01-21
TERO	-27.789145165540354	-64.25678073035498	0.009	-0.005	1828	2015-01-21
TUCU	-26.843255097854012	-65.23035158308355	-0.005	-0.009	1828	2015-01-21
UCOR	-31.434959985505085	-64.19350560160618	0.002	-0.004	1828	2015-01-21
UNPA	-51.64799258327335	-69.20865409567784	0.031	-0.006	1828	2015-01-21
UNRO	-32.959352931138326	-60.62842521633276	-0.020	-0.000	1828	2015-01-21
UNSJ	-31.54125781896486	-68.57706068957148	0.011	0.046	1828	2015-01-21
UYPA	-32.291249580770206	-58.067188502863395	-0.001	0.001	1828	2015-01-21
VBCA	-38.700768190358396	-62.26922711152452	-0.001	0.000	1828	2015-01-21
YCBA	-22.0171034483961	-63.67998476251615	0.011	-0.001	1828	2015-01-21
YEMA	-24.280730908188566	-61.236506049181756	0.001	-0.011	1828	2015-01-21
