station	lat	lon	avg_err e [cm]	avg_err n [cm]	modulo_err [cm]	3σ e [cm]	3σ n [cm]
AGGO	-34.873708096375246	-58.13985640589829	-0.3	-0.0	0.3	0.2	0.2
ALUM	-27.32342674159197	-66.5966282660134	-2.6	-1.8	3.2	1.2	3.6
AZUL	-36.76702223009906	-59.8812801842934	-0.1	0.1	0.1	0.1	0.1
BCAR	-37.76123356567683	-58.30109509354228	-0.7	0.1	0.7	0.2	0.5
BCH1	-41.146773039395406	-71.29891259703122	-0.8	1.6	1.8	0.1	0.2
CATA	-28.470985029061833	-65.77412091331433	-0.5	-0.1	0.5	2.2	1.3
CHAC	-27.42043994273047	-58.959693116768456	0.0	-0.0	0.0	0.1	0.2
CORD	-31.52843459008249	-64.47004826897802	-0.5	0.3	0.6	1.3	0.8
CSLO	-31.78488726582588	-69.30221395819393	1.9	3.1	3.6	1.3	3.7
EBYP	-27.36894412524986	-55.89217452451775	-0.1	-0.1	0.1	0.1	0.1
ESQU	-42.91711362530842	-71.32340060433296	-0.1	-0.1	0.1	0.2	0.7
GUAY	-31.869130428540167	-59.02622282602728	-0.0	-0.1	0.1	0.1	0.1
IGM1	-34.57224370224664	-58.4393193260698	-0.4	-0.0	0.4	0.7	0.5
JBAL	-27.584408297893866	-65.62274965425992	0.3	0.9	0.9	1.7	0.8
LHCL	-38.00265952311207	-65.59524722917732	-0.4	1.6	1.6	0.7	3.4
LPGS	-34.906745112175344	-57.93229954069133	-0.0	0.0	0.0	0.1	0.0
MA01	-38.951048919885025	-68.05735158169708	0.1	-0.2	0.2	0.1	0.1
MECO	-29.184887143117987	-58.075845330311196	-0.0	-0.0	0.0	0.1	0.0
MGUE	-35.7773519757052	-69.39791955304007	1.5	-10.3	10.4	2.5	10.5
MPL2	-38.00576733725101	-57.57129728813324	0.1	0.2	0.2	0.1	0.3
MZAC	-32.89515276182431	-68.87557364319174	-0.1	3.1	3.1	4.0	4.1
MZAE	-33.2548431926997	-68.15006143589231	-0.1	-1.9	1.9	0.4	1.0
MZAL	-32.72071487374723	-68.59522290745585	0.8	3.7	3.8	0.5	0.6
MZAU	-33.73595663937883	-69.11841199430093	-0.8	3.0	3.1	0.8	3.4
MZGA	-34.97843322273402	-67.69616573922097	-2.1	7.1	7.4	0.9	3.4
MZRF	-34.61237727124794	-68.33148224536684	-2.0	-11.6	11.8	0.3	0.4
NESA	-40.105393075307816	-64.45400475037691	0.2	-0.4	0.4	0.3	0.5
PEJO	-35.80632460569043	-61.894638641610676	-0.2	0.3	0.4	0.0	0.1
PRNA	-31.781435877828756	-60.46943928335337	0.8	0.1	0.8	0.9	0.5
RECO	-29.14635862122474	-59.66442943950647	0.0	-0.3	0.3	0.1	0.1
RIO2	-53.78547188615282	-67.75111788925638	-0.2	-1.1	1.1	0.3	1.0
RSAL	-29.789444676676577	-55.768839926369246	-0.0	0.1	0.1	0.1	0.1
RSCL	-28.141879535665133	-54.754759511457145	-0.1	0.0	0.1	0.2	0.1
RWSN	-43.298880660070104	-65.10724833970625	0.0	0.6	0.6	0.2	0.7
SL01	-33.15635627824368	-66.31400958032137	-1.4	-1.0	1.7	0.4	0.5
SRLP	-36.621499459860786	-64.28040465777126	-0.2	-0.3	0.4	0.1	0.4
TERO	-27.789145165540354	-64.25678073035498	-0.0	0.3	0.3	0.2	0.3
TUCU	-26.843255097854012	-65.23035158308355	-0.2	0.2	0.3	0.2	0.3
UCOR	-31.434959985505085	-64.19350560160618	-0.3	-0.5	0.6	0.3	0.3
UNPA	-51.64799258327335	-69.20865409567784	0.5	-0.1	0.5	0.1	0.2
UNRO	-32.959352931138326	-60.62842521633276	0.1	0.2	0.2	0.6	0.4
UNSA	-24.727456333435057	-65.40764329775263	0.2	-0.2	0.3	0.2	0.4
UNSJ	-31.54125781896486	-68.57706068957148	-0.1	2.1	2.1	2.8	1.7
UYCO	-34.462987084415765	-57.83538153781182	-0.1	-0.6	0.6	0.1	0.2
UYPA	-32.291249580770206	-58.067188502863395	0.1	-0.1	0.1	0.2	0.2
UYSA	-31.375171818146526	-57.95978005460757	-0.1	-0.3	0.3	0.1	0.1
UYSO	-33.2612616143228	-58.01361780371121	-0.1	0.1	0.1	0.1	0.1
UYTD	-30.946270341751447	-57.52450132296068	0.1	0.1	0.1	0.2	0.1
VBCA	-38.700768190358396	-62.26922711152452	-0.1	-0.8	0.8	0.3	1.0
YEMA	-24.280730908188566	-61.236506049181756	-0.1	-0.2	0.2	0.1	0.2
