station	d_lat	d_lon	gpsweek	date
ALUM	-0.021	-0.033	1852	2015-07-08
ALUM	-0.021	-0.032	1853	2015-07-15
ALUM	-0.021	-0.033	1854	2015-07-22
ALUM	-0.022	-0.033	1855	2015-07-29
ALUM	-0.022	-0.033	1856	2015-08-05
ALUM	-0.022	-0.033	1858	2015-08-19
ALUM	-0.021	-0.032	1859	2015-08-26
ALUM	-0.021	-0.032	1860	2015-09-02
ALUM	-0.021	-0.033	1861	2015-09-09
ALUM	-0.022	-0.035	1862	2015-09-16
ALUM	-0.028	-0.010	1863	2015-09-23
ALUM	-0.029	-0.010	1864	2015-09-30
ALUM	-0.029	-0.010	1865	2015-10-07
ALUM	-0.029	-0.009	1866	2015-10-14
ALUM	-0.029	-0.009	1867	2015-10-21
ALUM	-0.029	-0.009	1868	2015-10-28
ALUM	-0.030	-0.009	1869	2015-11-04
ALUM	-0.030	-0.009	1870	2015-11-11
ALUM	-0.030	-0.008	1871	2015-11-18
ALUM	-0.029	-0.008	1872	2015-11-25
ALUM	-0.029	-0.008	1873	2015-12-02
ALUM	-0.029	-0.008	1874	2015-12-09
ALUM	-0.030	-0.008	1875	2015-12-16
ALUM	-0.030	-0.008	1876	2015-12-23
ALUM	-0.030	-0.009	1877	2015-12-30
ALUM	-0.030	-0.008	1878	2016-01-06
ALUM	-0.030	-0.008	1880	2016-01-20
