station	d_lat	d_lon	gpsweek	date
ESQU	-0.000	0.000	1640	2011-06-15
ESQU	-0.000	0.000	1641	2011-06-22
ESQU	-0.000	0.000	1642	2011-06-29
ESQU	-0.000	0.000	1643	2011-07-06
ESQU	0.001	0.000	1644	2011-07-13
ESQU	-0.000	0.000	1645	2011-07-20
ESQU	-0.000	0.000	1646	2011-07-27
ESQU	-0.001	0.000	1647	2011-08-03
ESQU	-0.000	0.001	1648	2011-08-10
ESQU	-0.000	0.001	1649	2011-08-17
ESQU	-0.000	0.001	1650	2011-08-24
ESQU	-0.000	0.001	1651	2011-08-31
ESQU	-0.000	0.001	1652	2011-09-07
ESQU	-0.000	0.001	1653	2011-09-14
ESQU	-0.000	0.001	1654	2011-09-21
ESQU	0.001	0.000	1655	2011-09-28
ESQU	-0.000	0.000	1656	2011-10-05
ESQU	-0.000	0.000	1657	2011-10-12
ESQU	-0.000	0.000	1658	2011-10-19
ESQU	-0.000	0.000	1659	2011-10-26
ESQU	-0.000	0.000	1660	2011-11-02
ESQU	-0.000	0.000	1661	2011-11-09
ESQU	-0.000	0.000	1662	2011-11-16
ESQU	-0.000	0.000	1663	2011-11-23
ESQU	-0.001	0.000	1664	2011-11-30
ESQU	-0.001	0.001	1665	2011-12-07
ESQU	-0.000	0.000	1666	2011-12-14
ESQU	-0.000	0.000	1667	2011-12-21
ESQU	-0.000	0.000	1668	2011-12-28
ESQU	-0.000	0.000	1669	2012-01-04
ESQU	-0.000	0.000	1670	2012-01-11
ESQU	-0.001	0.000	1671	2012-01-18
ESQU	0.001	-0.000	1672	2012-01-25
ESQU	0.002	-0.000	1673	2012-02-01
ESQU	0.001	0.001	1674	2012-02-08
ESQU	-0.000	0.000	1676	2012-02-22
ESQU	-0.000	0.001	1677	2012-02-29
ESQU	0.000	0.000	1678	2012-03-07
ESQU	-0.000	0.000	1679	2012-03-14
ESQU	-0.000	0.000	1680	2012-03-21
ESQU	-0.000	0.000	1681	2012-03-28
ESQU	-0.001	0.000	1682	2012-04-04
ESQU	-0.001	0.000	1683	2012-04-11
ESQU	-0.001	0.001	1685	2012-04-25
ESQU	-0.001	0.000	1686	2012-05-02
ESQU	-0.001	0.000	1687	2012-05-09
ESQU	-0.001	-0.000	1688	2012-05-16
ESQU	-0.001	0.000	1689	2012-05-23
ESQU	-0.001	0.000	1690	2012-05-30
ESQU	-0.001	0.000	1691	2012-06-06
ESQU	-0.001	0.000	1692	2012-06-13
ESQU	-0.001	0.000	1693	2012-06-20
ESQU	-0.001	0.000	1694	2012-06-27
ESQU	-0.001	0.000	1695	2012-07-04
ESQU	-0.001	0.000	1696	2012-07-11
ESQU	-0.001	0.000	1697	2012-07-18
ESQU	-0.001	0.000	1698	2012-07-25
ESQU	-0.001	0.000	1699	2012-08-01
ESQU	-0.001	0.000	1700	2012-08-08
ESQU	-0.001	0.000	1701	2012-08-15
ESQU	-0.001	0.000	1702	2012-08-22
ESQU	-0.001	0.000	1703	2012-08-29
ESQU	-0.001	0.000	1704	2012-09-05
ESQU	-0.001	0.000	1705	2012-09-12
ESQU	-0.001	0.001	1706	2012-09-19
ESQU	-0.002	0.001	1707	2012-09-26
ESQU	-0.001	0.001	1708	2012-10-03
ESQU	-0.001	0.000	1722	2013-01-09
ESQU	-0.001	0.000	1723	2013-01-16
ESQU	-0.001	0.000	1724	2013-01-23
ESQU	-0.001	0.001	1725	2013-01-30
ESQU	-0.001	0.000	1726	2013-02-06
ESQU	-0.001	0.001	1727	2013-02-13
ESQU	-0.001	0.001	1728	2013-02-20
ESQU	-0.001	0.001	1729	2013-02-27
ESQU	-0.002	0.001	1730	2013-03-06
ESQU	-0.002	0.001	1731	2013-03-13
ESQU	-0.002	0.001	1732	2013-03-20
ESQU	-0.002	0.001	1733	2013-03-27
ESQU	-0.002	0.001	1734	2013-04-03
ESQU	-0.002	0.001	1735	2013-04-10
ESQU	-0.002	0.001	1736	2013-04-17
ESQU	-0.002	0.001	1737	2013-04-24
ESQU	-0.002	0.001	1738	2013-05-01
ESQU	-0.002	0.001	1739	2013-05-08
ESQU	-0.002	0.001	1740	2013-05-15
ESQU	-0.002	0.001	1741	2013-05-22
ESQU	-0.002	0.001	1742	2013-05-29
ESQU	-0.002	0.001	1743	2013-06-05
ESQU	-0.002	0.001	1744	2013-06-12
ESQU	-0.002	0.001	1745	2013-06-19
ESQU	-0.002	0.001	1746	2013-06-26
ESQU	-0.002	0.001	1747	2013-07-03
ESQU	-0.002	0.001	1748	2013-07-10
ESQU	-0.002	0.001	1749	2013-07-17
ESQU	-0.002	0.001	1750	2013-07-24
ESQU	-0.002	0.001	1751	2013-07-31
ESQU	-0.002	0.001	1752	2013-08-07
ESQU	-0.002	0.001	1753	2013-08-14
ESQU	-0.002	0.001	1754	2013-08-21
ESQU	-0.002	0.001	1755	2013-08-28
ESQU	-0.002	0.001	1756	2013-09-04
ESQU	-0.002	0.001	1757	2013-09-11
ESQU	-0.002	0.001	1758	2013-09-18
ESQU	-0.002	0.001	1759	2013-09-25
ESQU	-0.002	0.001	1760	2013-10-02
ESQU	-0.002	0.001	1761	2013-10-09
ESQU	-0.002	0.001	1762	2013-10-16
ESQU	-0.002	0.001	1763	2013-10-23
ESQU	-0.002	0.001	1764	2013-10-30
