station	d_lat	d_lon	gpsweek	date
MA01	0.001	-0.002	1641	2011-06-22
MA01	0.001	-0.002	1642	2011-06-29
MA01	0.001	-0.002	1643	2011-07-06
MA01	0.002	-0.003	1644	2011-07-13
MA01	0.001	-0.002	1645	2011-07-20
MA01	0.001	-0.002	1646	2011-07-27
MA01	0.001	-0.002	1647	2011-08-03
MA01	0.002	-0.003	1648	2011-08-10
MA01	0.002	-0.003	1649	2011-08-17
MA01	0.002	-0.003	1650	2011-08-24
MA01	0.002	-0.003	1651	2011-08-31
MA01	0.002	-0.003	1652	2011-09-07
MA01	0.002	-0.003	1653	2011-09-14
MA01	0.002	-0.003	1654	2011-09-21
MA01	0.002	-0.003	1655	2011-09-28
MA01	0.001	-0.002	1656	2011-10-05
MA01	0.001	-0.002	1657	2011-10-12
MA01	0.001	-0.002	1658	2011-10-19
MA01	0.001	-0.002	1659	2011-10-26
MA01	0.001	-0.002	1660	2011-11-02
MA01	0.001	-0.002	1661	2011-11-09
MA01	0.001	-0.002	1662	2011-11-16
MA01	0.001	-0.002	1663	2011-11-23
MA01	0.001	-0.002	1664	2011-11-30
MA01	0.001	-0.001	1665	2011-12-07
MA01	0.001	-0.002	1666	2011-12-14
MA01	0.001	-0.002	1667	2011-12-21
MA01	0.001	-0.002	1668	2011-12-28
MA01	0.001	-0.002	1669	2012-01-04
MA01	0.001	-0.002	1670	2012-01-11
MA01	0.001	-0.002	1671	2012-01-18
MA01	0.002	-0.003	1672	2012-01-25
MA01	0.002	-0.003	1673	2012-02-01
MA01	0.001	-0.002	1675	2012-02-15
MA01	0.001	-0.002	1676	2012-02-22
MA01	0.001	-0.002	1677	2012-02-29
MA01	0.001	-0.002	1678	2012-03-07
MA01	0.001	-0.002	1679	2012-03-14
MA01	0.001	-0.002	1690	2012-05-30
MA01	0.001	-0.002	1691	2012-06-06
MA01	0.001	-0.002	1692	2012-06-13
MA01	0.001	-0.002	1693	2012-06-20
MA01	0.001	-0.002	1694	2012-06-27
MA01	0.001	-0.002	1695	2012-07-04
MA01	0.001	-0.002	1696	2012-07-11
MA01	0.001	-0.002	1697	2012-07-18
MA01	0.001	-0.002	1698	2012-07-25
MA01	0.001	-0.002	1699	2012-08-01
MA01	0.001	-0.002	1700	2012-08-08
MA01	0.001	-0.002	1701	2012-08-15
MA01	0.001	-0.002	1702	2012-08-22
MA01	0.001	-0.002	1703	2012-08-29
MA01	0.001	-0.002	1704	2012-09-05
MA01	0.001	-0.002	1705	2012-09-12
MA01	0.001	-0.002	1706	2012-09-19
MA01	0.002	-0.003	1707	2012-09-26
MA01	0.002	-0.003	1708	2012-10-03
MA01	0.001	-0.002	1709	2012-10-10
MA01	0.001	-0.002	1710	2012-10-17
MA01	0.001	-0.002	1711	2012-10-24
MA01	0.001	-0.002	1712	2012-10-31
MA01	0.001	-0.002	1713	2012-11-07
MA01	0.001	-0.002	1714	2012-11-14
MA01	0.001	-0.002	1715	2012-11-21
MA01	0.001	-0.002	1716	2012-11-28
MA01	0.001	-0.002	1717	2012-12-05
MA01	0.001	-0.002	1718	2012-12-12
MA01	0.001	-0.002	1719	2012-12-19
MA01	0.001	-0.002	1720	2012-12-26
MA01	0.001	-0.002	1721	2013-01-02
MA01	0.002	-0.003	1722	2013-01-09
MA01	0.002	-0.003	1724	2013-01-23
MA01	0.002	-0.003	1725	2013-01-30
MA01	0.002	-0.003	1726	2013-02-06
MA01	0.002	-0.003	1727	2013-02-13
