station	d_lat	d_lon	gpsweek	date
MGUE	0.005	-0.057	1715	2012-11-21
MGUE	0.005	-0.058	1716	2012-11-28
MGUE	0.005	-0.058	1717	2012-12-05
MGUE	0.005	-0.058	1718	2012-12-12
MGUE	0.005	-0.058	1719	2012-12-19
MGUE	0.005	-0.058	1720	2012-12-26
MGUE	0.005	-0.059	1721	2013-01-02
MGUE	0.005	-0.057	1722	2013-01-09
MGUE	0.005	-0.057	1723	2013-01-16
MGUE	0.005	-0.058	1724	2013-01-23
MGUE	0.005	-0.058	1725	2013-01-30
MGUE	0.005	-0.058	1726	2013-02-06
MGUE	0.005	-0.058	1727	2013-02-13
MGUE	0.005	-0.058	1728	2013-02-20
MGUE	0.005	-0.058	1729	2013-02-27
MGUE	0.003	-0.065	1730	2013-03-06
MGUE	0.005	-0.057	1731	2013-03-13
MGUE	0.005	-0.058	1732	2013-03-20
MGUE	0.005	-0.058	1733	2013-03-27
MGUE	0.005	-0.058	1734	2013-04-03
MGUE	0.005	-0.058	1735	2013-04-10
MGUE	0.005	-0.058	1736	2013-04-17
MGUE	0.005	-0.058	1737	2013-04-24
MGUE	0.005	-0.058	1738	2013-05-01
MGUE	0.005	-0.058	1739	2013-05-08
MGUE	0.005	-0.058	1740	2013-05-15
MGUE	0.005	-0.058	1741	2013-05-22
MGUE	0.005	-0.059	1742	2013-05-29
MGUE	0.005	-0.059	1743	2013-06-05
MGUE	0.005	-0.059	1744	2013-06-12
MGUE	0.005	-0.059	1745	2013-06-19
MGUE	0.005	-0.059	1746	2013-06-26
MGUE	0.005	-0.059	1747	2013-07-03
MGUE	0.005	-0.059	1748	2013-07-10
MGUE	0.005	-0.059	1749	2013-07-17
MGUE	0.005	-0.059	1750	2013-07-24
MGUE	0.005	-0.059	1751	2013-07-31
MGUE	0.005	-0.059	1752	2013-08-07
MGUE	0.005	-0.059	1753	2013-08-14
MGUE	0.005	-0.059	1754	2013-08-21
MGUE	0.005	-0.059	1755	2013-08-28
MGUE	0.005	-0.059	1756	2013-09-04
MGUE	0.005	-0.059	1757	2013-09-11
MGUE	0.005	-0.059	1758	2013-09-18
MGUE	0.005	-0.059	1759	2013-09-25
MGUE	0.005	-0.059	1760	2013-10-02
MGUE	0.005	-0.059	1761	2013-10-09
MGUE	0.005	-0.059	1762	2013-10-16
MGUE	0.005	-0.059	1763	2013-10-23
MGUE	0.005	-0.059	1764	2013-10-30
MGUE	0.005	-0.059	1765	2013-11-06
MGUE	0.005	-0.059	1766	2013-11-13
MGUE	0.005	-0.059	1767	2013-11-20
MGUE	0.005	-0.059	1769	2013-12-04
