station	d_lat	d_lon	gpsweek	date
MZAC	0.013	0.021	1640	2011-06-15
MZAC	0.013	0.022	1641	2011-06-22
MZAC	0.013	0.021	1642	2011-06-29
MZAC	0.013	0.021	1643	2011-07-06
MZAC	0.013	0.021	1644	2011-07-13
MZAC	0.004	0.010	1645	2011-07-20
MZAC	0.013	0.022	1646	2011-07-27
MZAC	0.013	0.022	1647	2011-08-03
MZAC	0.013	0.022	1648	2011-08-10
MZAC	0.013	0.022	1649	2011-08-17
MZAC	0.013	0.022	1650	2011-08-24
MZAC	0.013	0.022	1651	2011-08-31
MZAC	0.013	0.022	1652	2011-09-07
MZAC	0.013	0.022	1653	2011-09-14
MZAC	0.013	0.022	1654	2011-09-21
MZAC	0.013	0.022	1655	2011-09-28
MZAC	0.013	0.022	1656	2011-10-05
MZAC	0.013	0.022	1657	2011-10-12
MZAC	0.013	0.023	1658	2011-10-19
MZAC	0.013	0.022	1659	2011-10-26
MZAC	0.013	0.023	1660	2011-11-02
MZAC	0.013	0.022	1661	2011-11-09
MZAC	0.013	0.022	1662	2011-11-16
MZAC	-0.008	-0.018	1663	2011-11-23
MZAC	-0.008	-0.018	1664	2011-11-30
MZAC	-0.008	-0.018	1665	2011-12-07
MZAC	0.013	0.023	1666	2011-12-14
MZAC	0.013	0.023	1667	2011-12-21
MZAC	0.013	0.023	1668	2011-12-28
MZAC	0.013	0.023	1669	2012-01-04
MZAC	0.013	0.023	1670	2012-01-11
MZAC	0.013	0.023	1671	2012-01-18
MZAC	0.013	0.023	1672	2012-01-25
MZAC	0.013	0.023	1673	2012-02-01
MZAC	0.013	0.023	1674	2012-02-08
MZAC	0.013	0.024	1675	2012-02-15
MZAC	0.013	0.023	1676	2012-02-22
MZAC	0.013	0.022	1677	2012-02-29
MZAC	0.013	0.024	1678	2012-03-07
MZAC	0.013	0.023	1679	2012-03-14
MZAC	0.013	0.023	1680	2012-03-21
MZAC	0.013	0.023	1681	2012-03-28
MZAC	0.013	0.023	1682	2012-04-04
MZAC	0.014	0.023	1683	2012-04-11
MZAC	0.013	0.023	1684	2012-04-18
MZAC	0.013	0.023	1685	2012-04-25
MZAC	0.013	0.023	1686	2012-05-02
MZAC	0.013	0.023	1687	2012-05-09
MZAC	-0.008	-0.019	1688	2012-05-16
MZAC	-0.008	-0.019	1689	2012-05-23
MZAC	-0.008	-0.019	1690	2012-05-30
MZAC	-0.008	-0.019	1691	2012-06-06
MZAC	-0.008	-0.020	1692	2012-06-13
MZAC	-0.008	-0.020	1693	2012-06-20
MZAC	-0.008	-0.020	1694	2012-06-27
MZAC	-0.008	-0.020	1695	2012-07-04
MZAC	0.013	0.023	1696	2012-07-11
MZAC	0.013	0.023	1697	2012-07-18
MZAC	0.013	0.023	1698	2012-07-25
MZAC	0.013	0.023	1699	2012-08-01
MZAC	0.013	0.023	1700	2012-08-08
MZAC	0.013	0.023	1701	2012-08-15
MZAC	0.013	0.023	1702	2012-08-22
MZAC	0.013	0.023	1703	2012-08-29
MZAC	0.013	0.023	1704	2012-09-05
MZAC	0.013	0.024	1705	2012-09-12
MZAC	0.013	0.023	1706	2012-09-19
MZAC	0.013	0.023	1707	2012-09-26
MZAC	0.013	0.023	1708	2012-10-03
MZAC	0.013	0.024	1709	2012-10-10
MZAC	0.013	0.023	1710	2012-10-17
MZAC	0.013	0.023	1711	2012-10-24
MZAC	0.013	0.023	1712	2012-10-31
MZAC	0.013	0.024	1713	2012-11-07
MZAC	0.013	0.023	1714	2012-11-14
MZAC	0.001	0.026	1715	2012-11-21
MZAC	0.001	0.026	1716	2012-11-28
MZAC	0.001	0.026	1717	2012-12-05
MZAC	0.001	0.026	1718	2012-12-12
MZAC	0.001	0.026	1719	2012-12-19
MZAC	0.001	0.026	1720	2012-12-26
MZAC	0.001	0.026	1721	2013-01-02
MZAC	0.001	0.026	1722	2013-01-09
MZAC	0.001	0.026	1723	2013-01-16
MZAC	0.001	0.026	1724	2013-01-23
MZAC	0.001	0.026	1725	2013-01-30
MZAC	0.001	0.026	1726	2013-02-06
MZAC	0.001	0.026	1727	2013-02-13
MZAC	0.001	0.026	1728	2013-02-20
MZAC	0.001	0.026	1729	2013-02-27
MZAC	0.001	0.026	1730	2013-03-06
MZAC	0.001	0.026	1731	2013-03-13
MZAC	0.001	0.026	1732	2013-03-20
MZAC	0.001	0.026	1733	2013-03-27
MZAC	0.001	0.026	1734	2013-04-03
MZAC	0.001	0.026	1735	2013-04-10
MZAC	0.001	0.026	1736	2013-04-17
MZAC	-0.021	0.040	1737	2013-04-24
MZAC	-0.020	0.040	1738	2013-05-01
MZAC	-0.021	0.040	1739	2013-05-08
MZAC	-0.021	0.040	1740	2013-05-15
MZAC	-0.021	0.040	1741	2013-05-22
MZAC	-0.021	0.040	1742	2013-05-29
MZAC	-0.021	0.040	1743	2013-06-05
MZAC	-0.021	0.040	1744	2013-06-12
MZAC	-0.021	0.040	1745	2013-06-19
MZAC	-0.021	0.040	1746	2013-06-26
MZAC	-0.021	0.040	1747	2013-07-03
MZAC	-0.021	0.040	1748	2013-07-10
MZAC	-0.021	0.040	1749	2013-07-17
MZAC	-0.021	0.040	1750	2013-07-24
MZAC	-0.021	0.040	1751	2013-07-31
MZAC	-0.021	0.040	1752	2013-08-07
MZAC	-0.021	0.040	1753	2013-08-14
MZAC	-0.021	0.040	1754	2013-08-21
MZAC	-0.021	0.040	1755	2013-08-28
MZAC	-0.021	0.040	1756	2013-09-04
MZAC	-0.021	0.040	1757	2013-09-11
MZAC	-0.021	0.040	1758	2013-09-18
MZAC	-0.021	0.040	1759	2013-09-25
MZAC	-0.021	0.040	1760	2013-10-02
MZAC	-0.021	0.040	1761	2013-10-09
MZAC	-0.021	0.040	1762	2013-10-16
MZAC	-0.021	0.040	1763	2013-10-23
MZAC	-0.021	0.040	1764	2013-10-30
MZAC	-0.021	0.040	1765	2013-11-06
MZAC	-0.021	0.041	1766	2013-11-13
MZAC	-0.021	0.041	1767	2013-11-20
MZAC	-0.021	0.041	1770	2013-12-11
MZAC	-0.021	0.041	1771	2013-12-18
MZAC	-0.021	0.041	1772	2013-12-25
MZAC	-0.021	0.040	1773	2014-01-01
MZAC	-0.021	0.040	1774	2014-01-08
MZAC	-0.021	0.040	1775	2014-01-15
MZAC	-0.021	0.040	1776	2014-01-22
MZAC	-0.021	0.041	1777	2014-01-29
MZAC	-0.022	0.040	1778	2014-02-05
MZAC	-0.021	0.041	1779	2014-02-12
MZAC	-0.021	0.041	1780	2014-02-19
MZAC	-0.022	0.041	1781	2014-02-26
MZAC	-0.022	0.041	1782	2014-03-05
MZAC	-0.022	0.041	1783	2014-03-12
MZAC	-0.022	0.042	1784	2014-03-19
MZAC	-0.022	0.041	1785	2014-03-26
MZAC	-0.022	0.041	1786	2014-04-02
MZAC	-0.022	0.041	1787	2014-04-09
MZAC	-0.022	0.041	1788	2014-04-16
MZAC	-0.022	0.041	1789	2014-04-23
MZAC	-0.022	0.041	1790	2014-04-30
MZAC	-0.022	0.041	1791	2014-05-07
MZAC	-0.022	0.041	1792	2014-05-14
MZAC	-0.022	0.041	1793	2014-05-21
MZAC	-0.022	0.041	1794	2014-05-28
MZAC	-0.022	0.041	1795	2014-06-04
MZAC	-0.022	0.041	1796	2014-06-11
MZAC	-0.022	0.041	1797	2014-06-18
