station	d_lat	d_lon	gpsweek	date
MZAL	0.011	0.040	1852	2015-07-08
MZAL	0.011	0.041	1853	2015-07-15
MZAL	0.011	0.041	1854	2015-07-22
MZAL	0.005	0.034	1855	2015-07-29
MZAL	0.005	0.034	1856	2015-08-05
MZAL	0.011	0.040	1858	2015-08-19
MZAL	0.011	0.040	1859	2015-08-26
MZAL	0.011	0.039	1860	2015-09-02
MZAL	0.011	0.040	1861	2015-09-09
MZAL	0.010	0.042	1862	2015-09-16
MZAL	0.009	0.038	1863	2015-09-23
MZAL	0.009	0.037	1864	2015-09-30
MZAL	0.008	0.036	1865	2015-10-07
MZAL	0.010	0.037	1866	2015-10-14
MZAL	0.008	0.036	1867	2015-10-21
MZAL	0.008	0.038	1868	2015-10-28
MZAL	0.008	0.036	1869	2015-11-04
MZAL	0.007	0.036	1870	2015-11-11
MZAL	0.008	0.036	1871	2015-11-18
MZAL	0.008	0.037	1872	2015-11-25
MZAL	0.008	0.036	1873	2015-12-02
MZAL	0.008	0.037	1874	2015-12-09
MZAL	0.008	0.037	1875	2015-12-16
MZAL	0.008	0.038	1876	2015-12-23
MZAL	0.009	0.038	1877	2015-12-30
MZAL	0.007	0.038	1878	2016-01-06
MZAL	0.008	0.038	1882	2016-02-03
MZAL	0.008	0.037	1883	2016-02-10
MZAL	0.009	0.037	1884	2016-02-17
MZAL	0.009	0.035	1885	2016-02-24
MZAL	0.008	0.037	1886	2016-03-02
MZAL	0.008	0.037	1887	2016-03-09
MZAL	0.010	0.037	1888	2016-03-16
MZAL	0.008	0.036	1890	2016-03-30
MZAL	0.008	0.037	1891	2016-04-06
MZAL	0.007	0.036	1892	2016-04-13
MZAL	0.000	0.032	1893	2016-04-20
MZAL	0.008	0.037	1894	2016-04-27
MZAL	0.008	0.036	1895	2016-05-04
MZAL	0.007	0.036	1896	2016-05-11
MZAL	0.008	0.036	1897	2016-05-18
MZAL	0.008	0.036	1898	2016-05-25
MZAL	0.008	0.036	1899	2016-06-01
MZAL	0.008	0.035	1901	2016-06-15
MZAL	0.008	0.036	1902	2016-06-22
MZAL	0.008	0.036	1903	2016-06-29
MZAL	0.008	0.036	1904	2016-07-06
MZAL	0.008	0.036	1905	2016-07-13
MZAL	0.008	0.036	1906	2016-07-20
MZAL	0.008	0.035	1907	2016-07-27
MZAL	0.008	0.036	1908	2016-08-03
MZAL	0.008	0.036	1911	2016-08-24
