station	d_lat	d_lon	gpsweek	date
MZAU	-0.009	0.022	1803	2014-07-30
MZAU	-0.009	0.022	1804	2014-08-06
MZAU	-0.010	0.022	1805	2014-08-13
MZAU	-0.009	0.022	1806	2014-08-20
MZAU	-0.007	0.024	1807	2014-08-27
MZAU	-0.009	0.022	1808	2014-09-03
MZAU	-0.009	0.022	1809	2014-09-10
MZAU	-0.010	0.019	1821	2014-12-03
MZAU	-0.010	0.020	1822	2014-12-10
MZAU	-0.008	0.023	1823	2014-12-17
MZAU	-0.010	0.023	1834	2015-03-04
MZAU	-0.010	0.023	1835	2015-03-11
MZAU	-0.010	0.023	1836	2015-03-18
MZAU	-0.010	0.023	1837	2015-03-25
MZAU	-0.010	0.023	1838	2015-04-01
MZAU	-0.010	0.023	1839	2015-04-08
MZAU	-0.010	0.023	1840	2015-04-15
MZAU	-0.010	0.023	1841	2015-04-22
MZAU	-0.010	0.023	1842	2015-04-29
MZAU	-0.010	0.023	1843	2015-05-06
MZAU	-0.010	0.023	1844	2015-05-13
MZAU	-0.010	0.023	1845	2015-05-20
MZAU	-0.010	0.024	1846	2015-05-27
MZAU	-0.010	0.023	1847	2015-06-03
MZAU	-0.010	0.023	1848	2015-06-10
MZAU	-0.010	0.024	1849	2015-06-17
MZAU	-0.010	0.024	1850	2015-06-24
MZAU	-0.010	0.024	1851	2015-07-01
MZAU	-0.010	0.024	1852	2015-07-08
MZAU	-0.010	0.024	1853	2015-07-15
MZAU	-0.029	0.032	1854	2015-07-22
MZAU	-0.010	0.024	1858	2015-08-19
MZAU	-0.010	0.024	1859	2015-08-26
MZAU	-0.010	0.024	1860	2015-09-02
MZAU	-0.010	0.024	1861	2015-09-09
MZAU	-0.009	0.023	1862	2015-09-16
MZAU	-0.009	0.022	1863	2015-09-23
MZAU	-0.008	0.022	1864	2015-09-30
MZAU	-0.008	0.022	1865	2015-10-07
MZAU	-0.009	0.022	1866	2015-10-14
MZAU	-0.009	0.022	1867	2015-10-21
MZAU	-0.009	0.022	1868	2015-10-28
MZAU	-0.009	0.022	1869	2015-11-04
MZAU	-0.009	0.022	1870	2015-11-11
MZAU	-0.008	0.022	1871	2015-11-18
MZAU	-0.008	0.022	1872	2015-11-25
MZAU	-0.008	0.022	1873	2015-12-02
MZAU	-0.008	0.022	1874	2015-12-09
MZAU	-0.008	0.022	1875	2015-12-16
MZAU	-0.008	0.022	1876	2015-12-23
