station	d_lat	d_lon	gpsweek	date
MZGA	-0.020	0.063	1803	2014-07-30
MZGA	-0.020	0.063	1804	2014-08-06
MZGA	-0.020	0.063	1805	2014-08-13
MZGA	-0.020	0.063	1806	2014-08-20
MZGA	-0.021	0.063	1807	2014-08-27
MZGA	-0.021	0.063	1808	2014-09-03
MZGA	-0.020	0.064	1809	2014-09-10
MZGA	-0.027	0.066	1810	2014-09-17
MZGA	-0.027	0.066	1811	2014-09-24
MZGA	-0.027	0.066	1812	2014-10-01
MZGA	-0.027	0.066	1813	2014-10-08
MZGA	-0.027	0.066	1814	2014-10-15
MZGA	-0.027	0.066	1815	2014-10-22
MZGA	-0.027	0.066	1816	2014-10-29
MZGA	-0.027	0.066	1817	2014-11-05
MZGA	-0.027	0.066	1818	2014-11-12
MZGA	-0.027	0.066	1819	2014-11-19
MZGA	-0.027	0.066	1820	2014-11-26
MZGA	-0.020	0.065	1821	2014-12-03
MZGA	-0.020	0.064	1822	2014-12-10
MZGA	-0.021	0.063	1823	2014-12-17
MZGA	-0.027	0.066	1824	2014-12-24
MZGA	-0.027	0.067	1825	2014-12-31
MZGA	-0.026	0.067	1826	2015-01-07
MZGA	-0.027	0.067	1827	2015-01-14
MZGA	-0.027	0.067	1828	2015-01-21
MZGA	-0.027	0.067	1830	2015-02-04
MZGA	-0.027	0.067	1831	2015-02-11
MZGA	-0.027	0.067	1832	2015-02-18
MZGA	-0.027	0.067	1833	2015-02-25
MZGA	-0.020	0.064	1834	2015-03-04
MZGA	-0.021	0.064	1835	2015-03-11
MZGA	-0.021	0.064	1836	2015-03-18
MZGA	-0.020	0.064	1837	2015-03-25
MZGA	-0.021	0.064	1838	2015-04-01
MZGA	-0.021	0.064	1839	2015-04-08
MZGA	-0.021	0.064	1840	2015-04-15
MZGA	-0.021	0.064	1841	2015-04-22
MZGA	-0.021	0.064	1842	2015-04-29
MZGA	-0.021	0.064	1843	2015-05-06
MZGA	-0.021	0.064	1844	2015-05-13
MZGA	-0.021	0.064	1845	2015-05-20
MZGA	-0.021	0.064	1846	2015-05-27
MZGA	-0.021	0.064	1847	2015-06-03
MZGA	-0.021	0.064	1848	2015-06-10
MZGA	-0.021	0.064	1849	2015-06-17
MZGA	-0.021	0.064	1850	2015-06-24
MZGA	-0.021	0.064	1851	2015-07-01
MZGA	-0.021	0.064	1852	2015-07-08
MZGA	-0.021	0.064	1853	2015-07-15
MZGA	-0.028	0.067	1856	2015-08-05
MZGA	-0.021	0.064	1858	2015-08-19
MZGA	-0.021	0.064	1859	2015-08-26
MZGA	-0.021	0.064	1860	2015-09-02
MZGA	-0.021	0.064	1861	2015-09-09
MZGA	-0.021	0.064	1862	2015-09-16
MZGA	-0.021	0.064	1863	2015-09-23
MZGA	-0.021	0.064	1864	2015-09-30
MZGA	-0.021	0.064	1865	2015-10-07
MZGA	-0.021	0.064	1866	2015-10-14
MZGA	-0.021	0.064	1867	2015-10-21
MZGA	-0.021	0.064	1868	2015-10-28
MZGA	-0.021	0.064	1869	2015-11-04
MZGA	-0.021	0.064	1870	2015-11-11
MZGA	-0.021	0.064	1871	2015-11-18
MZGA	-0.021	0.064	1872	2015-11-25
MZGA	-0.021	0.064	1873	2015-12-02
MZGA	-0.021	0.064	1874	2015-12-09
MZGA	-0.021	0.064	1875	2015-12-16
MZGA	-0.021	0.064	1876	2015-12-23
MZGA	-0.021	0.064	1877	2015-12-30
MZGA	-0.021	0.064	1878	2016-01-06
MZGA	-0.021	0.064	1880	2016-01-20
MZGA	-0.021	0.064	1882	2016-02-03
MZGA	-0.021	0.064	1883	2016-02-10
MZGA	-0.021	0.064	1884	2016-02-17
MZGA	-0.021	0.065	1885	2016-02-24
MZGA	-0.021	0.064	1886	2016-03-02
MZGA	-0.021	0.064	1887	2016-03-09
MZGA	-0.021	0.064	1888	2016-03-16
MZGA	-0.021	0.064	1890	2016-03-30
MZGA	-0.022	0.064	1891	2016-04-06
MZGA	-0.021	0.064	1892	2016-04-13
MZGA	-0.028	0.068	1893	2016-04-20
MZGA	-0.021	0.064	1894	2016-04-27
MZGA	-0.021	0.065	1895	2016-05-04
MZGA	-0.022	0.064	1896	2016-05-11
MZGA	-0.021	0.064	1897	2016-05-18
MZGA	-0.021	0.064	1898	2016-05-25
MZGA	-0.021	0.064	1899	2016-06-01
MZGA	-0.021	0.064	1900	2016-06-08
MZGA	-0.021	0.064	1901	2016-06-15
MZGA	-0.021	0.065	1902	2016-06-22
MZGA	-0.021	0.064	1903	2016-06-29
MZGA	-0.021	0.064	1904	2016-07-06
MZGA	-0.021	0.065	1905	2016-07-13
MZGA	-0.021	0.064	1906	2016-07-20
MZGA	-0.021	0.064	1907	2016-07-27
MZGA	-0.021	0.064	1908	2016-08-03
