station	d_lat	d_lon	gpsweek	date
NESA	0.002	-0.001	1677	2012-02-29
NESA	0.002	-0.002	1678	2012-03-07
NESA	0.003	-0.002	1679	2012-03-14
NESA	0.003	-0.002	1680	2012-03-21
NESA	0.002	-0.002	1681	2012-03-28
NESA	0.002	-0.002	1682	2012-04-04
NESA	0.002	-0.002	1683	2012-04-11
NESA	0.003	-0.002	1695	2012-07-04
NESA	0.002	-0.002	1696	2012-07-11
NESA	0.003	-0.002	1697	2012-07-18
NESA	0.002	-0.002	1698	2012-07-25
NESA	0.003	-0.002	1699	2012-08-01
NESA	0.002	-0.002	1700	2012-08-08
NESA	0.002	-0.002	1701	2012-08-15
NESA	0.002	-0.002	1702	2012-08-22
NESA	0.002	-0.002	1703	2012-08-29
NESA	0.003	-0.002	1704	2012-09-05
NESA	0.003	-0.002	1705	2012-09-12
NESA	0.003	-0.002	1706	2012-09-19
NESA	0.001	-0.002	1707	2012-09-26
NESA	0.001	-0.002	1708	2012-10-03
NESA	0.002	-0.002	1709	2012-10-10
NESA	0.001	-0.002	1710	2012-10-17
NESA	0.001	-0.002	1711	2012-10-24
NESA	0.001	-0.002	1712	2012-10-31
NESA	0.001	-0.002	1713	2012-11-07
NESA	0.001	-0.002	1714	2012-11-14
NESA	0.001	-0.002	1715	2012-11-21
NESA	0.001	-0.002	1716	2012-11-28
NESA	0.001	-0.002	1717	2012-12-05
NESA	0.001	-0.002	1718	2012-12-12
NESA	0.001	-0.002	1719	2012-12-19
NESA	0.001	-0.002	1720	2012-12-26
NESA	0.001	-0.002	1721	2013-01-02
NESA	0.001	-0.002	1730	2013-03-06
NESA	0.001	-0.002	1731	2013-03-13
NESA	0.001	-0.002	1732	2013-03-20
NESA	0.001	-0.002	1733	2013-03-27
NESA	0.001	-0.002	1734	2013-04-03
NESA	0.001	-0.002	1735	2013-04-10
NESA	0.001	-0.002	1736	2013-04-17
NESA	0.001	-0.002	1737	2013-04-24
NESA	0.001	-0.002	1738	2013-05-01
NESA	0.001	-0.002	1739	2013-05-08
NESA	0.001	-0.002	1740	2013-05-15
NESA	0.001	-0.002	1741	2013-05-22
NESA	0.001	-0.002	1742	2013-05-29
NESA	0.001	-0.002	1743	2013-06-05
NESA	0.001	-0.002	1744	2013-06-12
NESA	0.001	-0.002	1745	2013-06-19
NESA	0.001	-0.002	1746	2013-06-26
NESA	0.001	-0.002	1747	2013-07-03
NESA	0.001	-0.002	1748	2013-07-10
NESA	0.001	-0.002	1749	2013-07-17
NESA	0.001	-0.002	1750	2013-07-24
