station	d_lat	d_lon	gpsweek	date
PEJO	-0.002	0.004	1803	2014-07-30
PEJO	-0.001	0.004	1804	2014-08-06
PEJO	-0.001	0.004	1805	2014-08-13
PEJO	-0.001	0.004	1806	2014-08-20
PEJO	-0.001	0.004	1807	2014-08-27
PEJO	-0.001	0.004	1808	2014-09-03
PEJO	-0.001	0.004	1809	2014-09-10
PEJO	-0.002	0.003	1810	2014-09-17
PEJO	-0.002	0.003	1811	2014-09-24
PEJO	-0.002	0.001	1816	2014-10-29
PEJO	-0.002	0.001	1817	2014-11-05
PEJO	-0.002	0.001	1818	2014-11-12
PEJO	-0.002	0.001	1819	2014-11-19
PEJO	-0.002	0.001	1820	2014-11-26
PEJO	-0.002	0.003	1821	2014-12-03
PEJO	-0.002	0.003	1822	2014-12-10
PEJO	-0.002	0.001	1823	2014-12-17
PEJO	-0.002	0.003	1824	2014-12-24
PEJO	-0.002	0.003	1825	2014-12-31
PEJO	-0.002	0.003	1826	2015-01-07
PEJO	-0.002	0.003	1827	2015-01-14
PEJO	-0.002	0.003	1828	2015-01-21
PEJO	-0.002	0.003	1830	2015-02-04
PEJO	-0.002	0.003	1831	2015-02-11
PEJO	-0.002	0.003	1832	2015-02-18
PEJO	-0.002	0.003	1833	2015-02-25
PEJO	-0.002	0.003	1834	2015-03-04
PEJO	-0.002	0.003	1835	2015-03-11
PEJO	-0.002	0.003	1836	2015-03-18
PEJO	-0.002	0.003	1837	2015-03-25
PEJO	-0.002	0.003	1838	2015-04-01
PEJO	-0.002	0.003	1839	2015-04-08
PEJO	-0.002	0.003	1840	2015-04-15
PEJO	-0.002	0.003	1841	2015-04-22
PEJO	-0.002	0.003	1842	2015-04-29
PEJO	-0.002	0.003	1843	2015-05-06
PEJO	-0.002	0.003	1844	2015-05-13
PEJO	-0.002	0.003	1845	2015-05-20
PEJO	-0.002	0.003	1846	2015-05-27
PEJO	-0.002	0.003	1847	2015-06-03
PEJO	-0.002	0.003	1848	2015-06-10
PEJO	-0.002	0.003	1849	2015-06-17
PEJO	-0.002	0.003	1850	2015-06-24
PEJO	-0.002	0.003	1851	2015-07-01
PEJO	-0.002	0.003	1852	2015-07-08
PEJO	-0.002	0.003	1853	2015-07-15
PEJO	-0.002	0.003	1854	2015-07-22
PEJO	-0.002	0.003	1855	2015-07-29
PEJO	-0.002	0.003	1856	2015-08-05
PEJO	-0.002	0.003	1858	2015-08-19
PEJO	-0.002	0.003	1859	2015-08-26
PEJO	-0.002	0.003	1860	2015-09-02
PEJO	-0.002	0.003	1861	2015-09-09
PEJO	-0.002	0.003	1862	2015-09-16
PEJO	-0.002	0.003	1863	2015-09-23
PEJO	-0.002	0.003	1864	2015-09-30
PEJO	-0.002	0.003	1865	2015-10-07
PEJO	-0.002	0.003	1866	2015-10-14
PEJO	-0.002	0.003	1867	2015-10-21
PEJO	-0.002	0.003	1868	2015-10-28
PEJO	-0.002	0.003	1869	2015-11-04
PEJO	-0.002	0.003	1870	2015-11-11
PEJO	-0.002	0.003	1871	2015-11-18
PEJO	-0.002	0.003	1872	2015-11-25
PEJO	-0.002	0.003	1873	2015-12-02
PEJO	-0.002	0.003	1874	2015-12-09
PEJO	-0.002	0.003	1875	2015-12-16
PEJO	-0.002	0.003	1876	2015-12-23
PEJO	-0.002	0.003	1877	2015-12-30
PEJO	-0.002	0.003	1878	2016-01-06
PEJO	-0.002	0.003	1880	2016-01-20
PEJO	-0.002	0.003	1882	2016-02-03
PEJO	-0.002	0.003	1883	2016-02-10
PEJO	-0.002	0.003	1884	2016-02-17
PEJO	-0.002	0.003	1885	2016-02-24
PEJO	-0.002	0.003	1886	2016-03-02
PEJO	-0.002	0.003	1887	2016-03-09
PEJO	-0.002	0.003	1888	2016-03-16
PEJO	-0.002	0.003	1890	2016-03-30
PEJO	-0.002	0.003	1891	2016-04-06
PEJO	-0.002	0.003	1892	2016-04-13
PEJO	-0.002	0.003	1893	2016-04-20
PEJO	-0.002	0.003	1894	2016-04-27
PEJO	-0.002	0.003	1895	2016-05-04
PEJO	-0.002	0.003	1896	2016-05-11
PEJO	-0.002	0.003	1897	2016-05-18
PEJO	-0.002	0.003	1898	2016-05-25
PEJO	-0.002	0.003	1899	2016-06-01
PEJO	-0.002	0.003	1900	2016-06-08
PEJO	-0.002	0.003	1901	2016-06-15
PEJO	-0.002	0.003	1902	2016-06-22
PEJO	-0.002	0.003	1903	2016-06-29
PEJO	-0.002	0.003	1904	2016-07-06
PEJO	-0.002	0.003	1905	2016-07-13
PEJO	-0.002	0.003	1906	2016-07-20
PEJO	-0.002	0.003	1907	2016-07-27
PEJO	-0.002	0.003	1908	2016-08-03
PEJO	-0.002	0.003	1909	2016-08-10
PEJO	-0.002	0.003	1910	2016-08-17
PEJO	-0.002	0.003	1911	2016-08-24
PEJO	-0.002	0.003	1912	2016-08-31
PEJO	-0.002	0.003	1913	2016-09-07
PEJO	-0.002	0.003	1914	2016-09-14
PEJO	-0.002	0.003	1915	2016-09-21
PEJO	-0.002	0.003	1916	2016-09-28
PEJO	-0.002	0.003	1917	2016-10-05
PEJO	-0.002	0.003	1918	2016-10-12
PEJO	-0.002	0.003	1919	2016-10-19
PEJO	-0.002	0.003	1920	2016-10-26
PEJO	-0.002	0.003	1921	2016-11-02
PEJO	-0.002	0.003	1922	2016-11-09
PEJO	-0.002	0.003	1923	2016-11-16
PEJO	-0.002	0.003	1924	2016-11-23
PEJO	-0.002	0.003	1925	2016-11-30
PEJO	-0.002	0.003	1926	2016-12-07
PEJO	-0.002	0.003	1927	2016-12-14
PEJO	-0.002	0.003	1928	2016-12-21
PEJO	-0.002	0.003	1929	2016-12-28
PEJO	-0.002	0.003	1930	2017-01-04
PEJO	-0.002	0.003	1931	2017-01-11
PEJO	-0.002	0.003	1932	2017-01-18
PEJO	-0.002	0.003	1933	2017-01-25
PEJO	-0.002	0.003	1934	2017-02-01
PEJO	-0.002	0.003	1936	2017-02-15
PEJO	-0.002	0.003	1937	2017-02-22
PEJO	-0.002	0.003	1938	2017-03-01
PEJO	-0.002	0.003	1939	2017-03-08
PEJO	-0.002	0.003	1940	2017-03-15
PEJO	-0.002	0.003	1941	2017-03-22
PEJO	-0.002	0.003	1942	2017-03-29
PEJO	-0.002	0.003	1943	2017-04-05
PEJO	-0.002	0.003	1944	2017-04-12
PEJO	-0.002	0.003	1945	2017-04-19
PEJO	-0.002	0.003	1946	2017-04-26
PEJO	-0.002	0.003	1947	2017-05-03
PEJO	-0.002	0.003	1948	2017-05-10
PEJO	-0.002	0.003	1949	2017-05-17
PEJO	-0.002	0.003	1950	2017-05-24
PEJO	-0.002	0.003	1952	2017-06-07
PEJO	-0.002	0.003	1953	2017-06-14
PEJO	-0.002	0.003	1954	2017-06-21
PEJO	-0.002	0.003	1955	2017-06-28
PEJO	-0.002	0.003	1956	2017-07-05
PEJO	-0.002	0.003	1957	2017-07-12
PEJO	-0.002	0.003	1958	2017-07-19
PEJO	-0.002	0.003	1959	2017-07-26
PEJO	-0.002	0.003	1960	2017-08-02
PEJO	-0.002	0.003	1961	2017-08-09
PEJO	-0.002	0.003	1962	2017-08-16
PEJO	-0.002	0.003	1963	2017-08-23
PEJO	-0.002	0.003	1964	2017-08-30
PEJO	-0.002	0.003	1965	2017-09-06
PEJO	-0.002	0.003	1966	2017-09-13
PEJO	-0.002	0.003	1967	2017-09-20
