station	d_lat	d_lon	gpsweek	date
RECO	-0.000	-0.002	1852	2015-07-08
RECO	-0.000	-0.002	1853	2015-07-15
RECO	-0.000	-0.002	1854	2015-07-22
RECO	-0.000	-0.003	1855	2015-07-29
RECO	-0.000	-0.003	1856	2015-08-05
RECO	-0.000	-0.003	1858	2015-08-19
RECO	-0.000	-0.003	1859	2015-08-26
RECO	-0.000	-0.003	1860	2015-09-02
RECO	-0.000	-0.003	1861	2015-09-09
RECO	-0.000	-0.003	1862	2015-09-16
RECO	-0.000	-0.002	1863	2015-09-23
RECO	-0.000	-0.003	1864	2015-09-30
RECO	-0.000	-0.003	1865	2015-10-07
RECO	-0.000	-0.002	1866	2015-10-14
RECO	0.000	-0.003	1867	2015-10-21
RECO	-0.000	-0.003	1868	2015-10-28
RECO	0.000	-0.003	1869	2015-11-04
RECO	-0.000	-0.003	1870	2015-11-11
RECO	0.000	-0.003	1871	2015-11-18
RECO	0.000	-0.003	1872	2015-11-25
RECO	0.000	-0.003	1873	2015-12-02
RECO	-0.000	-0.002	1874	2015-12-09
RECO	0.000	-0.002	1875	2015-12-16
RECO	0.000	-0.002	1876	2015-12-23
RECO	0.000	-0.003	1877	2015-12-30
RECO	0.000	-0.003	1878	2016-01-06
RECO	0.001	-0.002	1880	2016-01-20
RECO	0.000	-0.003	1882	2016-02-03
RECO	0.000	-0.003	1883	2016-02-10
RECO	0.000	-0.003	1884	2016-02-17
RECO	0.000	-0.002	1885	2016-02-24
RECO	0.000	-0.002	1886	2016-03-02
RECO	0.000	-0.002	1887	2016-03-09
RECO	0.000	-0.003	1888	2016-03-16
RECO	-0.000	-0.003	1890	2016-03-30
RECO	-0.000	-0.003	1891	2016-04-06
RECO	0.000	-0.003	1892	2016-04-13
RECO	0.000	-0.002	1893	2016-04-20
RECO	0.000	-0.002	1894	2016-04-27
RECO	0.000	-0.003	1895	2016-05-04
RECO	0.000	-0.002	1896	2016-05-11
RECO	0.000	-0.002	1897	2016-05-18
RECO	0.000	-0.002	1898	2016-05-25
RECO	0.000	-0.002	1899	2016-06-01
RECO	0.000	-0.002	1900	2016-06-08
RECO	0.000	-0.002	1901	2016-06-15
RECO	0.000	-0.002	1902	2016-06-22
RECO	0.000	-0.002	1903	2016-06-29
RECO	0.000	-0.002	1904	2016-07-06
RECO	0.000	-0.002	1905	2016-07-13
RECO	0.000	-0.003	1906	2016-07-20
RECO	0.000	-0.002	1907	2016-07-27
RECO	0.000	-0.003	1908	2016-08-03
RECO	0.000	-0.002	1909	2016-08-10
RECO	0.000	-0.002	1910	2016-08-17
RECO	0.000	-0.003	1911	2016-08-24
RECO	0.000	-0.002	1912	2016-08-31
RECO	0.000	-0.002	1913	2016-09-07
RECO	0.000	-0.003	1914	2016-09-14
RECO	0.000	-0.003	1915	2016-09-21
RECO	0.000	-0.003	1916	2016-09-28
RECO	0.000	-0.003	1917	2016-10-05
RECO	0.000	-0.003	1918	2016-10-12
RECO	0.000	-0.003	1919	2016-10-19
RECO	0.000	-0.003	1920	2016-10-26
RECO	0.000	-0.003	1921	2016-11-02
RECO	0.000	-0.003	1922	2016-11-09
RECO	0.000	-0.003	1923	2016-11-16
RECO	0.000	-0.003	1924	2016-11-23
RECO	0.000	-0.003	1925	2016-11-30
RECO	-0.000	-0.003	1926	2016-12-07
RECO	0.000	-0.003	1927	2016-12-14
RECO	0.000	-0.003	1928	2016-12-21
RECO	0.000	-0.003	1929	2016-12-28
RECO	0.000	-0.003	1930	2017-01-04
RECO	0.000	-0.003	1931	2017-01-11
RECO	0.000	-0.003	1932	2017-01-18
RECO	0.000	-0.003	1933	2017-01-25
RECO	0.000	-0.003	1934	2017-02-01
RECO	0.000	-0.003	1935	2017-02-08
RECO	0.000	-0.003	1936	2017-02-15
RECO	0.000	-0.003	1937	2017-02-22
RECO	0.000	-0.003	1938	2017-03-01
RECO	0.000	-0.003	1939	2017-03-08
RECO	0.000	-0.003	1940	2017-03-15
RECO	0.000	-0.003	1941	2017-03-22
RECO	0.001	-0.004	1942	2017-03-29
RECO	0.001	-0.003	1943	2017-04-05
RECO	0.001	-0.003	1944	2017-04-12
RECO	0.001	-0.003	1945	2017-04-19
RECO	0.001	-0.002	1946	2017-04-26
RECO	0.001	-0.003	1947	2017-05-03
RECO	0.001	-0.003	1948	2017-05-10
RECO	0.000	-0.003	1949	2017-05-17
RECO	0.000	-0.003	1950	2017-05-24
RECO	0.000	-0.003	1952	2017-06-07
RECO	0.000	-0.003	1953	2017-06-14
RECO	0.000	-0.003	1954	2017-06-21
RECO	0.000	-0.003	1955	2017-06-28
RECO	0.000	-0.003	1956	2017-07-05
RECO	0.000	-0.003	1957	2017-07-12
RECO	0.000	-0.003	1958	2017-07-19
RECO	0.000	-0.003	1959	2017-07-26
RECO	0.000	-0.003	1960	2017-08-02
RECO	0.000	-0.003	1961	2017-08-09
RECO	0.000	-0.003	1962	2017-08-16
RECO	0.000	-0.003	1963	2017-08-23
RECO	0.000	-0.003	1964	2017-08-30
RECO	0.001	-0.003	1965	2017-09-06
RECO	0.000	-0.003	1966	2017-09-13
RECO	0.000	-0.003	1967	2017-09-20
RECO	0.002	-0.003	1968	2017-09-27
RECO	0.001	-0.001	1969	2017-10-04
