station	d_lat	d_lon	gpsweek	date
RIO2	-0.000	-0.005	1640	2011-06-15
RIO2	-0.001	-0.005	1641	2011-06-22
RIO2	-0.000	-0.005	1642	2011-06-29
RIO2	0.000	-0.005	1643	2011-07-06
RIO2	0.000	-0.005	1644	2011-07-13
RIO2	-0.000	-0.006	1645	2011-07-20
RIO2	-0.000	-0.006	1646	2011-07-27
RIO2	-0.001	-0.006	1647	2011-08-03
RIO2	-0.000	-0.006	1648	2011-08-10
RIO2	-0.001	-0.006	1649	2011-08-17
RIO2	-0.000	-0.006	1650	2011-08-24
RIO2	-0.001	-0.006	1651	2011-08-31
RIO2	-0.000	-0.006	1652	2011-09-07
RIO2	-0.001	-0.006	1653	2011-09-14
RIO2	-0.001	-0.006	1654	2011-09-21
RIO2	-0.000	-0.006	1655	2011-09-28
RIO2	0.000	-0.006	1656	2011-10-05
RIO2	-0.000	-0.006	1657	2011-10-12
RIO2	-0.001	-0.006	1658	2011-10-19
RIO2	-0.001	-0.005	1659	2011-10-26
RIO2	-0.002	-0.005	1660	2011-11-02
RIO2	-0.000	-0.006	1661	2011-11-09
RIO2	-0.001	-0.006	1662	2011-11-16
RIO2	-0.000	-0.006	1663	2011-11-23
RIO2	-0.000	-0.007	1664	2011-11-30
RIO2	-0.001	-0.006	1665	2011-12-07
RIO2	0.000	-0.006	1666	2011-12-14
RIO2	-0.000	-0.006	1667	2011-12-21
RIO2	-0.000	-0.006	1668	2011-12-28
RIO2	-0.000	-0.006	1669	2012-01-04
RIO2	-0.000	-0.007	1670	2012-01-11
RIO2	0.000	-0.007	1671	2012-01-18
RIO2	0.000	-0.006	1672	2012-01-25
RIO2	-0.000	-0.006	1673	2012-02-01
RIO2	-0.001	-0.006	1674	2012-02-08
RIO2	0.000	-0.006	1675	2012-02-15
RIO2	0.000	-0.007	1676	2012-02-22
RIO2	-0.002	-0.006	1677	2012-02-29
RIO2	-0.002	-0.006	1678	2012-03-07
RIO2	-0.002	-0.006	1679	2012-03-14
RIO2	-0.002	-0.007	1680	2012-03-21
RIO2	-0.002	-0.007	1681	2012-03-28
RIO2	-0.002	-0.006	1682	2012-04-04
RIO2	-0.003	-0.006	1683	2012-04-11
RIO2	-0.002	-0.007	1684	2012-04-18
RIO2	-0.001	-0.007	1685	2012-04-25
RIO2	-0.001	-0.007	1686	2012-05-02
RIO2	-0.001	-0.007	1687	2012-05-09
RIO2	-0.002	-0.006	1688	2012-05-16
RIO2	-0.002	-0.007	1689	2012-05-23
RIO2	-0.001	-0.007	1690	2012-05-30
RIO2	-0.003	-0.007	1691	2012-06-06
RIO2	-0.002	-0.008	1692	2012-06-13
RIO2	-0.002	-0.007	1693	2012-06-20
RIO2	-0.003	-0.006	1694	2012-06-27
RIO2	-0.002	-0.007	1695	2012-07-04
RIO2	-0.002	-0.007	1696	2012-07-11
RIO2	-0.002	-0.007	1697	2012-07-18
RIO2	-0.002	-0.007	1698	2012-07-25
RIO2	-0.002	-0.007	1699	2012-08-01
RIO2	-0.003	-0.007	1700	2012-08-08
RIO2	-0.002	-0.007	1701	2012-08-15
RIO2	-0.002	-0.007	1702	2012-08-22
RIO2	-0.002	-0.007	1703	2012-08-29
RIO2	-0.002	-0.007	1704	2012-09-05
RIO2	-0.002	-0.008	1705	2012-09-12
RIO2	-0.002	-0.007	1706	2012-09-19
RIO2	-0.001	-0.008	1707	2012-09-26
RIO2	-0.002	-0.007	1708	2012-10-03
RIO2	-0.006	-0.004	1709	2012-10-10
RIO2	-0.003	-0.008	1710	2012-10-17
RIO2	-0.002	-0.008	1711	2012-10-24
RIO2	-0.002	-0.008	1712	2012-10-31
RIO2	-0.003	-0.008	1713	2012-11-07
