station	d_lat	d_lon	gpsweek	date
RSCL	-0.002	-0.000	1824	2014-12-24
RSCL	-0.001	0.000	1825	2014-12-31
RSCL	-0.001	0.000	1826	2015-01-07
RSCL	-0.001	0.000	1827	2015-01-14
RSCL	-0.001	0.000	1828	2015-01-21
RSCL	-0.001	-0.000	1830	2015-02-04
RSCL	-0.001	0.000	1831	2015-02-11
RSCL	-0.001	0.001	1832	2015-02-18
RSCL	-0.001	0.000	1833	2015-02-25
RSCL	-0.001	0.000	1834	2015-03-04
RSCL	-0.001	0.000	1835	2015-03-11
RSCL	-0.002	0.000	1836	2015-03-18
RSCL	-0.002	-0.000	1837	2015-03-25
RSCL	-0.002	0.000	1838	2015-04-01
RSCL	-0.001	-0.000	1839	2015-04-08
RSCL	-0.001	0.000	1840	2015-04-15
RSCL	-0.002	0.000	1841	2015-04-22
RSCL	-0.002	0.000	1842	2015-04-29
RSCL	-0.001	0.000	1843	2015-05-06
RSCL	-0.001	0.000	1844	2015-05-13
RSCL	-0.001	0.000	1845	2015-05-20
RSCL	-0.002	-0.000	1846	2015-05-27
RSCL	-0.001	0.000	1847	2015-06-03
RSCL	-0.002	0.000	1848	2015-06-10
RSCL	-0.002	-0.000	1849	2015-06-17
RSCL	-0.002	-0.000	1850	2015-06-24
RSCL	-0.002	-0.000	1851	2015-07-01
RSCL	-0.002	-0.001	1852	2015-07-08
RSCL	-0.002	-0.001	1853	2015-07-15
RSCL	-0.002	-0.000	1854	2015-07-22
RSCL	-0.002	0.000	1855	2015-07-29
RSCL	-0.002	0.000	1856	2015-08-05
RSCL	-0.002	-0.000	1858	2015-08-19
RSCL	-0.002	-0.000	1859	2015-08-26
RSCL	-0.002	-0.000	1860	2015-09-02
RSCL	-0.002	-0.000	1861	2015-09-09
RSCL	-0.002	-0.000	1862	2015-09-16
RSCL	-0.002	-0.000	1863	2015-09-23
RSCL	-0.002	-0.000	1864	2015-09-30
RSCL	-0.002	-0.000	1865	2015-10-07
RSCL	-0.002	-0.000	1866	2015-10-14
RSCL	-0.002	0.000	1867	2015-10-21
RSCL	-0.002	-0.000	1868	2015-10-28
RSCL	-0.002	-0.000	1869	2015-11-04
RSCL	-0.002	0.000	1870	2015-11-11
RSCL	-0.002	0.000	1871	2015-11-18
RSCL	-0.002	0.000	1872	2015-11-25
RSCL	-0.002	0.000	1873	2015-12-02
RSCL	-0.002	0.000	1874	2015-12-09
RSCL	-0.001	0.000	1875	2015-12-16
RSCL	-0.002	0.000	1876	2015-12-23
RSCL	-0.001	0.000	1877	2015-12-30
RSCL	-0.002	0.000	1878	2016-01-06
RSCL	-0.002	0.000	1880	2016-01-20
RSCL	-0.002	0.000	1882	2016-02-03
RSCL	-0.002	0.000	1883	2016-02-10
RSCL	-0.001	0.001	1884	2016-02-17
RSCL	-0.002	0.000	1885	2016-02-24
RSCL	-0.002	-0.000	1886	2016-03-02
RSCL	-0.002	-0.000	1887	2016-03-09
RSCL	-0.002	0.000	1888	2016-03-16
RSCL	-0.002	0.000	1890	2016-03-30
RSCL	-0.001	0.000	1891	2016-04-06
RSCL	-0.001	0.000	1892	2016-04-13
RSCL	-0.001	0.000	1893	2016-04-20
RSCL	-0.002	-0.000	1894	2016-04-27
RSCL	-0.002	-0.000	1895	2016-05-04
RSCL	0.001	0.000	1896	2016-05-11
RSCL	0.001	-0.000	1897	2016-05-18
RSCL	0.001	-0.000	1898	2016-05-25
RSCL	-0.001	-0.000	1899	2016-06-01
RSCL	-0.002	-0.001	1900	2016-06-08
RSCL	0.001	-0.000	1901	2016-06-15
RSCL	-0.001	-0.000	1902	2016-06-22
RSCL	-0.002	-0.000	1903	2016-06-29
RSCL	-0.002	-0.000	1904	2016-07-06
RSCL	-0.001	-0.000	1905	2016-07-13
RSCL	-0.001	-0.001	1906	2016-07-20
RSCL	-0.001	-0.000	1907	2016-07-27
RSCL	-0.001	-0.000	1908	2016-08-03
RSCL	-0.001	-0.000	1909	2016-08-10
RSCL	-0.002	-0.000	1910	2016-08-17
RSCL	-0.001	-0.000	1911	2016-08-24
RSCL	-0.001	-0.000	1912	2016-08-31
RSCL	-0.001	-0.000	1913	2016-09-07
RSCL	-0.002	0.000	1914	2016-09-14
RSCL	-0.002	0.000	1915	2016-09-21
RSCL	-0.002	0.000	1916	2016-09-28
RSCL	-0.002	0.000	1917	2016-10-05
RSCL	-0.001	0.000	1918	2016-10-12
RSCL	-0.002	-0.000	1919	2016-10-19
RSCL	-0.002	-0.000	1920	2016-10-26
RSCL	-0.001	0.000	1921	2016-11-02
RSCL	-0.001	0.001	1922	2016-11-09
RSCL	-0.002	0.001	1923	2016-11-16
RSCL	-0.001	0.000	1924	2016-11-23
RSCL	-0.002	0.001	1925	2016-11-30
RSCL	-0.002	0.001	1926	2016-12-07
RSCL	-0.001	0.001	1927	2016-12-14
RSCL	-0.001	0.002	1928	2016-12-21
RSCL	-0.000	0.000	1929	2016-12-28
RSCL	0.000	0.000	1930	2017-01-04
RSCL	-0.000	0.000	1931	2017-01-11
RSCL	-0.000	0.000	1932	2017-01-18
RSCL	-0.000	0.000	1933	2017-01-25
RSCL	-0.000	0.000	1934	2017-02-01
RSCL	-0.000	0.000	1935	2017-02-08
RSCL	0.000	0.000	1936	2017-02-15
RSCL	-0.000	0.000	1937	2017-02-22
RSCL	-0.000	0.000	1938	2017-03-01
RSCL	-0.000	0.000	1939	2017-03-08
RSCL	-0.000	-0.000	1940	2017-03-15
RSCL	-0.000	0.000	1941	2017-03-22
RSCL	-0.000	0.000	1942	2017-03-29
RSCL	-0.000	0.000	1943	2017-04-05
RSCL	-0.000	-0.000	1944	2017-04-12
RSCL	-0.000	-0.000	1945	2017-04-19
RSCL	0.000	-0.001	1946	2017-04-26
RSCL	-0.000	-0.000	1947	2017-05-03
RSCL	-0.000	-0.000	1948	2017-05-10
RSCL	-0.002	-0.000	1949	2017-05-17
RSCL	-0.001	-0.000	1950	2017-05-24
RSCL	-0.002	-0.000	1952	2017-06-07
RSCL	-0.002	-0.000	1953	2017-06-14
RSCL	-0.002	-0.000	1954	2017-06-21
RSCL	-0.002	0.000	1955	2017-06-28
RSCL	-0.002	-0.000	1956	2017-07-05
RSCL	-0.002	0.000	1957	2017-07-12
RSCL	-0.002	-0.001	1958	2017-07-19
RSCL	-0.002	0.000	1959	2017-07-26
RSCL	-0.002	-0.000	1960	2017-08-02
RSCL	-0.002	-0.000	1961	2017-08-09
RSCL	-0.002	-0.000	1962	2017-08-16
RSCL	-0.001	-0.000	1963	2017-08-23
RSCL	-0.001	-0.000	1964	2017-08-30
RSCL	-0.001	0.000	1965	2017-09-06
RSCL	-0.002	-0.000	1966	2017-09-13
RSCL	-0.002	-0.000	1967	2017-09-20
RSCL	-0.001	0.000	1968	2017-09-27
RSCL	-0.001	0.000	1969	2017-10-04
