station	d_lat	d_lon	gpsweek	date
TUCU	-0.002	0.003	1640	2011-06-15
TUCU	-0.002	0.003	1641	2011-06-22
TUCU	-0.002	0.003	1642	2011-06-29
TUCU	-0.002	0.003	1643	2011-07-06
TUCU	-0.002	0.002	1644	2011-07-13
TUCU	-0.002	0.003	1645	2011-07-20
TUCU	-0.002	0.003	1646	2011-07-27
TUCU	-0.002	0.003	1647	2011-08-03
TUCU	-0.002	0.002	1648	2011-08-10
TUCU	-0.002	0.003	1649	2011-08-17
TUCU	-0.002	0.003	1650	2011-08-24
TUCU	-0.002	0.002	1651	2011-08-31
TUCU	-0.002	0.003	1652	2011-09-07
TUCU	-0.002	0.003	1653	2011-09-14
TUCU	-0.002	0.003	1654	2011-09-21
TUCU	-0.002	0.002	1655	2011-09-28
TUCU	-0.001	0.002	1656	2011-10-05
TUCU	-0.001	0.002	1657	2011-10-12
TUCU	-0.001	0.003	1658	2011-10-19
TUCU	-0.001	0.002	1659	2011-10-26
TUCU	-0.001	0.002	1660	2011-11-02
TUCU	-0.001	0.002	1661	2011-11-09
TUCU	-0.001	0.002	1662	2011-11-16
TUCU	-0.001	0.002	1663	2011-11-23
TUCU	-0.001	0.002	1664	2011-11-30
TUCU	-0.002	0.002	1665	2011-12-07
TUCU	-0.002	0.002	1666	2011-12-14
TUCU	-0.002	0.002	1667	2011-12-21
TUCU	-0.002	0.002	1668	2011-12-28
TUCU	-0.002	0.002	1669	2012-01-04
TUCU	-0.001	0.002	1670	2012-01-11
TUCU	-0.002	0.001	1671	2012-01-18
TUCU	-0.002	0.002	1672	2012-01-25
TUCU	-0.002	0.001	1673	2012-02-01
TUCU	-0.002	0.002	1674	2012-02-08
TUCU	-0.002	0.002	1675	2012-02-15
TUCU	-0.002	0.002	1676	2012-02-22
TUCU	-0.002	0.002	1677	2012-02-29
TUCU	-0.002	0.001	1678	2012-03-07
TUCU	-0.002	0.002	1679	2012-03-14
TUCU	-0.002	0.002	1680	2012-03-21
TUCU	-0.003	0.002	1681	2012-03-28
TUCU	-0.002	0.002	1682	2012-04-04
TUCU	-0.002	0.002	1683	2012-04-11
TUCU	-0.002	0.002	1684	2012-04-18
TUCU	-0.002	0.003	1685	2012-04-25
TUCU	-0.003	0.003	1686	2012-05-02
TUCU	-0.002	0.002	1687	2012-05-09
TUCU	-0.002	0.003	1688	2012-05-16
TUCU	-0.002	0.003	1689	2012-05-23
TUCU	-0.003	0.003	1690	2012-05-30
TUCU	-0.003	0.003	1691	2012-06-06
TUCU	-0.003	0.003	1692	2012-06-13
TUCU	-0.003	0.003	1693	2012-06-20
TUCU	-0.003	0.003	1694	2012-06-27
TUCU	-0.003	0.003	1695	2012-07-04
TUCU	-0.003	0.003	1696	2012-07-11
TUCU	-0.003	0.003	1697	2012-07-18
TUCU	-0.003	0.003	1698	2012-07-25
TUCU	-0.003	0.003	1699	2012-08-01
TUCU	-0.003	0.003	1700	2012-08-08
TUCU	-0.003	0.003	1701	2012-08-15
TUCU	-0.003	0.002	1702	2012-08-22
TUCU	-0.003	0.003	1703	2012-08-29
TUCU	-0.002	0.002	1704	2012-09-05
TUCU	-0.002	0.003	1705	2012-09-12
TUCU	-0.002	0.003	1706	2012-09-19
TUCU	-0.002	0.003	1707	2012-09-26
TUCU	-0.002	0.002	1708	2012-10-03
TUCU	-0.002	0.003	1709	2012-10-10
TUCU	-0.002	0.002	1710	2012-10-17
TUCU	-0.002	0.002	1711	2012-10-24
TUCU	-0.001	0.002	1712	2012-10-31
TUCU	-0.002	0.002	1713	2012-11-07
TUCU	-0.002	0.002	1714	2012-11-14
TUCU	-0.002	0.002	1715	2012-11-21
TUCU	-0.002	0.002	1716	2012-11-28
TUCU	-0.001	0.002	1717	2012-12-05
TUCU	-0.002	0.002	1718	2012-12-12
TUCU	-0.001	0.002	1719	2012-12-19
TUCU	-0.001	0.002	1720	2012-12-26
TUCU	-0.002	0.002	1721	2013-01-02
TUCU	-0.002	0.001	1722	2013-01-09
TUCU	-0.002	0.002	1723	2013-01-16
TUCU	-0.001	0.002	1724	2013-01-23
