station	d_lat	d_lon	gpsweek	date
UNPA	0.004	-0.001	1677	2012-02-29
UNPA	0.005	-0.001	1678	2012-03-07
UNPA	0.004	-0.001	1679	2012-03-14
UNPA	0.004	-0.000	1680	2012-03-21
UNPA	0.005	-0.000	1681	2012-03-28
UNPA	0.004	-0.000	1682	2012-04-04
UNPA	0.004	-0.000	1683	2012-04-11
UNPA	0.004	-0.001	1684	2012-04-18
UNPA	0.004	-0.001	1685	2012-04-25
UNPA	0.004	-0.000	1686	2012-05-02
UNPA	0.004	-0.000	1687	2012-05-09
UNPA	0.004	0.000	1688	2012-05-16
UNPA	0.004	0.000	1689	2012-05-23
UNPA	0.004	-0.000	1690	2012-05-30
UNPA	0.004	-0.000	1691	2012-06-06
UNPA	0.004	-0.000	1692	2012-06-13
UNPA	0.004	-0.000	1693	2012-06-20
UNPA	0.004	-0.000	1694	2012-06-27
UNPA	0.004	-0.000	1695	2012-07-04
UNPA	0.004	-0.000	1696	2012-07-11
UNPA	0.004	-0.000	1697	2012-07-18
UNPA	0.004	-0.000	1698	2012-07-25
UNPA	0.005	-0.000	1699	2012-08-01
UNPA	0.004	0.000	1700	2012-08-08
UNPA	0.004	0.000	1701	2012-08-15
UNPA	0.004	0.000	1702	2012-08-22
UNPA	0.005	-0.000	1703	2012-08-29
UNPA	0.005	0.000	1704	2012-09-05
UNPA	0.005	0.000	1705	2012-09-12
UNPA	0.005	-0.000	1706	2012-09-19
UNPA	0.005	-0.000	1707	2012-09-26
UNPA	0.004	-0.000	1708	2012-10-03
UNPA	0.006	-0.002	1709	2012-10-10
UNPA	0.005	-0.000	1710	2012-10-17
UNPA	0.005	0.000	1711	2012-10-24
UNPA	0.005	0.000	1712	2012-10-31
UNPA	0.005	0.000	1713	2012-11-07
UNPA	0.005	-0.000	1714	2012-11-14
UNPA	0.005	-0.000	1715	2012-11-21
UNPA	0.005	0.000	1716	2012-11-28
UNPA	0.005	-0.001	1717	2012-12-05
UNPA	0.005	-0.001	1718	2012-12-12
UNPA	0.004	-0.001	1719	2012-12-19
UNPA	0.005	-0.000	1720	2012-12-26
UNPA	0.005	-0.000	1721	2013-01-02
UNPA	0.004	-0.000	1722	2013-01-09
UNPA	0.005	-0.000	1723	2013-01-16
UNPA	0.005	-0.001	1724	2013-01-23
UNPA	0.005	-0.001	1725	2013-01-30
UNPA	0.004	-0.000	1726	2013-02-06
UNPA	0.004	-0.001	1727	2013-02-13
UNPA	0.005	-0.001	1728	2013-02-20
UNPA	0.005	-0.001	1729	2013-02-27
UNPA	0.005	-0.001	1730	2013-03-06
UNPA	0.005	-0.001	1731	2013-03-13
UNPA	0.005	-0.001	1732	2013-03-20
UNPA	0.005	-0.001	1733	2013-03-27
UNPA	0.005	-0.001	1734	2013-04-03
UNPA	0.005	-0.001	1735	2013-04-10
UNPA	0.005	-0.001	1736	2013-04-17
UNPA	0.005	-0.001	1737	2013-04-24
UNPA	0.005	-0.001	1738	2013-05-01
UNPA	0.005	-0.001	1739	2013-05-08
UNPA	0.005	-0.001	1740	2013-05-15
UNPA	0.005	-0.001	1741	2013-05-22
UNPA	0.005	-0.001	1742	2013-05-29
UNPA	0.005	-0.001	1743	2013-06-05
UNPA	0.004	-0.000	1744	2013-06-12
UNPA	0.005	-0.001	1745	2013-06-19
UNPA	0.005	-0.000	1746	2013-06-26
UNPA	0.004	-0.001	1747	2013-07-03
