station	d_lat	d_lon	gpsweek	date
UNRO	0.000	0.002	1640	2011-06-15
UNRO	0.000	0.002	1641	2011-06-22
UNRO	0.000	0.002	1642	2011-06-29
UNRO	0.000	0.002	1643	2011-07-06
UNRO	0.000	0.002	1644	2011-07-13
UNRO	0.000	0.002	1645	2011-07-20
UNRO	0.000	0.002	1646	2011-07-27
UNRO	0.000	0.002	1647	2011-08-03
UNRO	0.000	0.002	1648	2011-08-10
UNRO	0.000	0.002	1649	2011-08-17
UNRO	0.000	0.002	1650	2011-08-24
UNRO	0.000	0.002	1651	2011-08-31
UNRO	0.000	0.002	1652	2011-09-07
UNRO	0.000	0.002	1653	2011-09-14
UNRO	0.000	0.002	1654	2011-09-21
UNRO	-0.000	0.002	1655	2011-09-28
UNRO	0.000	0.002	1656	2011-10-05
UNRO	-0.000	0.002	1657	2011-10-12
UNRO	-0.000	0.002	1658	2011-10-19
UNRO	-0.000	0.002	1659	2011-10-26
UNRO	-0.000	0.002	1660	2011-11-02
UNRO	-0.000	0.002	1661	2011-11-09
UNRO	-0.000	0.002	1662	2011-11-16
UNRO	-0.000	0.002	1663	2011-11-23
UNRO	-0.000	0.002	1664	2011-11-30
UNRO	-0.000	0.002	1665	2011-12-07
UNRO	-0.000	0.002	1666	2011-12-14
UNRO	-0.000	0.002	1667	2011-12-21
UNRO	-0.000	0.002	1668	2011-12-28
UNRO	-0.000	0.002	1669	2012-01-04
UNRO	-0.001	0.002	1670	2012-01-11
UNRO	-0.000	0.002	1671	2012-01-18
UNRO	-0.000	0.002	1672	2012-01-25
UNRO	-0.000	0.002	1673	2012-02-01
UNRO	-0.000	0.002	1674	2012-02-08
UNRO	-0.000	0.002	1675	2012-02-15
UNRO	-0.000	0.002	1676	2012-02-22
UNRO	-0.000	0.002	1677	2012-02-29
UNRO	-0.000	0.002	1678	2012-03-07
UNRO	-0.000	0.002	1679	2012-03-14
UNRO	-0.000	0.002	1680	2012-03-21
UNRO	-0.000	0.002	1681	2012-03-28
UNRO	-0.000	0.002	1682	2012-04-04
UNRO	-0.000	0.002	1683	2012-04-11
UNRO	-0.000	0.002	1684	2012-04-18
UNRO	-0.000	0.002	1685	2012-04-25
UNRO	0.000	0.002	1686	2012-05-02
UNRO	0.000	0.002	1687	2012-05-09
UNRO	-0.000	0.002	1688	2012-05-16
UNRO	0.000	0.002	1689	2012-05-23
UNRO	0.000	0.002	1690	2012-05-30
UNRO	0.000	0.002	1691	2012-06-06
UNRO	0.000	0.002	1692	2012-06-13
UNRO	0.000	0.002	1693	2012-06-20
UNRO	0.000	0.002	1694	2012-06-27
UNRO	0.000	0.002	1695	2012-07-04
UNRO	0.000	0.002	1696	2012-07-11
UNRO	0.000	0.002	1697	2012-07-18
UNRO	0.000	0.002	1698	2012-07-25
UNRO	0.000	0.002	1699	2012-08-01
UNRO	0.000	0.002	1700	2012-08-08
UNRO	-0.000	0.002	1701	2012-08-15
UNRO	-0.000	0.002	1702	2012-08-22
UNRO	0.000	0.002	1703	2012-08-29
UNRO	-0.000	0.002	1704	2012-09-05
UNRO	-0.000	0.002	1705	2012-09-12
UNRO	-0.000	0.002	1706	2012-09-19
UNRO	-0.000	0.002	1707	2012-09-26
UNRO	-0.000	0.002	1708	2012-10-03
UNRO	-0.000	0.002	1709	2012-10-10
UNRO	-0.000	0.002	1710	2012-10-17
UNRO	-0.000	0.002	1711	2012-10-24
UNRO	-0.000	0.002	1712	2012-10-31
UNRO	-0.001	0.002	1713	2012-11-07
UNRO	-0.000	0.002	1714	2012-11-14
UNRO	-0.000	0.002	1715	2012-11-21
UNRO	-0.000	0.002	1716	2012-11-28
UNRO	-0.000	0.002	1717	2012-12-05
UNRO	-0.000	0.002	1718	2012-12-12
UNRO	-0.000	0.002	1719	2012-12-19
UNRO	-0.000	0.002	1720	2012-12-26
UNRO	-0.001	0.002	1721	2013-01-02
UNRO	-0.000	0.002	1722	2013-01-09
UNRO	-0.000	0.002	1723	2013-01-16
UNRO	-0.000	0.002	1724	2013-01-23
UNRO	-0.000	0.002	1725	2013-01-30
UNRO	-0.000	0.002	1726	2013-02-06
UNRO	-0.000	0.002	1727	2013-02-13
UNRO	-0.000	0.002	1728	2013-02-20
UNRO	-0.000	0.002	1729	2013-02-27
UNRO	-0.000	0.002	1730	2013-03-06
UNRO	-0.000	0.002	1731	2013-03-13
UNRO	-0.000	0.002	1732	2013-03-20
UNRO	-0.000	0.002	1733	2013-03-27
UNRO	-0.000	0.002	1734	2013-04-03
UNRO	-0.000	0.002	1735	2013-04-10
UNRO	-0.001	0.002	1737	2013-04-24
UNRO	-0.000	0.002	1738	2013-05-01
UNRO	-0.000	0.002	1739	2013-05-08
UNRO	-0.000	0.002	1740	2013-05-15
UNRO	-0.000	0.002	1741	2013-05-22
UNRO	-0.000	0.002	1742	2013-05-29
UNRO	-0.000	0.002	1743	2013-06-05
UNRO	-0.000	0.002	1744	2013-06-12
UNRO	-0.000	0.002	1745	2013-06-19
UNRO	-0.000	0.002	1746	2013-06-26
UNRO	-0.000	0.002	1747	2013-07-03
UNRO	-0.000	0.002	1748	2013-07-10
UNRO	-0.000	0.002	1749	2013-07-17
UNRO	-0.000	0.002	1750	2013-07-24
UNRO	-0.000	0.002	1751	2013-07-31
UNRO	-0.000	0.002	1752	2013-08-07
UNRO	-0.000	0.002	1753	2013-08-14
UNRO	-0.000	0.002	1754	2013-08-21
UNRO	-0.000	0.002	1755	2013-08-28
UNRO	-0.000	0.002	1756	2013-09-04
UNRO	-0.001	0.002	1757	2013-09-11
UNRO	-0.000	0.002	1758	2013-09-18
UNRO	-0.000	0.002	1759	2013-09-25
UNRO	-0.000	0.002	1760	2013-10-02
UNRO	-0.001	0.002	1761	2013-10-09
UNRO	-0.001	0.002	1762	2013-10-16
UNRO	0.006	0.005	1763	2013-10-23
UNRO	0.006	0.005	1764	2013-10-30
UNRO	0.006	0.005	1765	2013-11-06
UNRO	0.006	0.005	1766	2013-11-13
UNRO	0.006	0.005	1767	2013-11-20
UNRO	0.005	0.005	1769	2013-12-04
UNRO	0.006	0.005	1770	2013-12-11
UNRO	0.006	0.005	1771	2013-12-18
UNRO	0.005	0.005	1772	2013-12-25
UNRO	0.005	0.005	1773	2014-01-01
UNRO	0.006	0.005	1774	2014-01-08
UNRO	0.006	0.005	1775	2014-01-15
UNRO	0.005	0.005	1776	2014-01-22
UNRO	0.006	0.005	1777	2014-01-29
UNRO	0.006	0.005	1778	2014-02-05
UNRO	0.006	0.005	1779	2014-02-12
UNRO	0.005	0.005	1780	2014-02-19
UNRO	0.006	0.005	1781	2014-02-26
UNRO	0.006	0.005	1782	2014-03-05
UNRO	0.006	0.005	1783	2014-03-12
UNRO	0.006	0.005	1784	2014-03-19
UNRO	0.006	0.005	1785	2014-03-26
UNRO	0.006	0.005	1786	2014-04-02
UNRO	0.006	0.005	1787	2014-04-09
UNRO	0.006	0.005	1788	2014-04-16
