station	d_lat	d_lon	gpsweek	date
VBCA	0.002	-0.006	1640	2011-06-15
VBCA	0.002	-0.006	1641	2011-06-22
VBCA	0.002	-0.006	1642	2011-06-29
VBCA	0.002	-0.006	1643	2011-07-06
VBCA	0.001	-0.004	1644	2011-07-13
VBCA	0.001	-0.005	1645	2011-07-20
VBCA	0.001	-0.005	1646	2011-07-27
VBCA	0.001	-0.005	1647	2011-08-03
VBCA	0.001	-0.004	1648	2011-08-10
VBCA	0.001	-0.004	1649	2011-08-17
VBCA	0.001	-0.004	1650	2011-08-24
VBCA	0.001	-0.004	1651	2011-08-31
VBCA	0.001	-0.004	1652	2011-09-07
VBCA	0.001	-0.004	1653	2011-09-14
VBCA	0.001	-0.004	1654	2011-09-21
VBCA	0.001	-0.004	1655	2011-09-28
VBCA	0.001	-0.005	1656	2011-10-05
VBCA	0.001	-0.005	1657	2011-10-12
VBCA	0.000	-0.005	1658	2011-10-19
VBCA	0.001	-0.006	1659	2011-10-26
VBCA	0.001	-0.005	1660	2011-11-02
VBCA	0.001	-0.004	1661	2011-11-09
VBCA	0.001	-0.005	1662	2011-11-16
VBCA	0.002	-0.006	1663	2011-11-23
VBCA	0.001	-0.005	1664	2011-11-30
VBCA	0.001	-0.004	1665	2011-12-07
VBCA	0.001	-0.005	1666	2011-12-14
VBCA	0.001	-0.005	1667	2011-12-21
VBCA	0.001	-0.005	1668	2011-12-28
VBCA	0.001	-0.005	1669	2012-01-04
VBCA	0.001	-0.005	1670	2012-01-11
VBCA	0.001	-0.005	1671	2012-01-18
VBCA	0.001	-0.004	1672	2012-01-25
VBCA	0.001	-0.004	1673	2012-02-01
VBCA	0.001	-0.004	1674	2012-02-08
VBCA	0.001	-0.005	1675	2012-02-15
VBCA	0.001	-0.005	1676	2012-02-22
VBCA	0.001	-0.005	1677	2012-02-29
VBCA	0.001	-0.005	1678	2012-03-07
VBCA	0.001	-0.005	1679	2012-03-14
VBCA	0.001	-0.005	1680	2012-03-21
VBCA	0.001	-0.005	1681	2012-03-28
VBCA	0.001	-0.005	1682	2012-04-04
VBCA	0.001	-0.005	1683	2012-04-11
VBCA	0.001	-0.005	1684	2012-04-18
VBCA	0.001	-0.004	1685	2012-04-25
VBCA	0.001	-0.005	1686	2012-05-02
VBCA	0.001	-0.004	1687	2012-05-09
VBCA	0.001	-0.006	1688	2012-05-16
VBCA	0.001	-0.005	1689	2012-05-23
VBCA	0.001	-0.005	1690	2012-05-30
VBCA	0.001	-0.005	1691	2012-06-06
VBCA	0.001	-0.005	1692	2012-06-13
VBCA	0.001	-0.005	1693	2012-06-20
VBCA	0.001	-0.005	1694	2012-06-27
VBCA	0.001	-0.005	1695	2012-07-04
VBCA	0.001	-0.005	1696	2012-07-11
VBCA	0.001	-0.005	1697	2012-07-18
VBCA	0.001	-0.005	1698	2012-07-25
VBCA	0.001	-0.005	1699	2012-08-01
VBCA	0.001	-0.005	1700	2012-08-08
VBCA	0.001	-0.005	1701	2012-08-15
VBCA	0.001	-0.005	1702	2012-08-22
VBCA	0.001	-0.005	1703	2012-08-29
VBCA	0.001	-0.005	1704	2012-09-05
VBCA	0.001	-0.005	1705	2012-09-12
VBCA	0.001	-0.005	1706	2012-09-19
VBCA	-0.001	-0.005	1707	2012-09-26
VBCA	-0.001	-0.005	1708	2012-10-03
VBCA	0.001	-0.005	1709	2012-10-10
VBCA	-0.001	-0.004	1710	2012-10-17
VBCA	-0.001	-0.005	1711	2012-10-24
VBCA	-0.001	-0.005	1712	2012-10-31
VBCA	-0.001	-0.005	1713	2012-11-07
VBCA	-0.001	-0.005	1714	2012-11-14
VBCA	-0.000	-0.004	1715	2012-11-21
VBCA	-0.001	-0.005	1716	2012-11-28
VBCA	-0.001	-0.004	1717	2012-12-05
VBCA	-0.001	-0.004	1718	2012-12-12
VBCA	-0.001	-0.004	1719	2012-12-19
VBCA	-0.000	-0.004	1720	2012-12-26
VBCA	-0.001	-0.004	1721	2013-01-02
VBCA	0.001	-0.004	1722	2013-01-09
VBCA	0.001	-0.004	1723	2013-01-16
VBCA	0.001	-0.004	1724	2013-01-23
VBCA	0.001	-0.004	1725	2013-01-30
VBCA	0.001	-0.004	1726	2013-02-06
VBCA	0.001	-0.004	1727	2013-02-13
VBCA	0.001	-0.004	1728	2013-02-20
VBCA	0.001	-0.004	1729	2013-02-27
VBCA	-0.001	-0.005	1730	2013-03-06
VBCA	-0.001	-0.005	1731	2013-03-13
VBCA	-0.001	-0.005	1732	2013-03-20
VBCA	-0.001	-0.005	1733	2013-03-27
VBCA	-0.002	-0.006	1734	2013-04-03
VBCA	-0.002	-0.005	1735	2013-04-10
VBCA	-0.002	-0.005	1736	2013-04-17
VBCA	-0.001	-0.005	1737	2013-04-24
VBCA	-0.001	-0.005	1738	2013-05-01
VBCA	-0.002	-0.005	1739	2013-05-08
VBCA	-0.002	-0.005	1740	2013-05-15
VBCA	-0.002	-0.005	1741	2013-05-22
VBCA	-0.002	-0.005	1742	2013-05-29
VBCA	-0.001	-0.005	1743	2013-06-05
VBCA	-0.002	-0.005	1744	2013-06-12
VBCA	-0.002	-0.005	1745	2013-06-19
VBCA	-0.002	-0.005	1746	2013-06-26
VBCA	-0.002	-0.005	1747	2013-07-03
VBCA	-0.002	-0.006	1748	2013-07-10
VBCA	-0.002	-0.005	1749	2013-07-17
VBCA	-0.002	-0.005	1750	2013-07-24
VBCA	-0.002	-0.005	1751	2013-07-31
VBCA	-0.002	-0.005	1752	2013-08-07
VBCA	-0.002	-0.005	1753	2013-08-14
VBCA	-0.002	-0.005	1754	2013-08-21
VBCA	-0.002	-0.005	1755	2013-08-28
VBCA	-0.002	-0.005	1756	2013-09-04
VBCA	-0.002	-0.005	1757	2013-09-11
VBCA	-0.002	-0.005	1758	2013-09-18
VBCA	-0.002	-0.005	1759	2013-09-25
VBCA	-0.002	-0.005	1760	2013-10-02
VBCA	-0.002	-0.005	1761	2013-10-09
VBCA	-0.002	-0.005	1762	2013-10-16
VBCA	-0.002	-0.005	1763	2013-10-23
VBCA	-0.002	-0.004	1764	2013-10-30
VBCA	-0.002	-0.004	1765	2013-11-06
VBCA	-0.002	-0.004	1766	2013-11-13
VBCA	-0.002	-0.004	1767	2013-11-20
VBCA	-0.002	-0.005	1769	2013-12-04
VBCA	-0.002	-0.005	1770	2013-12-11
VBCA	-0.002	-0.004	1771	2013-12-18
VBCA	-0.002	-0.004	1772	2013-12-25
VBCA	-0.002	-0.005	1773	2014-01-01
VBCA	-0.003	-0.005	1774	2014-01-08
VBCA	-0.001	-0.008	1775	2014-01-15
VBCA	-0.000	-0.007	1776	2014-01-22
VBCA	-0.000	-0.008	1777	2014-01-29
VBCA	0.000	-0.007	1778	2014-02-05
VBCA	0.000	-0.006	1779	2014-02-12
VBCA	-0.003	-0.006	1780	2014-02-19
VBCA	-0.001	-0.009	1781	2014-02-26
VBCA	-0.001	-0.010	1782	2014-03-05
VBCA	-0.001	-0.010	1783	2014-03-12
VBCA	-0.001	-0.010	1784	2014-03-19
VBCA	-0.001	-0.009	1785	2014-03-26
VBCA	-0.001	-0.009	1786	2014-04-02
VBCA	-0.000	-0.008	1787	2014-04-09
VBCA	-0.001	-0.008	1788	2014-04-16
VBCA	-0.001	-0.008	1789	2014-04-23
VBCA	-0.000	-0.008	1790	2014-04-30
VBCA	-0.000	-0.009	1791	2014-05-07
VBCA	-0.001	-0.008	1792	2014-05-14
VBCA	-0.001	-0.008	1793	2014-05-21
VBCA	-0.001	-0.008	1794	2014-05-28
VBCA	-0.001	-0.008	1795	2014-06-04
VBCA	-0.001	-0.008	1796	2014-06-11
VBCA	-0.001	-0.008	1797	2014-06-18
VBCA	-0.001	-0.008	1798	2014-06-25
VBCA	-0.000	-0.009	1799	2014-07-02
VBCA	-0.001	-0.009	1800	2014-07-09
VBCA	-0.001	-0.008	1801	2014-07-16
VBCA	-0.001	-0.008	1802	2014-07-23
VBCA	0.002	-0.010	1803	2014-07-30
VBCA	0.002	-0.010	1804	2014-08-06
VBCA	0.001	-0.011	1805	2014-08-13
VBCA	0.002	-0.011	1806	2014-08-20
VBCA	0.001	-0.011	1807	2014-08-27
VBCA	0.001	-0.011	1808	2014-09-03
VBCA	0.001	-0.013	1809	2014-09-10
VBCA	-0.001	-0.012	1810	2014-09-17
VBCA	-0.001	-0.011	1811	2014-09-24
VBCA	-0.002	-0.013	1812	2014-10-01
VBCA	-0.003	-0.010	1813	2014-10-08
VBCA	-0.002	-0.011	1814	2014-10-15
VBCA	0.002	-0.010	1821	2014-12-03
VBCA	0.002	-0.010	1822	2014-12-10
VBCA	-0.004	-0.007	1824	2014-12-24
VBCA	-0.001	-0.011	1825	2014-12-31
VBCA	-0.004	-0.007	1826	2015-01-07
VBCA	-0.002	-0.011	1827	2015-01-14
VBCA	-0.002	-0.011	1828	2015-01-21
VBCA	-0.001	-0.011	1830	2015-02-04
