station	d_lat	d_lon	gpsweek	date
YEMA	-0.000	-0.001	1803	2014-07-30
YEMA	-0.000	-0.001	1804	2014-08-06
YEMA	-0.000	-0.001	1805	2014-08-13
YEMA	-0.001	-0.001	1806	2014-08-20
YEMA	-0.000	-0.001	1807	2014-08-27
YEMA	-0.001	-0.001	1808	2014-09-03
YEMA	-0.000	-0.001	1809	2014-09-10
YEMA	-0.001	-0.001	1810	2014-09-17
YEMA	-0.001	-0.001	1811	2014-09-24
YEMA	-0.001	-0.001	1812	2014-10-01
YEMA	-0.001	-0.000	1813	2014-10-08
YEMA	-0.001	-0.001	1814	2014-10-15
YEMA	-0.001	-0.001	1815	2014-10-22
YEMA	-0.001	-0.001	1816	2014-10-29
YEMA	-0.001	-0.001	1817	2014-11-05
YEMA	-0.001	-0.001	1818	2014-11-12
YEMA	-0.001	-0.001	1819	2014-11-19
YEMA	-0.001	-0.001	1820	2014-11-26
YEMA	-0.001	-0.001	1821	2014-12-03
YEMA	-0.001	-0.001	1822	2014-12-10
YEMA	-0.001	-0.001	1823	2014-12-17
YEMA	-0.001	-0.001	1824	2014-12-24
YEMA	-0.001	-0.001	1825	2014-12-31
YEMA	-0.001	-0.000	1826	2015-01-07
YEMA	-0.001	-0.001	1827	2015-01-14
YEMA	-0.001	-0.001	1828	2015-01-21
YEMA	-0.001	-0.001	1830	2015-02-04
YEMA	-0.001	-0.001	1831	2015-02-11
YEMA	-0.001	-0.001	1832	2015-02-18
YEMA	-0.001	-0.001	1833	2015-02-25
YEMA	-0.001	-0.001	1834	2015-03-04
YEMA	-0.001	-0.001	1835	2015-03-11
YEMA	-0.001	-0.001	1836	2015-03-18
YEMA	-0.001	-0.001	1837	2015-03-25
YEMA	-0.001	-0.001	1838	2015-04-01
YEMA	-0.001	-0.001	1839	2015-04-08
YEMA	-0.001	-0.001	1840	2015-04-15
YEMA	-0.001	-0.001	1841	2015-04-22
YEMA	-0.001	-0.001	1842	2015-04-29
YEMA	-0.001	-0.001	1843	2015-05-06
YEMA	-0.001	-0.001	1844	2015-05-13
YEMA	-0.001	-0.001	1845	2015-05-20
YEMA	-0.001	-0.001	1846	2015-05-27
YEMA	-0.001	-0.001	1847	2015-06-03
YEMA	-0.001	-0.001	1848	2015-06-10
YEMA	-0.001	-0.001	1849	2015-06-17
YEMA	-0.001	-0.001	1850	2015-06-24
YEMA	-0.001	-0.001	1851	2015-07-01
YEMA	-0.001	-0.001	1852	2015-07-08
YEMA	-0.001	-0.001	1853	2015-07-15
YEMA	-0.001	-0.001	1854	2015-07-22
YEMA	-0.001	-0.001	1855	2015-07-29
YEMA	-0.001	-0.001	1856	2015-08-05
YEMA	-0.001	-0.001	1858	2015-08-19
YEMA	-0.001	-0.001	1859	2015-08-26
YEMA	-0.001	-0.001	1860	2015-09-02
YEMA	-0.000	-0.001	1861	2015-09-09
YEMA	-0.001	-0.001	1862	2015-09-16
YEMA	-0.001	-0.001	1863	2015-09-23
YEMA	-0.001	-0.001	1864	2015-09-30
YEMA	-0.001	-0.001	1865	2015-10-07
YEMA	-0.001	-0.001	1866	2015-10-14
YEMA	-0.001	-0.001	1867	2015-10-21
YEMA	-0.001	-0.001	1868	2015-10-28
YEMA	-0.001	-0.001	1869	2015-11-04
YEMA	-0.001	-0.001	1870	2015-11-11
YEMA	-0.001	-0.001	1871	2015-11-18
YEMA	-0.001	-0.001	1872	2015-11-25
YEMA	-0.001	-0.001	1873	2015-12-02
YEMA	-0.001	-0.001	1874	2015-12-09
YEMA	-0.001	-0.001	1875	2015-12-16
YEMA	-0.001	-0.001	1876	2015-12-23
YEMA	-0.001	-0.001	1877	2015-12-30
YEMA	-0.001	-0.002	1878	2016-01-06
YEMA	-0.001	-0.002	1880	2016-01-20
YEMA	-0.001	-0.002	1882	2016-02-03
YEMA	-0.001	-0.002	1883	2016-02-10
YEMA	-0.001	-0.002	1884	2016-02-17
YEMA	-0.001	-0.002	1885	2016-02-24
YEMA	-0.001	-0.002	1886	2016-03-02
YEMA	-0.001	-0.002	1887	2016-03-09
