station	d_lat	d_lon	gpsweek	date
AGGO	-0.001	-0.000	1934	2017-02-01
AGGO	-0.001	0.000	1935	2017-02-08
AGGO	-0.002	-0.000	1936	2017-02-15
AGGO	-0.001	-0.000	1937	2017-02-22
AGGO	-0.001	-0.001	1938	2017-03-01
AGGO	-0.001	0.000	1939	2017-03-08
AGGO	-0.002	-0.000	1940	2017-03-15
AGGO	-0.001	0.001	1941	2017-03-22
AGGO	-0.001	0.000	1942	2017-03-29
AGGO	-0.002	0.002	1943	2017-04-05
AGGO	-0.002	0.001	1944	2017-04-12
AGGO	-0.002	0.000	1945	2017-04-19
AGGO	-0.003	0.001	1946	2017-04-26
AGGO	-0.002	0.001	1947	2017-05-03
AGGO	-0.003	0.000	1948	2017-05-10
AGGO	-0.003	0.000	1949	2017-05-17
AGGO	-0.003	0.001	1950	2017-05-24
AGGO	-0.003	0.001	1951	2017-05-31
AGGO	-0.003	0.001	1952	2017-06-07
AGGO	-0.002	0.000	1953	2017-06-14
AGGO	-0.002	0.001	1954	2017-06-21
AGGO	-0.003	-0.000	1955	2017-06-28
AGGO	-0.002	0.002	1956	2017-07-05
AGGO	-0.003	0.000	1957	2017-07-12
AGGO	-0.003	0.001	1958	2017-07-19
AGGO	-0.003	0.001	1959	2017-07-26
AGGO	-0.002	0.001	1960	2017-08-02
AGGO	-0.002	0.002	1961	2017-08-09
AGGO	-0.002	0.002	1962	2017-08-16
AGGO	-0.003	0.000	1963	2017-08-23
AGGO	-0.003	0.001	1964	2017-08-30
AGGO	-0.003	0.000	1965	2017-09-06
AGGO	-0.003	-0.001	1966	2017-09-13
AGGO	-0.002	0.000	1967	2017-09-20
AGGO	-0.003	0.001	1968	2017-09-27
AGGO	-0.002	0.000	1969	2017-10-04
