station	d_lat	d_lon	gpsweek	date
AUTF	0.002	0.020	1640	2011-06-15
AUTF	0.003	0.020	1641	2011-06-22
AUTF	0.002	0.020	1642	2011-06-29
AUTF	0.002	0.020	1643	2011-07-06
AUTF	0.002	0.020	1644	2011-07-13
AUTF	0.002	0.022	1645	2011-07-20
AUTF	0.003	0.022	1646	2011-07-27
AUTF	0.001	0.023	1647	2011-08-03
AUTF	-0.003	0.027	1648	2011-08-10
AUTF	-0.001	0.027	1649	2011-08-17
AUTF	-0.003	0.027	1650	2011-08-24
AUTF	-0.001	0.026	1651	2011-08-31
AUTF	-0.002	0.027	1652	2011-09-07
AUTF	-0.001	0.026	1653	2011-09-14
AUTF	-0.002	0.027	1654	2011-09-21
AUTF	0.003	0.022	1655	2011-09-28
AUTF	0.002	0.023	1656	2011-10-05
AUTF	0.003	0.023	1657	2011-10-12
AUTF	0.005	0.021	1658	2011-10-19
AUTF	0.005	0.021	1659	2011-10-26
AUTF	0.006	0.020	1660	2011-11-02
AUTF	0.002	0.022	1661	2011-11-09
AUTF	0.003	0.022	1662	2011-11-16
AUTF	0.000	0.025	1663	2011-11-23
AUTF	0.000	0.025	1664	2011-11-30
AUTF	0.003	0.024	1665	2011-12-07
AUTF	0.001	0.024	1666	2011-12-14
AUTF	0.002	0.023	1667	2011-12-21
AUTF	0.003	0.024	1668	2011-12-28
AUTF	0.002	0.024	1669	2012-01-04
AUTF	-0.001	0.026	1670	2012-01-11
AUTF	-0.001	0.026	1671	2012-01-18
AUTF	0.002	0.023	1672	2012-01-25
AUTF	0.003	0.023	1673	2012-02-01
AUTF	0.004	0.022	1674	2012-02-08
AUTF	0.002	0.025	1675	2012-02-15
AUTF	0.002	0.025	1676	2012-02-22
AUTF	-0.004	0.022	1677	2012-02-29
AUTF	-0.004	0.022	1678	2012-03-07
AUTF	-0.004	0.023	1679	2012-03-14
AUTF	-0.003	0.022	1680	2012-03-21
AUTF	-0.003	0.022	1681	2012-03-28
AUTF	-0.006	0.023	1682	2012-04-04
AUTF	-0.003	0.022	1683	2012-04-11
AUTF	-0.006	0.024	1684	2012-04-18
AUTF	-0.007	0.024	1685	2012-04-25
AUTF	-0.008	0.024	1686	2012-05-02
AUTF	-0.007	0.023	1687	2012-05-09
AUTF	-0.005	0.022	1688	2012-05-16
AUTF	-0.005	0.024	1689	2012-05-23
AUTF	-0.007	0.024	1690	2012-05-30
AUTF	-0.003	0.026	1691	2012-06-06
AUTF	-0.004	0.026	1692	2012-06-13
AUTF	-0.006	0.024	1693	2012-06-20
AUTF	-0.004	0.023	1694	2012-06-27
AUTF	-0.004	0.025	1695	2012-07-04
AUTF	-0.007	0.024	1696	2012-07-11
AUTF	-0.006	0.024	1697	2012-07-18
AUTF	-0.004	0.025	1698	2012-07-25
AUTF	-0.006	0.024	1699	2012-08-01
AUTF	-0.004	0.024	1700	2012-08-08
AUTF	-0.005	0.024	1701	2012-08-15
AUTF	-0.005	0.023	1702	2012-08-22
AUTF	-0.006	0.024	1703	2012-08-29
AUTF	-0.006	0.024	1704	2012-09-05
AUTF	-0.008	0.026	1705	2012-09-12
AUTF	-0.008	0.025	1706	2012-09-19
AUTF	-0.008	0.026	1707	2012-09-26
AUTF	-0.006	0.024	1708	2012-10-03
AUTF	0.001	0.020	1709	2012-10-10
AUTF	-0.006	0.028	1710	2012-10-17
AUTF	-0.007	0.027	1711	2012-10-24
AUTF	-0.007	0.027	1712	2012-10-31
AUTF	-0.005	0.028	1713	2012-11-07
AUTF	-0.007	0.026	1714	2012-11-14
AUTF	-0.005	0.028	1715	2012-11-21
AUTF	-0.006	0.027	1716	2012-11-28
AUTF	-0.007	0.028	1717	2012-12-05
AUTF	-0.008	0.030	1718	2012-12-12
AUTF	-0.008	0.030	1719	2012-12-19
AUTF	-0.007	0.031	1720	2012-12-26
AUTF	-0.007	0.029	1721	2013-01-02
AUTF	-0.004	0.027	1722	2013-01-09
AUTF	-0.006	0.028	1723	2013-01-16
AUTF	-0.006	0.028	1724	2013-01-23
AUTF	-0.005	0.028	1725	2013-01-30
AUTF	-0.004	0.029	1726	2013-02-06
AUTF	-0.005	0.029	1727	2013-02-13
AUTF	-0.005	0.030	1728	2013-02-20
AUTF	-0.007	0.031	1729	2013-02-27
AUTF	-0.006	0.031	1730	2013-03-06
AUTF	-0.005	0.031	1731	2013-03-13
AUTF	-0.006	0.031	1732	2013-03-20
AUTF	-0.006	0.030	1733	2013-03-27
AUTF	-0.006	0.029	1734	2013-04-03
AUTF	-0.005	0.031	1735	2013-04-10
AUTF	-0.006	0.030	1736	2013-04-17
AUTF	-0.005	0.031	1737	2013-04-24
AUTF	-0.005	0.030	1738	2013-05-01
AUTF	-0.005	0.030	1739	2013-05-08
AUTF	-0.004	0.031	1740	2013-05-15
AUTF	-0.003	0.030	1741	2013-05-22
AUTF	-0.006	0.032	1742	2013-05-29
AUTF	-0.005	0.031	1743	2013-06-05
AUTF	-0.005	0.031	1744	2013-06-12
AUTF	-0.002	0.031	1745	2013-06-19
AUTF	-0.004	0.030	1746	2013-06-26
AUTF	-0.005	0.031	1747	2013-07-03
AUTF	-0.004	0.031	1748	2013-07-10
AUTF	-0.003	0.032	1749	2013-07-17
AUTF	-0.003	0.032	1750	2013-07-24
AUTF	-0.005	0.031	1751	2013-07-31
AUTF	-0.006	0.031	1752	2013-08-07
AUTF	-0.001	0.032	1753	2013-08-14
AUTF	-0.005	0.031	1754	2013-08-21
AUTF	-0.004	0.032	1755	2013-08-28
AUTF	-0.006	0.032	1756	2013-09-04
AUTF	-0.005	0.033	1757	2013-09-11
AUTF	-0.005	0.032	1758	2013-09-18
AUTF	-0.005	0.033	1759	2013-09-25
AUTF	-0.005	0.033	1760	2013-10-02
AUTF	-0.005	0.032	1761	2013-10-09
AUTF	-0.002	0.031	1762	2013-10-16
AUTF	-0.005	0.032	1763	2013-10-23
AUTF	-0.004	0.031	1764	2013-10-30
AUTF	-0.006	0.032	1765	2013-11-06
AUTF	-0.007	0.032	1766	2013-11-13
AUTF	-0.005	0.033	1767	2013-11-20
AUTF	-0.004	0.034	1769	2013-12-04
AUTF	-0.004	0.034	1770	2013-12-11
AUTF	-0.005	0.034	1771	2013-12-18
AUTF	-0.001	0.040	1772	2013-12-25
AUTF	-0.003	0.041	1773	2014-01-01
AUTF	-0.003	0.041	1774	2014-01-08
AUTF	-0.001	0.041	1775	2014-01-15
AUTF	-0.001	0.042	1776	2014-01-22
AUTF	-0.007	0.033	1777	2014-01-29
AUTF	-0.006	0.036	1778	2014-02-05
AUTF	-0.004	0.036	1779	2014-02-12
AUTF	-0.007	0.036	1780	2014-02-19
AUTF	-0.004	0.037	1781	2014-02-26
