station	d_lat	d_lon	gpsweek	date
CHAC	0.010	0.008	1677	2012-02-29
CHAC	0.012	0.009	1678	2012-03-07
CHAC	0.009	0.015	1679	2012-03-14
CHAC	0.010	0.017	1680	2012-03-21
CHAC	0.009	0.018	1681	2012-03-28
CHAC	0.009	0.017	1682	2012-04-04
CHAC	0.009	0.016	1683	2012-04-11
CHAC	0.007	0.017	1684	2012-04-18
CHAC	0.008	0.017	1685	2012-04-25
CHAC	0.009	0.021	1686	2012-05-02
CHAC	0.011	0.006	1687	2012-05-09
CHAC	0.008	0.019	1688	2012-05-16
CHAC	0.008	0.018	1689	2012-05-23
CHAC	0.009	0.018	1690	2012-05-30
CHAC	0.008	0.021	1691	2012-06-06
CHAC	0.009	0.012	1692	2012-06-13
CHAC	0.010	0.014	1693	2012-06-20
CHAC	0.008	0.007	1694	2012-06-27
CHAC	0.008	0.008	1695	2012-07-04
CHAC	0.007	0.011	1696	2012-07-11
CHAC	0.007	0.012	1697	2012-07-18
CHAC	0.008	0.009	1698	2012-07-25
CHAC	0.008	0.009	1699	2012-08-01
CHAC	0.008	0.007	1700	2012-08-08
CHAC	0.008	0.006	1701	2012-08-15
CHAC	0.008	0.006	1702	2012-08-22
CHAC	0.007	0.008	1703	2012-08-29
CHAC	0.008	0.006	1704	2012-09-05
CHAC	0.009	0.006	1705	2012-09-12
CHAC	0.010	0.006	1706	2012-09-19
CHAC	0.008	0.006	1707	2012-09-26
CHAC	0.009	0.006	1708	2012-10-03
CHAC	0.013	0.011	1709	2012-10-10
CHAC	0.012	0.010	1710	2012-10-17
CHAC	0.011	0.011	1711	2012-10-24
CHAC	0.008	0.006	1712	2012-10-31
CHAC	0.007	0.006	1713	2012-11-07
CHAC	0.010	0.006	1714	2012-11-14
CHAC	0.008	0.004	1715	2012-11-21
CHAC	0.010	0.012	1716	2012-11-28
CHAC	0.013	0.011	1717	2012-12-05
CHAC	0.012	0.009	1718	2012-12-12
CHAC	0.012	0.011	1719	2012-12-19
CHAC	0.011	0.011	1720	2012-12-26
CHAC	0.011	0.009	1721	2013-01-02
CHAC	0.011	0.011	1722	2013-01-09
CHAC	0.010	0.011	1723	2013-01-16
CHAC	0.009	0.011	1724	2013-01-23
CHAC	0.011	0.012	1725	2013-01-30
CHAC	0.009	0.011	1726	2013-02-06
CHAC	0.012	0.008	1727	2013-02-13
CHAC	0.011	0.012	1728	2013-02-20
CHAC	0.010	0.012	1729	2013-02-27
CHAC	0.008	0.010	1730	2013-03-06
CHAC	0.011	0.011	1731	2013-03-13
CHAC	0.010	0.011	1732	2013-03-20
CHAC	0.009	0.013	1733	2013-03-27
CHAC	0.005	0.014	1734	2013-04-03
CHAC	0.010	0.013	1735	2013-04-10
CHAC	0.010	0.014	1736	2013-04-17
CHAC	0.009	0.013	1737	2013-04-24
CHAC	0.010	0.014	1738	2013-05-01
CHAC	0.009	0.015	1739	2013-05-08
CHAC	0.009	0.013	1740	2013-05-15
CHAC	0.007	0.015	1741	2013-05-22
CHAC	0.009	0.013	1742	2013-05-29
CHAC	0.008	0.014	1743	2013-06-05
CHAC	0.009	0.015	1744	2013-06-12
CHAC	0.009	0.015	1745	2013-06-19
CHAC	0.008	0.015	1746	2013-06-26
CHAC	0.008	0.015	1747	2013-07-03
CHAC	0.009	0.014	1748	2013-07-10
CHAC	0.008	0.014	1749	2013-07-17
CHAC	0.007	0.017	1750	2013-07-24
CHAC	0.008	0.014	1751	2013-07-31
CHAC	0.009	0.015	1752	2013-08-07
CHAC	0.007	0.016	1753	2013-08-14
CHAC	0.008	0.014	1754	2013-08-21
CHAC	0.008	0.016	1755	2013-08-28
CHAC	0.009	0.013	1756	2013-09-04
CHAC	0.009	0.013	1757	2013-09-11
CHAC	0.008	0.015	1758	2013-09-18
CHAC	0.009	0.015	1759	2013-09-25
CHAC	0.009	0.013	1760	2013-10-02
CHAC	0.008	0.012	1761	2013-10-09
CHAC	0.010	0.013	1762	2013-10-16
CHAC	0.010	0.007	1763	2013-10-23
CHAC	0.010	0.008	1764	2013-10-30
CHAC	0.010	0.009	1765	2013-11-06
CHAC	0.011	0.008	1766	2013-11-13
CHAC	0.010	0.009	1767	2013-11-20
CHAC	0.010	0.008	1769	2013-12-04
CHAC	0.009	0.010	1770	2013-12-11
CHAC	0.010	0.009	1771	2013-12-18
CHAC	0.011	0.006	1772	2013-12-25
CHAC	0.010	0.009	1773	2014-01-01
CHAC	0.010	0.008	1774	2014-01-08
CHAC	0.011	0.009	1775	2014-01-15
CHAC	0.010	0.006	1776	2014-01-22
CHAC	0.011	0.009	1777	2014-01-29
CHAC	0.010	0.008	1778	2014-02-05
CHAC	0.011	0.008	1779	2014-02-12
CHAC	0.011	0.009	1780	2014-02-19
CHAC	0.009	0.010	1781	2014-02-26
CHAC	0.009	0.009	1782	2014-03-05
CHAC	0.009	0.009	1783	2014-03-12
CHAC	0.008	0.010	1784	2014-03-19
CHAC	0.009	0.010	1785	2014-03-26
CHAC	0.011	0.009	1786	2014-04-02
CHAC	0.010	0.008	1787	2014-04-09
CHAC	0.010	0.010	1788	2014-04-16
CHAC	0.009	0.010	1789	2014-04-23
CHAC	0.010	0.010	1790	2014-04-30
CHAC	0.010	0.011	1791	2014-05-07
CHAC	0.010	0.010	1792	2014-05-14
CHAC	0.010	0.011	1793	2014-05-21
CHAC	0.010	0.011	1794	2014-05-28
CHAC	0.010	0.011	1795	2014-06-04
CHAC	0.009	0.011	1796	2014-06-11
CHAC	0.009	0.012	1797	2014-06-18
CHAC	0.009	0.011	1798	2014-06-25
CHAC	0.009	0.012	1799	2014-07-02
CHAC	0.010	0.012	1800	2014-07-09
CHAC	0.010	0.011	1801	2014-07-16
CHAC	0.010	0.012	1802	2014-07-23
CHAC	0.006	0.006	1803	2014-07-30
CHAC	0.006	0.005	1804	2014-08-06
CHAC	0.006	0.006	1805	2014-08-13
CHAC	0.007	0.004	1806	2014-08-20
CHAC	0.007	0.006	1807	2014-08-27
CHAC	0.007	0.004	1808	2014-09-03
CHAC	0.007	0.005	1809	2014-09-10
CHAC	0.006	0.004	1810	2014-09-17
CHAC	0.007	0.005	1811	2014-09-24
CHAC	0.006	0.005	1812	2014-10-01
CHAC	0.006	0.005	1813	2014-10-08
CHAC	0.006	0.004	1814	2014-10-15
CHAC	0.007	0.004	1815	2014-10-22
CHAC	0.007	0.004	1816	2014-10-29
CHAC	0.008	0.005	1817	2014-11-05
CHAC	0.008	0.005	1818	2014-11-12
CHAC	0.009	0.004	1819	2014-11-19
CHAC	0.009	0.003	1820	2014-11-26
CHAC	0.009	0.004	1821	2014-12-03
CHAC	0.007	0.004	1822	2014-12-10
CHAC	0.008	0.003	1823	2014-12-17
CHAC	0.008	0.004	1824	2014-12-24
