station	d_lat	d_lon	gpsweek	date
COYQ	-0.019	0.012	1640	2011-06-15
COYQ	-0.032	0.039	1641	2011-06-22
COYQ	-0.032	0.039	1642	2011-06-29
COYQ	-0.034	0.040	1643	2011-07-06
COYQ	-0.031	0.033	1644	2011-07-13
COYQ	-0.033	0.040	1645	2011-07-20
COYQ	-0.033	0.040	1646	2011-07-27
COYQ	-0.032	0.035	1655	2011-09-28
COYQ	-0.034	0.043	1656	2011-10-05
COYQ	-0.033	0.042	1657	2011-10-12
COYQ	-0.033	0.042	1658	2011-10-19
COYQ	-0.032	0.042	1659	2011-10-26
COYQ	-0.034	0.042	1660	2011-11-02
COYQ	-0.033	0.043	1661	2011-11-09
COYQ	-0.031	0.045	1662	2011-11-16
COYQ	-0.034	0.043	1666	2011-12-14
COYQ	-0.035	0.042	1667	2011-12-21
COYQ	-0.033	0.043	1668	2011-12-28
COYQ	-0.032	0.042	1669	2012-01-04
COYQ	-0.033	0.038	1672	2012-01-25
COYQ	-0.035	0.037	1673	2012-02-01
COYQ	-0.017	-0.004	1674	2012-02-08
COYQ	-0.046	0.051	1675	2012-02-15
COYQ	-0.035	0.044	1676	2012-02-22
COYQ	-0.027	0.013	1677	2012-02-29
COYQ	-0.029	0.014	1678	2012-03-07
COYQ	-0.029	0.016	1679	2012-03-14
COYQ	-0.028	0.013	1680	2012-03-21
COYQ	-0.027	0.013	1681	2012-03-28
COYQ	-0.046	0.038	1791	2014-05-07
COYQ	-0.046	0.038	1792	2014-05-14
COYQ	-0.048	0.039	1793	2014-05-21
COYQ	-0.044	0.038	1794	2014-05-28
COYQ	-0.047	0.040	1795	2014-06-04
COYQ	-0.047	0.040	1796	2014-06-11
COYQ	-0.048	0.039	1797	2014-06-18
COYQ	-0.046	0.039	1798	2014-06-25
COYQ	-0.046	0.039	1799	2014-07-02
COYQ	-0.046	0.041	1800	2014-07-09
COYQ	-0.047	0.040	1801	2014-07-16
COYQ	-0.047	0.039	1802	2014-07-23
COYQ	-0.034	0.010	1803	2014-07-30
COYQ	-0.033	0.007	1804	2014-08-06
COYQ	-0.034	0.005	1805	2014-08-13
COYQ	-0.036	0.008	1806	2014-08-20
COYQ	-0.035	0.009	1807	2014-08-27
COYQ	-0.034	0.007	1808	2014-09-03
COYQ	-0.034	0.006	1809	2014-09-10
COYQ	-0.048	0.040	1810	2014-09-17
COYQ	-0.047	0.040	1811	2014-09-24
COYQ	-0.047	0.042	1812	2014-10-01
COYQ	-0.048	0.041	1813	2014-10-08
COYQ	-0.040	0.003	1814	2014-10-15
COYQ	-0.049	0.041	1815	2014-10-22
COYQ	-0.048	0.040	1816	2014-10-29
COYQ	-0.048	0.041	1817	2014-11-05
COYQ	-0.047	0.040	1818	2014-11-12
COYQ	-0.047	0.042	1819	2014-11-19
COYQ	-0.029	0.005	1820	2014-11-26
COYQ	-0.028	0.009	1821	2014-12-03
COYQ	-0.030	0.007	1822	2014-12-10
COYQ	-0.047	0.040	1823	2014-12-17
COYQ	-0.045	0.039	1824	2014-12-24
COYQ	-0.031	0.005	1825	2014-12-31
COYQ	-0.047	0.038	1826	2015-01-07
COYQ	-0.037	0.003	1827	2015-01-14
COYQ	-0.038	0.004	1828	2015-01-21
COYQ	-0.037	0.004	1830	2015-02-04
COYQ	-0.037	0.004	1831	2015-02-11
COYQ	-0.038	0.005	1832	2015-02-18
COYQ	-0.039	0.006	1833	2015-02-25
COYQ	-0.034	0.007	1834	2015-03-04
COYQ	-0.037	0.008	1835	2015-03-11
COYQ	-0.037	0.005	1836	2015-03-18
COYQ	-0.039	0.004	1837	2015-03-25
COYQ	-0.038	0.004	1838	2015-04-01
COYQ	-0.038	0.004	1839	2015-04-08
COYQ	-0.038	0.006	1840	2015-04-15
COYQ	-0.037	0.006	1841	2015-04-22
COYQ	-0.038	0.006	1842	2015-04-29
COYQ	-0.037	0.006	1843	2015-05-06
COYQ	-0.038	0.008	1844	2015-05-13
COYQ	-0.038	0.007	1845	2015-05-20
COYQ	-0.037	0.009	1846	2015-05-27
COYQ	-0.039	0.008	1847	2015-06-03
COYQ	-0.037	0.008	1848	2015-06-10
COYQ	-0.036	0.009	1849	2015-06-17
COYQ	-0.036	0.009	1850	2015-06-24
COYQ	-0.036	0.006	1851	2015-07-01
COYQ	-0.038	0.007	1852	2015-07-08
COYQ	-0.037	0.008	1853	2015-07-15
COYQ	-0.037	0.008	1854	2015-07-22
COYQ	-0.039	0.007	1855	2015-07-29
COYQ	-0.038	0.008	1856	2015-08-05
COYQ	-0.040	0.008	1858	2015-08-19
COYQ	-0.039	0.011	1859	2015-08-26
COYQ	-0.038	0.009	1860	2015-09-02
COYQ	-0.038	0.010	1861	2015-09-09
COYQ	-0.040	0.010	1862	2015-09-16
COYQ	-0.039	0.010	1863	2015-09-23
COYQ	-0.038	0.010	1864	2015-09-30
COYQ	-0.038	0.009	1865	2015-10-07
COYQ	-0.039	0.009	1866	2015-10-14
COYQ	-0.038	0.009	1867	2015-10-21
COYQ	-0.038	0.008	1868	2015-10-28
COYQ	-0.039	0.007	1869	2015-11-04
COYQ	-0.036	0.004	1870	2015-11-11
COYQ	-0.036	0.005	1871	2015-11-18
COYQ	-0.036	0.005	1872	2015-11-25
COYQ	-0.038	0.006	1873	2015-12-02
COYQ	-0.036	0.005	1874	2015-12-09
COYQ	-0.049	0.046	1875	2015-12-16
COYQ	-0.048	0.047	1876	2015-12-23
COYQ	-0.049	0.046	1877	2015-12-30
COYQ	-0.049	0.044	1878	2016-01-06
COYQ	-0.050	0.047	1880	2016-01-20
COYQ	-0.040	0.006	1882	2016-02-03
COYQ	-0.043	0.010	1883	2016-02-10
COYQ	-0.042	0.015	1884	2016-02-17
COYQ	-0.042	0.015	1885	2016-02-24
COYQ	-0.042	0.015	1886	2016-03-02
COYQ	-0.042	0.015	1887	2016-03-09
COYQ	-0.042	0.016	1888	2016-03-16
COYQ	-0.039	0.062	1889	2016-03-23
COYQ	-0.043	0.016	1890	2016-03-30
COYQ	-0.043	0.016	1891	2016-04-06
COYQ	-0.046	0.015	1892	2016-04-13
COYQ	-0.046	0.015	1893	2016-04-20
COYQ	-0.048	0.016	1894	2016-04-27
COYQ	-0.048	0.018	1895	2016-05-04
COYQ	-0.041	0.029	1896	2016-05-11
COYQ	-0.041	0.028	1897	2016-05-18
COYQ	-0.040	0.029	1898	2016-05-25
COYQ	-0.040	0.029	1899	2016-06-01
COYQ	-0.038	0.030	1900	2016-06-08
COYQ	-0.037	0.031	1901	2016-06-15
COYQ	-0.037	0.031	1902	2016-06-22
COYQ	-0.038	0.029	1903	2016-06-29
COYQ	-0.037	0.029	1904	2016-07-06
COYQ	-0.049	0.007	1905	2016-07-13
COYQ	-0.039	0.030	1906	2016-07-20
COYQ	-0.038	0.030	1907	2016-07-27
COYQ	-0.038	0.031	1908	2016-08-03
COYQ	-0.037	0.032	1909	2016-08-10
COYQ	-0.038	0.031	1910	2016-08-17
COYQ	-0.038	0.033	1911	2016-08-24
COYQ	-0.038	0.031	1912	2016-08-31
COYQ	-0.038	0.031	1913	2016-09-07
COYQ	-0.037	0.029	1914	2016-09-14
COYQ	-0.038	0.032	1915	2016-09-21
COYQ	-0.037	0.030	1916	2016-09-28
