station	d_lat	d_lon	gpsweek	date
CSLO	0.026	0.068	1640	2011-06-15
CSLO	0.026	0.067	1641	2011-06-22
CSLO	0.026	0.068	1642	2011-06-29
CSLO	0.027	0.069	1643	2011-07-06
CSLO	0.026	0.069	1644	2011-07-13
CSLO	0.040	0.088	1645	2011-07-20
CSLO	0.026	0.069	1646	2011-07-27
CSLO	0.026	0.069	1647	2011-08-03
CSLO	0.026	0.070	1648	2011-08-10
CSLO	0.027	0.069	1649	2011-08-17
CSLO	0.027	0.069	1650	2011-08-24
CSLO	0.027	0.070	1651	2011-08-31
CSLO	0.027	0.070	1652	2011-09-07
CSLO	0.027	0.070	1653	2011-09-14
CSLO	0.027	0.070	1654	2011-09-21
CSLO	0.027	0.070	1655	2011-09-28
CSLO	0.028	0.070	1656	2011-10-05
CSLO	0.028	0.070	1657	2011-10-12
CSLO	0.028	0.069	1658	2011-10-19
CSLO	0.027	0.070	1659	2011-10-26
CSLO	0.028	0.071	1660	2011-11-02
CSLO	0.028	0.071	1661	2011-11-09
CSLO	0.028	0.069	1662	2011-11-16
CSLO	0.029	0.071	1663	2011-11-23
CSLO	0.028	0.070	1664	2011-11-30
CSLO	0.028	0.069	1665	2011-12-07
CSLO	0.030	0.069	1666	2011-12-14
CSLO	0.029	0.070	1667	2011-12-21
CSLO	0.029	0.068	1668	2011-12-28
CSLO	0.029	0.070	1669	2012-01-04
CSLO	0.029	0.070	1670	2012-01-11
CSLO	0.030	0.070	1671	2012-01-18
CSLO	0.029	0.071	1672	2012-01-25
CSLO	0.028	0.071	1673	2012-02-01
CSLO	0.030	0.071	1674	2012-02-08
CSLO	0.031	0.072	1675	2012-02-15
CSLO	0.029	0.073	1676	2012-02-22
CSLO	0.029	0.073	1677	2012-02-29
CSLO	0.028	0.072	1678	2012-03-07
CSLO	0.029	0.073	1679	2012-03-14
CSLO	0.029	0.073	1680	2012-03-21
CSLO	0.029	0.074	1681	2012-03-28
CSLO	0.029	0.075	1682	2012-04-04
CSLO	0.030	0.076	1683	2012-04-11
CSLO	0.030	0.074	1684	2012-04-18
CSLO	0.029	0.075	1685	2012-04-25
CSLO	0.029	0.076	1686	2012-05-02
CSLO	0.029	0.076	1687	2012-05-09
CSLO	0.030	0.077	1688	2012-05-16
CSLO	0.029	0.077	1689	2012-05-23
CSLO	0.029	0.076	1690	2012-05-30
CSLO	0.030	0.077	1691	2012-06-06
CSLO	0.030	0.077	1692	2012-06-13
CSLO	0.030	0.078	1693	2012-06-20
CSLO	0.030	0.078	1694	2012-06-27
CSLO	0.029	0.077	1695	2012-07-04
CSLO	0.030	0.078	1696	2012-07-11
CSLO	0.030	0.078	1697	2012-07-18
CSLO	0.030	0.079	1698	2012-07-25
CSLO	0.031	0.079	1699	2012-08-01
CSLO	0.030	0.079	1700	2012-08-08
CSLO	0.030	0.078	1701	2012-08-15
CSLO	0.030	0.078	1702	2012-08-22
CSLO	0.031	0.079	1703	2012-08-29
CSLO	0.031	0.079	1704	2012-09-05
CSLO	0.031	0.079	1705	2012-09-12
CSLO	0.031	0.080	1706	2012-09-19
CSLO	0.031	0.079	1707	2012-09-26
CSLO	0.032	0.080	1708	2012-10-03
CSLO	0.031	0.079	1709	2012-10-10
CSLO	0.031	0.080	1710	2012-10-17
CSLO	0.030	0.081	1711	2012-10-24
CSLO	0.031	0.080	1712	2012-10-31
CSLO	0.031	0.079	1713	2012-11-07
CSLO	0.031	0.079	1714	2012-11-14
CSLO	0.031	0.080	1715	2012-11-21
CSLO	0.043	0.095	1716	2012-11-28
CSLO	0.043	0.095	1717	2012-12-05
CSLO	0.042	0.097	1718	2012-12-12
CSLO	0.030	0.079	1719	2012-12-19
CSLO	0.030	0.076	1720	2012-12-26
CSLO	0.031	0.078	1721	2013-01-02
CSLO	0.030	0.077	1722	2013-01-09
CSLO	0.031	0.076	1723	2013-01-16
CSLO	0.031	0.076	1724	2013-01-23
CSLO	0.032	0.074	1725	2013-01-30
CSLO	0.032	0.074	1726	2013-02-06
CSLO	0.032	0.075	1727	2013-02-13
CSLO	0.033	0.075	1728	2013-02-20
CSLO	0.032	0.076	1729	2013-02-27
CSLO	0.032	0.077	1730	2013-03-06
CSLO	0.032	0.077	1731	2013-03-13
CSLO	0.033	0.076	1732	2013-03-20
CSLO	0.033	0.076	1733	2013-03-27
CSLO	0.032	0.077	1734	2013-04-03
CSLO	0.033	0.079	1735	2013-04-10
CSLO	0.033	0.078	1736	2013-04-17
CSLO	0.033	0.078	1737	2013-04-24
CSLO	0.033	0.078	1738	2013-05-01
CSLO	0.033	0.079	1739	2013-05-08
CSLO	0.033	0.079	1740	2013-05-15
CSLO	0.033	0.079	1741	2013-05-22
CSLO	0.032	0.080	1742	2013-05-29
CSLO	0.033	0.080	1743	2013-06-05
CSLO	0.033	0.081	1744	2013-06-12
CSLO	0.033	0.080	1745	2013-06-19
CSLO	0.033	0.080	1746	2013-06-26
CSLO	0.032	0.080	1747	2013-07-03
CSLO	0.032	0.081	1748	2013-07-10
CSLO	0.033	0.081	1749	2013-07-17
CSLO	0.033	0.081	1750	2013-07-24
CSLO	0.033	0.081	1751	2013-07-31
CSLO	0.033	0.082	1752	2013-08-07
CSLO	0.033	0.081	1753	2013-08-14
CSLO	0.033	0.082	1754	2013-08-21
CSLO	0.034	0.082	1755	2013-08-28
CSLO	0.033	0.082	1756	2013-09-04
CSLO	0.034	0.082	1757	2013-09-11
CSLO	0.033	0.082	1758	2013-09-18
CSLO	0.034	0.082	1759	2013-09-25
CSLO	0.033	0.082	1760	2013-10-02
CSLO	0.033	0.083	1761	2013-10-09
CSLO	0.033	0.080	1762	2013-10-16
CSLO	0.033	0.084	1763	2013-10-23
CSLO	0.034	0.083	1764	2013-10-30
CSLO	0.033	0.082	1765	2013-11-06
CSLO	0.034	0.083	1766	2013-11-13
CSLO	0.034	0.081	1767	2013-11-20
CSLO	0.033	0.081	1770	2013-12-11
CSLO	0.034	0.080	1771	2013-12-18
CSLO	0.033	0.081	1772	2013-12-25
CSLO	0.036	0.084	1773	2014-01-01
CSLO	0.036	0.084	1774	2014-01-08
CSLO	0.036	0.084	1775	2014-01-15
CSLO	0.036	0.085	1776	2014-01-22
CSLO	0.037	0.084	1777	2014-01-29
CSLO	0.037	0.085	1778	2014-02-05
CSLO	0.037	0.084	1779	2014-02-12
CSLO	0.036	0.083	1780	2014-02-19
CSLO	0.036	0.083	1781	2014-02-26
CSLO	0.036	0.083	1782	2014-03-05
CSLO	0.037	0.083	1783	2014-03-12
CSLO	0.037	0.082	1784	2014-03-19
CSLO	0.037	0.083	1785	2014-03-26
CSLO	0.037	0.083	1786	2014-04-02
CSLO	0.037	0.083	1787	2014-04-09
CSLO	0.037	0.083	1788	2014-04-16
CSLO	0.038	0.084	1789	2014-04-23
CSLO	0.037	0.084	1790	2014-04-30
CSLO	0.037	0.084	1791	2014-05-07
CSLO	0.037	0.084	1792	2014-05-14
CSLO	0.037	0.085	1793	2014-05-21
CSLO	0.037	0.084	1794	2014-05-28
CSLO	0.037	0.086	1795	2014-06-04
CSLO	0.042	0.079	1796	2014-06-11
CSLO	0.042	0.080	1797	2014-06-18
CSLO	0.042	0.080	1798	2014-06-25
CSLO	0.042	0.080	1799	2014-07-02
CSLO	0.037	0.086	1800	2014-07-09
CSLO	0.042	0.080	1801	2014-07-16
CSLO	0.038	0.086	1802	2014-07-23
CSLO	0.038	0.087	1803	2014-07-30
CSLO	0.038	0.087	1804	2014-08-06
CSLO	0.038	0.087	1805	2014-08-13
CSLO	0.038	0.087	1806	2014-08-20
CSLO	0.038	0.087	1807	2014-08-27
CSLO	0.038	0.087	1808	2014-09-03
CSLO	0.038	0.088	1809	2014-09-10
CSLO	0.039	0.088	1810	2014-09-17
CSLO	0.039	0.087	1811	2014-09-24
CSLO	0.038	0.088	1812	2014-10-01
CSLO	0.038	0.089	1813	2014-10-08
CSLO	0.038	0.089	1814	2014-10-15
CSLO	0.039	0.090	1815	2014-10-22
CSLO	0.039	0.090	1816	2014-10-29
CSLO	0.038	0.090	1817	2014-11-05
CSLO	0.039	0.089	1818	2014-11-12
CSLO	0.039	0.089	1819	2014-11-19
CSLO	0.039	0.089	1820	2014-11-26
CSLO	0.038	0.090	1821	2014-12-03
CSLO	0.039	0.090	1822	2014-12-10
CSLO	0.039	0.089	1823	2014-12-17
CSLO	0.038	0.090	1824	2014-12-24
CSLO	0.040	0.091	1825	2014-12-31
CSLO	0.040	0.092	1826	2015-01-07
CSLO	0.040	0.092	1827	2015-01-14
CSLO	0.040	0.091	1828	2015-01-21
CSLO	0.041	0.093	1831	2015-02-11
CSLO	0.041	0.092	1832	2015-02-18
CSLO	0.041	0.092	1833	2015-02-25
CSLO	0.041	0.092	1834	2015-03-04
CSLO	0.041	0.091	1835	2015-03-11
CSLO	0.040	0.092	1836	2015-03-18
CSLO	0.040	0.092	1837	2015-03-25
CSLO	0.041	0.091	1838	2015-04-01
CSLO	0.041	0.091	1839	2015-04-08
CSLO	0.041	0.092	1840	2015-04-15
CSLO	0.040	0.091	1841	2015-04-22
CSLO	0.041	0.092	1842	2015-04-29
CSLO	0.040	0.091	1843	2015-05-06
CSLO	0.040	0.091	1844	2015-05-13
CSLO	0.041	0.092	1845	2015-05-20
CSLO	0.040	0.093	1846	2015-05-27
CSLO	0.041	0.093	1847	2015-06-03
CSLO	0.040	0.094	1848	2015-06-10
CSLO	0.040	0.093	1849	2015-06-17
CSLO	0.040	0.094	1850	2015-06-24
CSLO	0.040	0.094	1851	2015-07-01
CSLO	0.040	0.093	1852	2015-07-08
CSLO	0.039	0.092	1853	2015-07-15
CSLO	0.039	0.093	1854	2015-07-22
CSLO	0.039	0.093	1855	2015-07-29
CSLO	0.039	0.093	1856	2015-08-05
CSLO	0.039	0.093	1858	2015-08-19
CSLO	0.039	0.093	1859	2015-08-26
CSLO	0.040	0.093	1860	2015-09-02
CSLO	0.039	0.094	1861	2015-09-09
CSLO	0.038	0.102	1862	2015-09-16
CSLO	0.049	0.037	1863	2015-09-23
CSLO	0.050	0.035	1864	2015-09-30
CSLO	0.050	0.035	1865	2015-10-07
CSLO	0.049	0.034	1866	2015-10-14
CSLO	0.049	0.033	1867	2015-10-21
CSLO	0.050	0.033	1868	2015-10-28
CSLO	0.050	0.031	1869	2015-11-04
CSLO	0.051	0.031	1870	2015-11-11
CSLO	0.052	0.030	1871	2015-11-18
CSLO	0.051	0.030	1872	2015-11-25
CSLO	0.051	0.028	1873	2015-12-02
CSLO	0.051	0.029	1874	2015-12-09
CSLO	0.052	0.029	1875	2015-12-16
CSLO	0.052	0.029	1876	2015-12-23
CSLO	0.051	0.029	1877	2015-12-30
CSLO	0.052	0.028	1878	2016-01-06
CSLO	0.054	0.029	1880	2016-01-20
CSLO	0.053	0.027	1885	2016-02-24
CSLO	0.053	0.026	1886	2016-03-02
CSLO	0.053	0.026	1887	2016-03-09
CSLO	0.054	0.028	1888	2016-03-16
CSLO	0.053	0.026	1890	2016-03-30
CSLO	0.053	0.026	1891	2016-04-06
CSLO	0.053	0.026	1892	2016-04-13
CSLO	0.054	0.026	1893	2016-04-20
CSLO	0.053	0.026	1894	2016-04-27
CSLO	0.053	0.027	1895	2016-05-04
CSLO	0.053	0.026	1896	2016-05-11
CSLO	0.053	0.026	1897	2016-05-18
CSLO	0.054	0.026	1898	2016-05-25
CSLO	0.054	0.026	1899	2016-06-01
CSLO	0.056	0.026	1900	2016-06-08
