station	d_lat	d_lon	gpsweek	date
EBYP	-0.001	0.001	1640	2011-06-15
EBYP	-0.002	0.001	1641	2011-06-22
EBYP	-0.001	0.001	1642	2011-06-29
EBYP	-0.001	0.001	1643	2011-07-06
EBYP	-0.001	0.001	1644	2011-07-13
EBYP	-0.002	0.000	1645	2011-07-20
EBYP	-0.000	0.001	1646	2011-07-27
EBYP	-0.002	0.001	1647	2011-08-03
EBYP	-0.002	0.000	1648	2011-08-10
EBYP	-0.001	0.002	1649	2011-08-17
EBYP	-0.002	-0.000	1650	2011-08-24
EBYP	-0.002	-0.000	1651	2011-08-31
EBYP	-0.002	-0.001	1652	2011-09-07
EBYP	-0.002	0.001	1653	2011-09-14
EBYP	-0.002	0.001	1654	2011-09-21
EBYP	-0.002	0.001	1655	2011-09-28
EBYP	-0.002	0.001	1656	2011-10-05
EBYP	-0.001	0.001	1657	2011-10-12
EBYP	-0.002	0.001	1658	2011-10-19
EBYP	-0.003	0.001	1659	2011-10-26
EBYP	-0.003	0.000	1660	2011-11-02
EBYP	-0.002	-0.000	1661	2011-11-09
EBYP	-0.003	0.001	1662	2011-11-16
EBYP	-0.002	0.002	1663	2011-11-23
EBYP	0.001	0.003	1692	2012-06-13
EBYP	-0.001	0.002	1693	2012-06-20
EBYP	-0.002	-0.002	1694	2012-06-27
EBYP	0.000	0.000	1695	2012-07-04
EBYP	0.001	-0.003	1696	2012-07-11
EBYP	0.000	-0.005	1697	2012-07-18
EBYP	-0.002	-0.001	1698	2012-07-25
EBYP	-0.003	-0.001	1699	2012-08-01
EBYP	-0.002	0.000	1700	2012-08-08
EBYP	-0.001	0.001	1701	2012-08-15
EBYP	-0.001	0.001	1702	2012-08-22
EBYP	-0.000	-0.000	1703	2012-08-29
EBYP	-0.001	0.000	1704	2012-09-05
EBYP	-0.002	-0.001	1705	2012-09-12
EBYP	-0.002	0.001	1706	2012-09-19
EBYP	-0.003	0.001	1707	2012-09-26
EBYP	-0.004	0.002	1708	2012-10-03
EBYP	-0.004	0.003	1709	2012-10-10
EBYP	-0.004	0.005	1710	2012-10-17
EBYP	-0.006	0.003	1711	2012-10-24
EBYP	-0.003	0.001	1712	2012-10-31
EBYP	-0.004	0.001	1713	2012-11-07
EBYP	-0.005	0.002	1714	2012-11-14
EBYP	-0.004	0.002	1715	2012-11-21
EBYP	-0.002	0.002	1716	2012-11-28
EBYP	-0.003	0.004	1717	2012-12-05
EBYP	-0.003	0.004	1718	2012-12-12
EBYP	-0.001	0.004	1719	2012-12-19
EBYP	-0.002	0.003	1720	2012-12-26
EBYP	-0.003	0.003	1721	2013-01-02
EBYP	-0.002	0.003	1722	2013-01-09
EBYP	-0.000	0.005	1723	2013-01-16
EBYP	-0.001	0.004	1724	2013-01-23
EBYP	-0.001	0.003	1725	2013-01-30
EBYP	-0.000	0.004	1726	2013-02-06
EBYP	-0.003	0.003	1727	2013-02-13
EBYP	-0.001	0.003	1728	2013-02-20
EBYP	-0.000	0.004	1729	2013-02-27
EBYP	0.000	0.003	1730	2013-03-06
EBYP	-0.001	0.003	1731	2013-03-13
EBYP	-0.002	0.002	1732	2013-03-20
EBYP	-0.001	0.003	1733	2013-03-27
EBYP	-0.004	0.005	1734	2013-04-03
EBYP	-0.001	0.002	1735	2013-04-10
EBYP	-0.001	0.002	1736	2013-04-17
EBYP	-0.001	0.002	1737	2013-04-24
EBYP	-0.001	0.002	1738	2013-05-01
EBYP	-0.001	0.002	1739	2013-05-08
EBYP	-0.000	0.002	1740	2013-05-15
EBYP	-0.000	0.002	1741	2013-05-22
EBYP	-0.001	0.002	1742	2013-05-29
EBYP	-0.001	0.002	1743	2013-06-05
EBYP	-0.001	0.002	1744	2013-06-12
EBYP	-0.001	0.002	1745	2013-06-19
EBYP	-0.000	0.002	1746	2013-06-26
EBYP	-0.000	0.003	1747	2013-07-03
EBYP	-0.002	0.002	1748	2013-07-10
EBYP	-0.000	0.002	1749	2013-07-17
EBYP	-0.000	0.002	1750	2013-07-24
EBYP	-0.001	0.002	1751	2013-07-31
EBYP	-0.002	0.001	1752	2013-08-07
EBYP	-0.000	0.002	1753	2013-08-14
EBYP	-0.001	0.002	1754	2013-08-21
EBYP	-0.001	0.001	1755	2013-08-28
EBYP	-0.001	0.003	1756	2013-09-04
EBYP	-0.000	0.003	1757	2013-09-11
EBYP	-0.000	0.002	1758	2013-09-18
EBYP	-0.002	0.002	1759	2013-09-25
EBYP	-0.001	0.003	1760	2013-10-02
EBYP	-0.000	0.002	1761	2013-10-09
EBYP	-0.001	0.002	1762	2013-10-16
EBYP	-0.001	0.003	1763	2013-10-23
EBYP	-0.001	0.002	1764	2013-10-30
EBYP	-0.001	-0.000	1765	2013-11-06
EBYP	-0.001	0.001	1766	2013-11-13
EBYP	-0.002	0.000	1767	2013-11-20
EBYP	-0.000	-0.000	1769	2013-12-04
EBYP	-0.001	0.001	1770	2013-12-11
EBYP	-0.002	0.000	1771	2013-12-18
EBYP	0.001	0.000	1772	2013-12-25
EBYP	-0.002	0.000	1773	2014-01-01
EBYP	-0.001	0.001	1774	2014-01-08
EBYP	-0.001	0.001	1775	2014-01-15
EBYP	-0.002	0.002	1776	2014-01-22
EBYP	-0.000	0.000	1777	2014-01-29
EBYP	0.000	0.001	1778	2014-02-05
EBYP	0.001	0.001	1779	2014-02-12
EBYP	0.000	0.001	1780	2014-02-19
EBYP	0.001	-0.000	1781	2014-02-26
EBYP	0.001	0.000	1782	2014-03-05
EBYP	0.001	-0.001	1783	2014-03-12
EBYP	0.001	-0.001	1784	2014-03-19
EBYP	0.000	-0.000	1785	2014-03-26
EBYP	-0.001	-0.001	1786	2014-04-02
EBYP	-0.001	-0.000	1787	2014-04-09
EBYP	0.000	-0.001	1788	2014-04-16
EBYP	0.001	-0.001	1789	2014-04-23
EBYP	0.000	-0.001	1790	2014-04-30
EBYP	-0.000	-0.001	1791	2014-05-07
EBYP	0.000	-0.001	1792	2014-05-14
EBYP	0.000	-0.001	1793	2014-05-21
EBYP	0.000	-0.001	1794	2014-05-28
EBYP	0.000	-0.000	1795	2014-06-04
