station	d_lat	d_lon	gpsweek	date
MPL2	0.007	-0.001	1644	2011-07-13
MPL2	0.007	-0.000	1645	2011-07-20
MPL2	0.007	-0.001	1646	2011-07-27
MPL2	0.007	-0.001	1647	2011-08-03
MPL2	0.008	-0.001	1648	2011-08-10
MPL2	0.006	-0.000	1649	2011-08-17
MPL2	0.007	-0.001	1650	2011-08-24
MPL2	0.007	-0.000	1651	2011-08-31
MPL2	0.007	0.000	1652	2011-09-07
MPL2	0.006	-0.001	1653	2011-09-14
MPL2	0.006	-0.000	1654	2011-09-21
MPL2	0.006	-0.000	1655	2011-09-28
MPL2	0.007	-0.001	1656	2011-10-05
MPL2	0.006	-0.001	1657	2011-10-12
MPL2	0.007	-0.000	1658	2011-10-19
MPL2	0.004	-0.000	1659	2011-10-26
MPL2	0.006	-0.000	1660	2011-11-02
MPL2	0.006	-0.000	1661	2011-11-09
MPL2	0.006	0.000	1662	2011-11-16
MPL2	0.006	0.000	1664	2011-11-30
MPL2	0.005	-0.000	1665	2011-12-07
MPL2	0.006	-0.000	1666	2011-12-14
MPL2	0.006	0.000	1667	2011-12-21
MPL2	0.006	-0.000	1668	2011-12-28
MPL2	0.006	0.001	1669	2012-01-04
MPL2	0.006	0.000	1670	2012-01-11
MPL2	0.004	0.001	1671	2012-01-18
MPL2	0.006	-0.000	1672	2012-01-25
MPL2	0.005	0.000	1673	2012-02-01
MPL2	0.006	0.001	1674	2012-02-08
MPL2	0.005	0.000	1675	2012-02-15
MPL2	0.005	-0.000	1676	2012-02-22
MPL2	0.005	-0.000	1677	2012-02-29
MPL2	0.006	-0.000	1678	2012-03-07
MPL2	0.005	-0.000	1679	2012-03-14
MPL2	0.006	-0.000	1680	2012-03-21
MPL2	0.006	-0.001	1681	2012-03-28
MPL2	0.006	0.000	1682	2012-04-04
MPL2	0.006	0.000	1683	2012-04-11
MPL2	0.006	-0.001	1684	2012-04-18
MPL2	0.007	-0.001	1685	2012-04-25
MPL2	0.006	-0.000	1686	2012-05-02
MPL2	0.007	-0.000	1687	2012-05-09
MPL2	0.007	-0.000	1688	2012-05-16
MPL2	0.007	-0.001	1689	2012-05-23
MPL2	0.007	-0.001	1690	2012-05-30
MPL2	0.008	-0.001	1691	2012-06-06
MPL2	0.007	-0.001	1692	2012-06-13
MPL2	0.007	-0.000	1693	2012-06-20
MPL2	0.006	0.000	1694	2012-06-27
MPL2	0.007	-0.000	1695	2012-07-04
MPL2	0.007	-0.000	1696	2012-07-11
MPL2	0.007	0.000	1697	2012-07-18
MPL2	0.007	0.000	1698	2012-07-25
MPL2	0.006	-0.000	1699	2012-08-01
MPL2	0.007	-0.001	1700	2012-08-08
MPL2	0.006	-0.000	1701	2012-08-15
MPL2	0.007	-0.000	1702	2012-08-22
MPL2	0.005	-0.000	1703	2012-08-29
MPL2	0.007	-0.001	1704	2012-09-05
