station	d_lat	d_lon	gpsweek	date
SANT	-0.094	-0.148	1640	2011-06-15
SANT	-0.092	-0.150	1641	2011-06-22
SANT	-0.092	-0.149	1642	2011-06-29
SANT	-0.092	-0.148	1643	2011-07-06
SANT	-0.092	-0.150	1644	2011-07-13
SANT	-0.104	-0.183	1645	2011-07-20
SANT	-0.093	-0.151	1646	2011-07-27
SANT	-0.092	-0.150	1647	2011-08-03
SANT	-0.092	-0.150	1648	2011-08-10
SANT	-0.092	-0.150	1649	2011-08-17
SANT	-0.092	-0.150	1650	2011-08-24
SANT	-0.092	-0.150	1651	2011-08-31
SANT	-0.092	-0.151	1652	2011-09-07
SANT	-0.093	-0.153	1653	2011-09-14
SANT	-0.092	-0.151	1654	2011-09-21
SANT	-0.092	-0.151	1655	2011-09-28
SANT	-0.092	-0.151	1656	2011-10-05
SANT	-0.092	-0.151	1657	2011-10-12
SANT	-0.091	-0.151	1658	2011-10-19
SANT	-0.091	-0.150	1659	2011-10-26
SANT	-0.092	-0.152	1660	2011-11-02
SANT	-0.091	-0.150	1661	2011-11-09
SANT	-0.090	-0.150	1662	2011-11-16
SANT	-0.090	-0.152	1666	2011-12-14
SANT	-0.091	-0.151	1667	2011-12-21
SANT	-0.091	-0.150	1668	2011-12-28
SANT	-0.092	-0.153	1669	2012-01-04
SANT	-0.092	-0.150	1670	2012-01-11
SANT	-0.092	-0.150	1671	2012-01-18
SANT	-0.092	-0.149	1672	2012-01-25
SANT	-0.092	-0.150	1673	2012-02-01
SANT	-0.092	-0.149	1674	2012-02-08
SANT	-0.093	-0.151	1675	2012-02-15
SANT	-0.092	-0.150	1676	2012-02-22
SANT	-0.092	-0.147	1677	2012-02-29
SANT	-0.093	-0.150	1678	2012-03-07
SANT	-0.093	-0.148	1679	2012-03-14
SANT	-0.092	-0.150	1680	2012-03-21
SANT	-0.092	-0.149	1681	2012-03-28
SANT	-0.092	-0.148	1682	2012-04-04
SANT	-0.092	-0.148	1683	2012-04-11
SANT	-0.091	-0.149	1684	2012-04-18
SANT	-0.091	-0.150	1685	2012-04-25
SANT	-0.091	-0.150	1686	2012-05-02
SANT	-0.091	-0.151	1687	2012-05-09
SANT	-0.092	-0.149	1696	2012-07-11
SANT	-0.090	-0.147	1697	2012-07-18
SANT	-0.090	-0.147	1698	2012-07-25
SANT	-0.091	-0.148	1699	2012-08-01
SANT	-0.090	-0.147	1700	2012-08-08
SANT	-0.091	-0.149	1701	2012-08-15
SANT	-0.090	-0.149	1702	2012-08-22
SANT	-0.089	-0.150	1703	2012-08-29
SANT	-0.089	-0.149	1704	2012-09-05
SANT	-0.089	-0.152	1705	2012-09-12
SANT	-0.089	-0.151	1706	2012-09-19
SANT	-0.088	-0.151	1707	2012-09-26
SANT	-0.088	-0.150	1708	2012-10-03
SANT	-0.088	-0.152	1709	2012-10-10
SANT	-0.088	-0.151	1710	2012-10-17
SANT	-0.087	-0.150	1711	2012-10-24
SANT	-0.087	-0.150	1712	2012-10-31
SANT	-0.087	-0.151	1713	2012-11-07
SANT	-0.088	-0.151	1714	2012-11-14
SANT	-0.087	-0.150	1715	2012-11-21
SANT	-0.102	-0.190	1716	2012-11-28
SANT	-0.103	-0.189	1717	2012-12-05
SANT	-0.102	-0.189	1718	2012-12-12
SANT	-0.089	-0.153	1719	2012-12-19
SANT	-0.089	-0.153	1720	2012-12-26
SANT	-0.089	-0.154	1721	2013-01-02
