station	d_lat	d_lon	gpsweek	date
TUCU	-0.006	-0.003	1640	2011-06-15
TUCU	-0.006	-0.003	1641	2011-06-22
TUCU	-0.006	-0.001	1642	2011-06-29
TUCU	-0.007	-0.001	1643	2011-07-06
TUCU	-0.005	-0.003	1644	2011-07-13
TUCU	-0.006	-0.001	1645	2011-07-20
TUCU	-0.006	-0.002	1646	2011-07-27
TUCU	-0.007	-0.000	1647	2011-08-03
TUCU	-0.006	-0.002	1648	2011-08-10
TUCU	-0.006	-0.001	1649	2011-08-17
TUCU	-0.006	-0.001	1650	2011-08-24
TUCU	-0.005	-0.002	1651	2011-08-31
TUCU	-0.003	-0.002	1652	2011-09-07
TUCU	-0.003	-0.002	1653	2011-09-14
TUCU	-0.003	-0.001	1654	2011-09-21
TUCU	-0.002	-0.002	1655	2011-09-28
TUCU	-0.003	-0.001	1656	2011-10-05
TUCU	-0.002	-0.002	1657	2011-10-12
TUCU	-0.003	-0.003	1658	2011-10-19
TUCU	-0.004	-0.003	1659	2011-10-26
TUCU	-0.002	-0.004	1660	2011-11-02
TUCU	-0.001	-0.003	1661	2011-11-09
TUCU	-0.003	-0.002	1662	2011-11-16
TUCU	-0.002	-0.003	1663	2011-11-23
TUCU	-0.000	-0.004	1664	2011-11-30
TUCU	-0.004	-0.004	1665	2011-12-07
TUCU	-0.005	-0.005	1666	2011-12-14
TUCU	-0.003	-0.006	1667	2011-12-21
TUCU	-0.005	-0.004	1668	2011-12-28
TUCU	-0.003	-0.004	1669	2012-01-04
TUCU	-0.002	-0.006	1670	2012-01-11
TUCU	-0.003	-0.005	1671	2012-01-18
TUCU	-0.003	-0.006	1672	2012-01-25
TUCU	-0.004	-0.008	1673	2012-02-01
TUCU	-0.004	-0.006	1674	2012-02-08
TUCU	-0.003	-0.005	1675	2012-02-15
TUCU	-0.002	-0.000	1676	2012-02-22
TUCU	-0.006	-0.003	1677	2012-02-29
TUCU	-0.005	-0.006	1678	2012-03-07
TUCU	-0.004	-0.005	1679	2012-03-14
TUCU	-0.005	-0.006	1680	2012-03-21
TUCU	-0.007	-0.005	1681	2012-03-28
TUCU	-0.005	-0.006	1682	2012-04-04
TUCU	-0.006	-0.006	1683	2012-04-11
TUCU	-0.006	-0.006	1684	2012-04-18
TUCU	-0.007	-0.004	1685	2012-04-25
TUCU	-0.007	-0.005	1686	2012-05-02
TUCU	-0.006	-0.007	1687	2012-05-09
TUCU	-0.007	-0.005	1688	2012-05-16
TUCU	-0.007	-0.004	1689	2012-05-23
TUCU	-0.006	-0.004	1690	2012-05-30
TUCU	-0.007	-0.003	1691	2012-06-06
TUCU	-0.008	-0.004	1692	2012-06-13
TUCU	-0.008	-0.002	1693	2012-06-20
TUCU	-0.008	-0.003	1694	2012-06-27
TUCU	-0.008	-0.002	1695	2012-07-04
TUCU	-0.009	-0.002	1696	2012-07-11
TUCU	-0.008	-0.002	1697	2012-07-18
TUCU	-0.007	-0.003	1698	2012-07-25
TUCU	-0.008	-0.002	1699	2012-08-01
TUCU	-0.008	-0.003	1700	2012-08-08
TUCU	-0.007	-0.003	1701	2012-08-15
TUCU	-0.006	-0.004	1702	2012-08-22
TUCU	-0.007	-0.002	1703	2012-08-29
TUCU	-0.005	-0.003	1704	2012-09-05
TUCU	-0.004	-0.003	1705	2012-09-12
TUCU	-0.003	-0.002	1706	2012-09-19
TUCU	-0.003	-0.001	1707	2012-09-26
TUCU	-0.003	-0.002	1708	2012-10-03
TUCU	-0.003	-0.000	1709	2012-10-10
TUCU	-0.001	-0.003	1710	2012-10-17
TUCU	-0.002	-0.003	1711	2012-10-24
TUCU	-0.001	-0.002	1712	2012-10-31
TUCU	-0.002	-0.004	1713	2012-11-07
TUCU	-0.002	-0.002	1714	2012-11-14
TUCU	-0.001	-0.005	1715	2012-11-21
TUCU	-0.003	-0.005	1716	2012-11-28
TUCU	-0.002	-0.005	1717	2012-12-05
TUCU	-0.003	-0.005	1718	2012-12-12
TUCU	-0.001	-0.004	1719	2012-12-19
TUCU	-0.000	-0.003	1720	2012-12-26
TUCU	-0.001	-0.004	1721	2013-01-02
TUCU	-0.003	-0.004	1722	2013-01-09
TUCU	-0.002	-0.005	1723	2013-01-16
TUCU	-0.001	-0.005	1724	2013-01-23
TUCU	-0.001	-0.005	1725	2013-01-30
TUCU	-0.001	-0.003	1726	2013-02-06
TUCU	-0.002	-0.004	1727	2013-02-13
TUCU	-0.003	-0.000	1728	2013-02-20
TUCU	-0.003	-0.003	1729	2013-02-27
TUCU	-0.003	-0.004	1730	2013-03-06
TUCU	-0.003	-0.004	1731	2013-03-13
TUCU	-0.005	-0.002	1732	2013-03-20
TUCU	-0.004	-0.004	1733	2013-03-27
TUCU	-0.003	-0.003	1734	2013-04-03
TUCU	-0.003	-0.004	1735	2013-04-10
TUCU	-0.003	-0.002	1736	2013-04-17
TUCU	-0.002	-0.004	1737	2013-04-24
TUCU	-0.003	-0.002	1738	2013-05-01
TUCU	-0.003	-0.000	1739	2013-05-08
TUCU	-0.003	0.000	1740	2013-05-15
TUCU	-0.004	0.003	1741	2013-05-22
TUCU	-0.004	0.001	1742	2013-05-29
TUCU	-0.004	0.001	1743	2013-06-05
TUCU	-0.003	0.001	1744	2013-06-12
TUCU	-0.006	0.002	1745	2013-06-19
TUCU	-0.004	0.002	1746	2013-06-26
TUCU	-0.005	0.000	1747	2013-07-03
