station	d_lat	d_lon	gpsweek	date
YCBA	0.009	0.008	1640	2011-06-15
YCBA	0.008	0.006	1641	2011-06-22
YCBA	0.008	0.008	1642	2011-06-29
YCBA	0.008	0.007	1643	2011-07-06
YCBA	0.010	0.008	1644	2011-07-13
YCBA	0.008	0.007	1645	2011-07-20
YCBA	0.009	0.008	1646	2011-07-27
YCBA	0.008	0.008	1647	2011-08-03
YCBA	0.008	0.008	1648	2011-08-10
YCBA	0.008	0.007	1649	2011-08-17
YCBA	0.008	0.006	1650	2011-08-24
YCBA	0.009	0.008	1651	2011-08-31
YCBA	0.008	0.007	1652	2011-09-07
YCBA	0.009	0.009	1653	2011-09-14
YCBA	0.007	0.007	1654	2011-09-21
YCBA	0.008	0.009	1655	2011-09-28
YCBA	0.007	0.007	1656	2011-10-05
YCBA	0.007	0.006	1657	2011-10-12
YCBA	0.009	0.008	1658	2011-10-19
YCBA	0.007	0.007	1659	2011-10-26
YCBA	0.007	0.007	1660	2011-11-02
YCBA	0.008	0.007	1661	2011-11-09
YCBA	0.008	0.008	1662	2011-11-16
YCBA	0.007	0.006	1663	2011-11-23
YCBA	0.007	0.009	1664	2011-11-30
YCBA	0.008	0.007	1665	2011-12-07
YCBA	0.008	0.009	1666	2011-12-14
YCBA	0.008	0.008	1667	2011-12-21
YCBA	0.008	0.009	1668	2011-12-28
YCBA	0.009	0.009	1669	2012-01-04
YCBA	0.009	0.010	1670	2012-01-11
YCBA	0.010	0.010	1671	2012-01-18
YCBA	0.008	0.009	1672	2012-01-25
YCBA	0.010	0.010	1673	2012-02-01
YCBA	0.011	0.012	1674	2012-02-08
YCBA	0.009	0.008	1675	2012-02-15
YCBA	0.008	0.008	1676	2012-02-22
YCBA	0.008	0.006	1677	2012-02-29
YCBA	0.009	0.011	1678	2012-03-07
YCBA	0.009	0.013	1679	2012-03-14
YCBA	0.011	0.009	1680	2012-03-21
YCBA	0.008	0.008	1681	2012-03-28
YCBA	0.010	0.010	1682	2012-04-04
YCBA	0.009	0.008	1683	2012-04-11
YCBA	0.010	0.008	1684	2012-04-18
YCBA	0.008	0.006	1685	2012-04-25
YCBA	0.010	0.008	1686	2012-05-02
YCBA	0.010	0.009	1687	2012-05-09
YCBA	0.010	0.008	1688	2012-05-16
YCBA	0.010	0.008	1689	2012-05-23
YCBA	0.010	0.007	1690	2012-05-30
YCBA	0.009	0.006	1691	2012-06-06
YCBA	0.010	0.007	1692	2012-06-13
YCBA	0.010	0.006	1693	2012-06-20
YCBA	0.010	0.006	1694	2012-06-27
YCBA	0.010	0.006	1695	2012-07-04
YCBA	0.009	0.006	1696	2012-07-11
YCBA	0.010	0.006	1697	2012-07-18
YCBA	0.010	0.005	1698	2012-07-25
YCBA	0.009	0.005	1699	2012-08-01
YCBA	0.011	0.007	1700	2012-08-08
YCBA	0.011	0.007	1701	2012-08-15
YCBA	0.009	0.006	1702	2012-08-22
YCBA	0.011	0.006	1703	2012-08-29
YCBA	0.011	0.006	1704	2012-09-05
YCBA	0.011	0.007	1705	2012-09-12
YCBA	0.011	0.006	1706	2012-09-19
YCBA	0.009	0.006	1707	2012-09-26
YCBA	0.010	0.007	1708	2012-10-03
YCBA	0.009	0.006	1709	2012-10-10
YCBA	0.010	0.007	1710	2012-10-17
YCBA	0.010	0.007	1711	2012-10-24
YCBA	0.009	0.006	1712	2012-10-31
YCBA	0.010	0.007	1713	2012-11-07
YCBA	0.009	0.006	1714	2012-11-14
YCBA	0.008	0.007	1715	2012-11-21
YCBA	0.008	0.005	1716	2012-11-28
YCBA	0.010	0.010	1717	2012-12-05
YCBA	0.009	0.007	1718	2012-12-12
YCBA	0.009	0.009	1719	2012-12-19
YCBA	0.010	0.006	1720	2012-12-26
YCBA	0.009	0.007	1721	2013-01-02
YCBA	0.010	0.003	1722	2013-01-09
YCBA	0.010	0.006	1723	2013-01-16
YCBA	0.010	0.006	1724	2013-01-23
YCBA	0.012	0.009	1725	2013-01-30
YCBA	0.010	0.004	1726	2013-02-06
YCBA	0.008	0.005	1727	2013-02-13
YCBA	0.009	0.005	1728	2013-02-20
YCBA	0.009	0.006	1729	2013-02-27
YCBA	0.011	0.008	1730	2013-03-06
YCBA	0.008	0.004	1731	2013-03-13
YCBA	0.009	0.004	1732	2013-03-20
YCBA	0.010	0.006	1733	2013-03-27
YCBA	0.009	0.003	1734	2013-04-03
YCBA	0.009	0.005	1735	2013-04-10
YCBA	0.010	0.005	1736	2013-04-17
YCBA	0.010	0.005	1737	2013-04-24
YCBA	0.011	0.007	1738	2013-05-01
YCBA	0.011	0.005	1739	2013-05-08
YCBA	0.009	0.005	1740	2013-05-15
YCBA	0.010	0.003	1741	2013-05-22
YCBA	0.011	0.005	1742	2013-05-29
YCBA	0.010	0.006	1743	2013-06-05
YCBA	0.010	0.004	1744	2013-06-12
YCBA	0.009	0.003	1745	2013-06-19
YCBA	0.010	0.003	1746	2013-06-26
YCBA	0.010	0.004	1747	2013-07-03
YCBA	0.010	0.005	1748	2013-07-10
YCBA	0.010	0.002	1749	2013-07-17
YCBA	0.010	0.002	1750	2013-07-24
YCBA	0.011	0.004	1751	2013-07-31
YCBA	0.009	0.002	1752	2013-08-07
YCBA	0.010	0.003	1753	2013-08-14
YCBA	0.010	0.004	1754	2013-08-21
YCBA	0.010	0.003	1755	2013-08-28
YCBA	0.010	0.003	1756	2013-09-04
YCBA	0.009	0.004	1757	2013-09-11
YCBA	0.010	0.002	1758	2013-09-18
YCBA	0.010	0.003	1759	2013-09-25
YCBA	0.010	0.003	1760	2013-10-02
YCBA	0.010	0.004	1761	2013-10-09
YCBA	0.011	0.004	1762	2013-10-16
YCBA	0.010	0.004	1763	2013-10-23
YCBA	0.010	0.005	1764	2013-10-30
YCBA	0.012	0.005	1765	2013-11-06
YCBA	0.010	0.004	1766	2013-11-13
YCBA	0.009	0.004	1767	2013-11-20
YCBA	0.010	0.003	1769	2013-12-04
YCBA	0.008	0.002	1770	2013-12-11
YCBA	0.008	0.001	1771	2013-12-18
YCBA	0.008	-0.002	1772	2013-12-25
YCBA	0.009	0.000	1773	2014-01-01
YCBA	0.010	-0.001	1774	2014-01-08
YCBA	0.009	-0.001	1775	2014-01-15
YCBA	0.009	0.001	1776	2014-01-22
YCBA	0.007	-0.002	1777	2014-01-29
YCBA	0.008	-0.002	1778	2014-02-05
YCBA	0.008	-0.001	1779	2014-02-12
YCBA	0.009	-0.003	1780	2014-02-19
YCBA	0.008	-0.003	1781	2014-02-26
YCBA	0.008	-0.003	1782	2014-03-05
YCBA	0.008	-0.002	1783	2014-03-12
YCBA	0.008	-0.003	1784	2014-03-19
YCBA	0.007	-0.003	1785	2014-03-26
YCBA	0.007	-0.005	1786	2014-04-02
YCBA	0.009	-0.007	1787	2014-04-09
YCBA	0.008	-0.008	1788	2014-04-16
YCBA	0.009	-0.007	1789	2014-04-23
YCBA	0.010	-0.007	1790	2014-04-30
YCBA	0.009	-0.007	1791	2014-05-07
YCBA	0.010	-0.007	1792	2014-05-14
YCBA	0.011	-0.004	1793	2014-05-21
YCBA	0.011	-0.003	1794	2014-05-28
YCBA	0.011	-0.004	1795	2014-06-04
YCBA	0.012	-0.004	1796	2014-06-11
YCBA	0.011	-0.004	1797	2014-06-18
YCBA	0.012	-0.005	1798	2014-06-25
YCBA	0.012	-0.006	1799	2014-07-02
YCBA	0.012	-0.006	1800	2014-07-09
YCBA	0.012	-0.005	1801	2014-07-16
YCBA	0.012	-0.005	1802	2014-07-23
YCBA	0.010	0.000	1803	2014-07-30
YCBA	0.009	0.001	1804	2014-08-06
YCBA	0.009	0.001	1805	2014-08-13
YCBA	0.010	0.002	1806	2014-08-20
YCBA	0.009	0.002	1807	2014-08-27
YCBA	0.010	0.001	1808	2014-09-03
YCBA	0.009	0.000	1809	2014-09-10
YCBA	0.008	0.000	1810	2014-09-17
YCBA	0.008	-0.000	1811	2014-09-24
YCBA	0.008	-0.001	1812	2014-10-01
YCBA	0.008	-0.001	1813	2014-10-08
YCBA	0.008	0.000	1814	2014-10-15
YCBA	0.008	-0.001	1815	2014-10-22
YCBA	0.008	0.001	1816	2014-10-29
YCBA	0.008	0.000	1817	2014-11-05
YCBA	0.010	0.000	1818	2014-11-12
YCBA	0.008	0.001	1819	2014-11-19
YCBA	0.012	-0.002	1820	2014-11-26
YCBA	0.013	-0.001	1821	2014-12-03
YCBA	0.009	0.003	1822	2014-12-10
YCBA	0.009	0.001	1823	2014-12-17
YCBA	0.012	-0.002	1824	2014-12-24
YCBA	0.012	-0.001	1825	2014-12-31
YCBA	0.012	-0.003	1826	2015-01-07
YCBA	0.011	-0.002	1827	2015-01-14
YCBA	0.011	-0.001	1828	2015-01-21
YCBA	0.010	-0.000	1830	2015-02-04
YCBA	0.010	-0.000	1831	2015-02-11
YCBA	0.009	-0.001	1832	2015-02-18
YCBA	0.009	0.000	1833	2015-02-25
YCBA	0.011	-0.000	1834	2015-03-04
YCBA	0.009	0.002	1835	2015-03-11
YCBA	0.008	0.001	1836	2015-03-18
YCBA	0.008	-0.000	1837	2015-03-25
YCBA	0.011	-0.000	1838	2015-04-01
YCBA	0.010	-0.001	1839	2015-04-08
YCBA	0.010	0.000	1840	2015-04-15
YCBA	0.010	-0.001	1841	2015-04-22
YCBA	0.012	-0.004	1842	2015-04-29
YCBA	0.013	0.000	1843	2015-05-06
YCBA	0.012	0.005	1844	2015-05-13
YCBA	0.012	0.005	1845	2015-05-20
YCBA	0.011	0.004	1846	2015-05-27
YCBA	0.012	0.005	1847	2015-06-03
YCBA	0.012	0.004	1848	2015-06-10
YCBA	0.011	0.004	1849	2015-06-17
YCBA	0.011	0.004	1850	2015-06-24
YCBA	0.010	0.004	1851	2015-07-01
YCBA	-0.002	-0.020	1852	2015-07-08
YCBA	-0.002	-0.020	1853	2015-07-15
YCBA	-0.002	-0.020	1854	2015-07-22
YCBA	-0.001	-0.020	1855	2015-07-29
YCBA	-0.001	-0.020	1856	2015-08-05
YCBA	-0.002	-0.020	1858	2015-08-19
YCBA	-0.002	-0.020	1859	2015-08-26
YCBA	-0.002	-0.020	1860	2015-09-02
YCBA	-0.002	-0.020	1861	2015-09-09
YCBA	-0.002	-0.020	1862	2015-09-16
YCBA	-0.001	-0.019	1863	2015-09-23
YCBA	-0.001	-0.020	1864	2015-09-30
YCBA	-0.002	-0.020	1865	2015-10-07
YCBA	-0.002	-0.020	1866	2015-10-14
YCBA	-0.001	-0.020	1867	2015-10-21
YCBA	-0.002	-0.019	1868	2015-10-28
YCBA	-0.002	-0.020	1869	2015-11-04
YCBA	-0.001	-0.020	1870	2015-11-11
YCBA	-0.001	-0.020	1871	2015-11-18
YCBA	-0.002	-0.020	1872	2015-11-25
YCBA	-0.002	-0.020	1873	2015-12-02
YCBA	-0.001	-0.019	1874	2015-12-09
YCBA	-0.001	-0.020	1875	2015-12-16
YCBA	-0.002	-0.020	1876	2015-12-23
YCBA	-0.001	-0.020	1877	2015-12-30
YCBA	-0.001	-0.019	1878	2016-01-06
YCBA	-0.000	-0.021	1880	2016-01-20
YCBA	-0.001	-0.021	1882	2016-02-03
YCBA	-0.000	-0.022	1883	2016-02-10
YCBA	-0.001	-0.020	1884	2016-02-17
YCBA	-0.001	-0.020	1885	2016-02-24
YCBA	-0.001	-0.021	1886	2016-03-02
YCBA	-0.001	-0.021	1887	2016-03-09
YCBA	-0.001	-0.021	1888	2016-03-16
YCBA	0.015	0.008	1889	2016-03-23
YCBA	0.000	-0.022	1890	2016-03-30
YCBA	0.000	-0.021	1891	2016-04-06
YCBA	0.000	-0.022	1892	2016-04-13
YCBA	-0.000	-0.022	1893	2016-04-20
YCBA	-0.001	-0.022	1894	2016-04-27
YCBA	-0.001	-0.022	1895	2016-05-04
YCBA	-0.001	-0.022	1896	2016-05-11
YCBA	-0.002	-0.023	1897	2016-05-18
YCBA	-0.001	-0.023	1898	2016-05-25
YCBA	-0.002	-0.023	1899	2016-06-01
YCBA	-0.002	-0.023	1900	2016-06-08
YCBA	-0.002	-0.023	1901	2016-06-15
YCBA	-0.002	-0.023	1902	2016-06-22
YCBA	-0.002	-0.023	1903	2016-06-29
YCBA	-0.002	-0.023	1904	2016-07-06
YCBA	-0.001	-0.023	1905	2016-07-13
YCBA	-0.002	-0.023	1906	2016-07-20
YCBA	-0.002	-0.024	1907	2016-07-27
YCBA	-0.001	-0.024	1908	2016-08-03
YCBA	-0.002	-0.023	1909	2016-08-10
YCBA	-0.002	-0.024	1910	2016-08-17
YCBA	-0.003	-0.024	1911	2016-08-24
YCBA	-0.003	-0.024	1912	2016-08-31
YCBA	-0.002	-0.024	1913	2016-09-07
YCBA	-0.002	-0.024	1914	2016-09-14
YCBA	-0.002	-0.024	1915	2016-09-21
YCBA	-0.002	-0.024	1916	2016-09-28
YCBA	-0.002	-0.022	1917	2016-10-05
YCBA	-0.002	-0.024	1918	2016-10-12
YCBA	-0.002	-0.024	1919	2016-10-19
YCBA	-0.001	-0.023	1920	2016-10-26
YCBA	-0.001	-0.023	1921	2016-11-02
YCBA	-0.001	-0.024	1922	2016-11-09
YCBA	-0.002	-0.024	1923	2016-11-16
YCBA	-0.002	-0.023	1924	2016-11-23
YCBA	-0.001	-0.024	1925	2016-11-30
YCBA	-0.002	-0.025	1926	2016-12-07
YCBA	-0.001	-0.024	1927	2016-12-14
YCBA	-0.001	-0.024	1928	2016-12-21
YCBA	-0.001	-0.025	1929	2016-12-28
YCBA	-0.000	-0.025	1930	2017-01-04
YCBA	0.002	-0.031	1931	2017-01-11
YCBA	0.000	-0.024	1932	2017-01-18
YCBA	-0.000	-0.026	1933	2017-01-25
YCBA	-0.000	-0.026	1934	2017-02-01
YCBA	-0.000	-0.026	1935	2017-02-08
YCBA	0.000	-0.026	1936	2017-02-15
YCBA	-0.001	-0.026	1937	2017-02-22
YCBA	0.000	-0.026	1938	2017-03-01
YCBA	0.000	-0.027	1939	2017-03-08
YCBA	-0.001	-0.027	1940	2017-03-15
YCBA	-0.001	-0.026	1941	2017-03-22
YCBA	0.000	-0.027	1942	2017-03-29
YCBA	-0.001	-0.026	1943	2017-04-05
YCBA	-0.001	-0.027	1944	2017-04-12
YCBA	-0.001	-0.026	1945	2017-04-19
YCBA	-0.001	-0.026	1946	2017-04-26
YCBA	-0.001	-0.026	1947	2017-05-03
YCBA	-0.001	-0.026	1948	2017-05-10
YCBA	-0.002	-0.027	1949	2017-05-17
YCBA	-0.002	-0.028	1950	2017-05-24
YCBA	0.002	-0.039	1951	2017-05-31
YCBA	0.002	-0.040	1952	2017-06-07
YCBA	0.002	-0.039	1953	2017-06-14
YCBA	-0.001	-0.027	1954	2017-06-21
YCBA	-0.001	-0.027	1955	2017-06-28
YCBA	-0.001	-0.027	1956	2017-07-05
YCBA	-0.002	-0.026	1957	2017-07-12
YCBA	-0.002	-0.027	1958	2017-07-19
YCBA	-0.001	-0.027	1959	2017-07-26
YCBA	-0.001	-0.028	1960	2017-08-02
YCBA	-0.001	-0.028	1961	2017-08-09
YCBA	-0.001	-0.027	1962	2017-08-16
YCBA	-0.002	-0.028	1963	2017-08-23
YCBA	-0.001	-0.027	1964	2017-08-30
YCBA	-0.001	-0.027	1965	2017-09-06
YCBA	-0.001	-0.028	1966	2017-09-13
YCBA	-0.001	-0.028	1967	2017-09-20
YCBA	-0.001	-0.028	1968	2017-09-27
YCBA	-0.001	-0.028	1969	2017-10-04
