week	st	1st	2nd	3rd
1852	ABRA	YCBA	UNSA	TUCU
1853	ABRA	YCBA	UNSA	TUCU
1854	ABRA	YCBA	UNSA	TUCU
1855	ABRA	YCBA	UNSA	TUCU
1856	ABRA	YCBA	UNSA	TUCU
1858	ABRA	YCBA	UNSA	TUCU
1859	ABRA	YCBA	UNSA	TUCU
1860	ABRA	YCBA	UNSA	TUCU
1861	ABRA	YCBA	UNSA	TUCU
1862	ABRA	YCBA	UNSA	TUCU
1863	ABRA	YCBA	UNSA	TUCU
1864	ABRA	YCBA	UNSA	TUCU
1865	ABRA	YCBA	UNSA	TUCU
1866	ABRA	YCBA	UNSA	TUCU
1867	ABRA	YCBA	UNSA	TUCU
1868	ABRA	YCBA	UNSA	TUCU
1869	ABRA	YCBA	UNSA	TUCU
1870	ABRA	YCBA	UNSA	TUCU
1871	ABRA	YCBA	UNSA	TUCU
1872	ABRA	YCBA	UNSA	TUCU
1873	ABRA	YCBA	UNSA	TUCU
1874	ABRA	YCBA	UNSA	TUCU
1875	ABRA	YCBA	UNSA	TUCU
1876	ABRA	YCBA	UNSA	TUCU
1877	ABRA	YCBA	UNSA	TUCU
1878	ABRA	YCBA	UNSA	YEMA
1880	ABRA	YCBA	UNSA	YEMA
1882	ABRA	YCBA	UNSA	YEMA
1883	ABRA	YCBA	UNSA	YEMA
1884	ABRA	YCBA	UNSA	YEMA
1885	ABRA	YCBA	UNSA	YEMA
1886	ABRA	YCBA	UNSA	YEMA
1887	ABRA	YCBA	UNSA	YEMA
1888	ABRA	YCBA	UNSA	YEMA
1890	ABRA	YCBA	UNSA	YEMA
1891	ABRA	YCBA	UNSA	YEMA
1892	ABRA	YCBA	UNSA	YEMA
1893	ABRA	YCBA	UNSA	YEMA
1894	ABRA	YCBA	UNSA	YEMA
1895	ABRA	YCBA	UNSA	YEMA
1896	ABRA	YCBA	UNSA	YEMA
1897	ABRA	YCBA	UNSA	YEMA
1898	ABRA	YCBA	UNSA	YEMA
1899	ABRA	YCBA	UNSA	YEMA
1900	ABRA	YCBA	UNSA	YEMA
1901	ABRA	YCBA	UNSA	YEMA
1902	ABRA	YCBA	UNSA	YEMA
1903	ABRA	YCBA	UNSA	YEMA
1904	ABRA	YCBA	UNSA	YEMA
1905	ABRA	YCBA	UNSA	YEMA
1906	ABRA	YCBA	UNSA	YEMA
1907	ABRA	YCBA	UNSA	YEMA
1908	ABRA	YCBA	UNSA	YEMA
1909	ABRA	YCBA	UNSA	TUCU
1910	ABRA	YCBA	UNSA	TUCU
1911	ABRA	YCBA	UNSA	TUCU
1912	ABRA	YCBA	UNSA	TUCU
1913	ABRA	YCBA	UNSA	TUCU
1914	ABRA	YCBA	UNSA	TUCU
1915	ABRA	YCBA	UNSA	TUCU
1916	ABRA	YCBA	UNSA	TUCU
1917	ABRA	YCBA	UNSA	TUCU
1918	ABRA	YCBA	UNSA	YEMA
1919	ABRA	YCBA	UNSA	YEMA
1920	ABRA	YCBA	UNSA	YEMA
1921	ABRA	YCBA	UNSA	YEMA
1922	ABRA	YCBA	UNSA	YEMA
1923	ABRA	YCBA	UNSA	TUCU
1924	ABRA	YCBA	UNSA	TUCU
1925	ABRA	YCBA	UNSA	TUCU
1926	ABRA	YCBA	UNSA	TUCU
1927	ABRA	YCBA	UNSA	TUCU
1928	ABRA	YCBA	UNSA	TUCU
1929	ABRA	YCBA	UNSA	TUCU
1930	ABRA	YCBA	UNSA	TUCU
1931	ABRA	YCBA	TUCU	YEMA
1932	ABRA	YCBA	UNSA	TUCU
1933	ABRA	YCBA	UNSA	TUCU
1934	ABRA	YCBA	UNSA	TUCU
1935	ABRA	YCBA	UNSA	TUCU
1936	ABRA	YCBA	UNSA	TUCU
1937	ABRA	YCBA	UNSA	TUCU
1938	ABRA	YCBA	UNSA	TUCU
1939	ABRA	YCBA	UNSA	TUCU
1940	ABRA	YCBA	UNSA	TUCU
1941	ABRA	YCBA	UNSA	TUCU
1942	ABRA	YCBA	UNSA	TUCU
1943	ABRA	YCBA	UNSA	TUCU
1944	ABRA	YCBA	UNSA	TUCU
1945	ABRA	YCBA	UNSA	TUCU
1946	ABRA	YCBA	UNSA	TUCU
1947	ABRA	YCBA	UNSA	TUCU
1948	ABRA	YCBA	UNSA	TUCU
1949	ABRA	YCBA	UNSA	TUCU
1950	ABRA	YCBA	UNSA	TUCU
1951	ABRA	YCBA	UNSA	TUCU
1952	ABRA	YCBA	UNSA	TUCU
1953	ABRA	YCBA	UNSA	TUCU
1954	ABRA	YCBA	UNSA	TUCU
1955	ABRA	YCBA	UNSA	TUCU
1956	ABRA	YCBA	UNSA	TUCU
1957	ABRA	YCBA	UNSA	TUCU
1958	ABRA	YCBA	UNSA	TUCU
1959	ABRA	YCBA	UNSA	TUCU
1960	ABRA	YCBA	UNSA	TUCU
1961	ABRA	YCBA	UNSA	TUCU
1962	ABRA	YCBA	UNSA	TUCU
1963	ABRA	YCBA	UNSA	TUCU
1964	ABRA	YCBA	UNSA	TUCU
1965	ABRA	YCBA	UNSA	TUCU
1966	ABRA	YCBA	UNSA	TUCU
1967	ABRA	YCBA	UNSA	TUCU
1968	ABRA	YCBA	UNSA	TUCU
1969	ABRA	YCBA	UNSA	TUCU
1970	ABRA	YCBA	UNSA	TUCU
1971	ABRA	YCBA	UNSA	TUCU
1972	ABRA	YCBA	UNSA	TUCU
1934	AGGO	LPGS	IGM1	UYCO
1935	AGGO	LPGS	IGM1	UYCO
1936	AGGO	LPGS	IGM1	UYCO
1937	AGGO	LPGS	IGM1	UYCO
1938	AGGO	LPGS	IGM1	UYCO
1939	AGGO	LPGS	IGM1	UYCO
1940	AGGO	LPGS	IGM1	UYCO
1941	AGGO	LPGS	IGM1	UYCO
1942	AGGO	LPGS	IGM1	UYCO
1943	AGGO	LPGS	IGM1	UYCO
1944	AGGO	LPGS	IGM1	UYCO
1945	AGGO	LPGS	IGM1	UYCO
1946	AGGO	LPGS	IGM1	UYCO
1947	AGGO	LPGS	IGM1	UYCO
1948	AGGO	LPGS	IGM1	UYCO
1949	AGGO	LPGS	IGM1	UYCO
1950	AGGO	LPGS	IGM1	UYCO
1951	AGGO	LPGS	IGM1	UYCO
1952	AGGO	LPGS	IGM1	UYCO
1953	AGGO	LPGS	IGM1	UYCO
1954	AGGO	LPGS	IGM1	UYCO
1955	AGGO	LPGS	IGM1	UYCO
1956	AGGO	LPGS	IGM1	UYCO
1957	AGGO	LPGS	IGM1	UYCO
